family,arm,label,rpm,level_mps2,bandwidth_hz,hull_rms_mps2,recorded_rms_mps2,firing_hz,blade_hz,vre_offset_mps2,spectrum,hs_m,input,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,disp_x_mean_m,disp_y_mean_m,disp_z_mean_m,roll_mean_deg,pitch_mean_deg,yaw_mean_deg,disp_z_ref_rms_m,disp_z_pct_refrms,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2,accel_variance_m2ps4
OU-II,baseline,engine off,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00723028183,0.00528594665,0.0175266173,0.0196824931,0.340826482,0.0999983624,0.613135099,0.060370706,0.000102457241,0.00116390176,0.000229612153,-0.00222718064,-0.303486735,-0.0141986674,0.109623797,0.0534430593,32.7949371,6.49133968,1.53025579,0.0500000007,0.0307989549
OU-II,baseline,engine off,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0803748369,0.0505874604,0.0995364785,0.137574404,0.209951982,0.190961912,0.681470871,0.0481278785,0.000108829583,0.0094341496,0.00466415565,-0.00466838945,-0.17697975,-0.185977489,0.644391894,0.390963972,25.4592457,6.63576508,2.50650096,0.371697068,0.257832944
OU-II,baseline,engine off,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.278107375,0.176363021,0.255068511,0.416542411,0.195219234,0.175705776,0.653486729,0.0438769609,0.000124070531,0.0310108811,0.00859015156,-0.0142095052,-0.150253966,-0.167436898,-0.610322535,1.04307246,24.4535751,6.3767128,3.9375577,0.793858051,0.859677911
OU-II,baseline,engine off,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.646640837,0.451569617,0.521816432,0.945701778,0.422424853,0.24862355,0.632059216,0.0817778334,0.000126101513,0.0727077201,0.0892209932,-0.02671149,-0.384898901,-0.237613276,0.5536955,2.15460348,24.2186756,6.13901663,4.4956646,1.04195726,1.49710143
OU-II,baseline,engine off,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00705138687,0.00512845302,0.0164732262,0.0186384078,0.332180202,0.092065528,0.649931669,0.0585981905,9.87909225e-05,0.00103534781,0.000145693135,-0.00177301688,-0.294095278,-0.0139042502,0.377133042,0.0499124601,33.0042381,6.10119486,1.51966047,0.0804252103,0.0310976487
OU-II,baseline,engine off,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0766009614,0.0490765944,0.0967993736,0.132839516,0.208546549,0.187290326,0.503658533,0.0474253111,0.000110945519,0.00860884972,0.00402759109,-0.00432189461,-0.175796151,-0.182290852,0.448074698,0.385561794,25.10606,6.45329142,2.326056,0.412268132,0.298793554
OU-II,baseline,engine off,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.265889406,0.1738199,0.249204084,0.403748959,0.175942719,0.16223982,0.498390943,0.0396280177,0.000120282624,0.029989522,0.00648279814,-0.0107567841,-0.128352895,-0.152895495,-0.445682555,1.04037023,23.9534035,6.23010206,3.67561054,0.857780755,0.999155521
OU-II,baseline,engine off,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.6340487,0.432334691,0.515755653,0.924626887,0.483353734,0.265708506,0.508700252,0.0920165926,0.000129494714,0.0696215332,0.0944487751,-0.0253397301,-0.444765568,-0.254836738,0.379173219,2.16781425,23.7915058,6.06771326,4.32140875,1.24531209,2.10747409
OU-II,speed,speed 800 rpm,800.0,0.6,80.0,0.381445,0.375112,20.0,15.3846,9.43957e-06,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0285000261,0.0496017374,0.0694079623,0.0899446979,2.80190945,0.829923987,21.1259441,0.479376018,0.00201152219,-0.019518679,-0.0441387072,-0.0645001829,2.79904294,-0.710778236,-18.1450405,0.0534430593,129.872742,25.7066517,1.53431797,0.0808200091,0.031233646
OU-II,speed,speed 800 rpm,800.0,0.6,80.0,0.381445,0.375112,20.0,15.3846,9.43957e-06,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.574237764,0.757220149,0.32565403,1.0045805,1.17149925,2.79020905,105.853615,0.480931312,0.0471909717,0.215335384,-0.508094907,-0.198614225,0.872475863,-2.6594758,-118.062897,0.390963972,83.2951508,21.710268,2.50637674,0.378623486,0.258024096
OU-II,speed,speed 800 rpm,800.0,0.6,80.0,0.381445,0.375112,20.0,15.3846,9.43957e-06,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.580260098,1.59581268,0.737791538,1.8513931,2.91814876,0.726241589,29.7945957,0.46470499,0.00127774396,-0.393969566,-1.48704255,-0.650492787,2.91098809,0.48431164,-27.8215389,1.04307246,70.7325287,18.444788,3.93742371,0.794788063,0.85987246
