condition,guard,spectrum,hs_m,input,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,disp_x_mean_m,disp_y_mean_m,disp_z_mean_m,roll_mean_deg,pitch_mean_deg,yaw_mean_deg,guard_engagement,guard_out_of_band_rms_mps2,guard_delay_sec,guard_racc_std_mps2,disp_z_ref_rms_m
engine off,guard,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00912913214,0.00908371806,0.0114732953,0.0172479413,0.307665735,0.120979249,0.493549347,0.0562699549,0.00141939276,0.000307587296,-0.000395495095,-0.27157101,-0.113093093,0.303649604,0.0,0.00795515,0.0,0.117754,0.0534430593
engine off,guard,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0692866594,0.0617609359,0.0614870973,0.111336052,0.169569299,0.118798591,0.386550993,0.0344956964,0.00575070316,0.00239236141,-0.00384178781,-0.144594803,-0.108957008,0.336942703,0.0,0.00795527,0.0,0.0294384,0.390963972
engine off,guard,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233526543,0.173230931,0.160706207,0.332219929,0.222907603,0.130766019,0.814530671,0.0426955149,0.0204635896,0.00654172851,-0.00962507166,-0.187047377,-0.117558062,-0.777642608,0.0,0.00795532,0.0,0.0294384,1.04307246
engine off,guard,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.524153173,0.40964815,0.315277755,0.736171305,0.289481997,0.14502053,0.330433637,0.052946154,0.0625451058,0.0269786865,-0.0120657953,-0.251047254,-0.128738761,0.19089891,0.0,0.00795557,0.0,0.0,2.15460348
engine off,guard,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00917331781,0.00901419204,0.0113749523,0.0171695948,0.312751889,0.119833104,0.659354746,0.0570186079,0.00137933344,0.000309195893,-0.000356146542,-0.276397347,-0.111966923,0.566245317,0.0,0.00795514,0.0,0.117754,0.0499124601
engine off,guard,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0669345185,0.0585478134,0.0603512004,0.107472524,0.169938147,0.119190335,0.243768901,0.0344661474,0.00515390281,0.00186172104,-0.00332462508,-0.145025685,-0.108257681,0.137709692,0.0,0.00795521,0.0,0.0294384,0.385561794
engine off,guard,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.226601139,0.166475058,0.158207253,0.322632223,0.207218379,0.129803151,0.601709485,0.0400950685,0.0191557538,0.00526174903,-0.00769930799,-0.172578707,-0.115719199,-0.556573153,0.0,0.00795583,0.0,0.0,1.04037023
engine off,guard,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.527043641,0.39047569,0.314737558,0.727534175,0.327541351,0.146496296,0.296647817,0.0586316139,0.0565273687,0.0265995972,-0.0114709912,-0.286031306,-0.127865076,-0.054032255,0.0,0.0079553,0.0,0.0,2.16781425
engine off,guard+R,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00912913214,0.00908371806,0.0114732953,0.0172479413,0.307665735,0.120979249,0.493549347,0.0562699549,0.00141939276,0.000307587296,-0.000395495095,-0.27157101,-0.113093093,0.303649604,0.0,0.00795515,0.0,0.117754,0.0534430593
engine off,guard+R,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0692866594,0.0617609359,0.0614870973,0.111336052,0.169569299,0.118798591,0.386550993,0.0344956964,0.00575070316,0.00239236141,-0.00384178781,-0.144594803,-0.108957008,0.336942703,0.0,0.00795527,0.0,0.0294384,0.390963972
engine off,guard+R,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233526543,0.173230931,0.160706207,0.332219929,0.222907603,0.130766019,0.814530671,0.0426955149,0.0204635896,0.00654172851,-0.00962507166,-0.187047377,-0.117558062,-0.777642608,0.0,0.00795532,0.0,0.0294384,1.04307246
engine off,guard+R,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.524153173,0.40964815,0.315277755,0.736171305,0.289481997,0.14502053,0.330433637,0.052946154,0.0625451058,0.0269786865,-0.0120657953,-0.251047254,-0.128738761,0.19089891,0.0,0.00795557,0.0,0.0,2.15460348
engine off,guard+R,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00917331781,0.00901419204,0.0113749523,0.0171695948,0.312751889,0.119833104,0.659354746,0.0570186079,0.00137933344,0.000309195893,-0.000356146542,-0.276397347,-0.111966923,0.566245317,0.0,0.00795514,0.0,0.117754,0.0499124601
engine off,guard+R,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0669345185,0.0585478134,0.0603512004,0.107472524,0.169938147,0.119190335,0.243768901,0.0344661474,0.00515390281,0.00186172104,-0.00332462508,-0.145025685,-0.108257681,0.137709692,0.0,0.00795521,0.0,0.0294384,0.385561794
