condition,guard,records,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,disp_x_mean_m,disp_y_mean_m,disp_z_mean_m,roll_mean_deg,pitch_mean_deg,yaw_mean_deg,guard_engagement,guard_out_of_band_rms_mps2,guard_delay_sec,guard_racc_std_mps2,disp_3d_offset_m,disp_3d_ratio_to_baseline
engine off,off,8,0.2941659787966792,0.21249352138072863,0.17901579527344072,0.4046403008016889,0.2549992703537708,0.16613349605766684,0.5711628772765037,0.05110128130289959,0.042668575694498195,0.01838332086639093,0.007162378827216463,0.22234963504603092,0.15725908205038697,0.4953973726290931,0.0,nan,0.0,nan,0.04700907899904405,1.0
engine off,guard,8,0.2941659787966792,0.21249352138072863,0.17901579527344072,0.4046403008016889,0.2549992703537708,0.16613349605766684,0.5711628772765037,0.05110128130289959,0.042668575694498195,0.01838332086639093,0.007162378827216463,0.22234963504603092,0.15725908205038697,0.4953973726290931,0.0,0.00795534875,0.0,0.0,0.04700907899904405,1.0
engine off,guard+R,8,0.2941659787966792,0.21249352138072863,0.17901579527344072,0.4046403008016889,0.2549992703537708,0.16613349605766684,0.5711628772765037,0.05110128130289959,0.042668575694498195,0.01838332086639093,0.007162378827216463,0.22234963504603092,0.15725908205038697,0.4953973726290931,0.0,0.00795534875,0.0,0.0,0.04700907899904405,1.0
800 rpm,off,8,3.6082264172765512,3.6695530811767028,0.834778382986036,5.213614081304927,3.7263609040630508,2.757007164485731,104.08072277147399,0.3966890588862944,0.33225538335863586,0.7596466328754334,0.7493787965375729,3.5821201311864845,2.6990026259624087,99.77074905141008,0.0,nan,0.0,nan,1.1175979721303537,12.884564565060659
800 rpm,guard,8,0.37074947892321797,0.41801427686322185,0.21359307014397838,0.5981748192985438,0.3241500912627258,1.489959106203638,57.58245866866759,0.26002787773692393,0.18492094103567114,0.09425363679546175,0.05369556494267245,0.2871221746050918,1.3816659548624703,57.288003391961524,1.0,0.08669856249999999,0.0227364,0.0,0.21438916991583726,1.478287798109622
800 rpm,guard+R,8,0.37795116135161183,0.3987793606365618,0.21917226179894167,0.5915306657331475,0.46908608020637826,1.7675456705079111,37.14566067786328,0.311229645219247,0.19816117335489333,0.0815162076540471,0.05956879855754171,0.44099935504833443,1.6796347699002339,36.01427780652494,1.0,0.08669856249999999,0.0227364,0.0517194375,0.22239870615018154,1.461867897392287
1600 rpm,off,8,13.876161717155169,13.762309253799089,2.9830390772413575,19.769864428985663,5.015623837917898,4.931041723793752,103.95732887896975,0.4047524211007598,0.446147629090735,0.7158125671026506,2.8112565838775807,4.729299942690077,4.83743804187015,110.73180317062726,0.0,nan,0.0,nan,2.9350636992338712,48.85787300428763
1600 rpm,guard,8,0.34712586922101185,0.31827820394658135,0.20128802244122368,0.5121662287054104,0.6123934899349938,1.5894659983688026,28.619647216019846,0.2903800551855168,0.15879482056416547,0.026517703666004873,0.035525489146517916,0.590444582255012,1.4789459992198244,28.133199351159725,1.0,0.118238125,0.0227364,0.0,0.16486674626747178,1.2657321272515047
1600 rpm,guard+R,8,0.33109179541405975,0.26882690396343006,0.19638024078362978,0.4695262335973453,0.4331260604944832,1.2851446753925553,8.346692970320985,0.23172528680668275,0.12649444377805533,0.008456104145367644,0.013596911242428678,0.367610810612441,1.1044483318468739,8.212089758733503,1.0,0.118238125,0.0227364,0.072431,0.1275038273910685,1.160354598064261
2400 rpm,off,8,18.780431099886737,18.133455537303874,7.838985312296977,27.257595284856933,9.036325107725233,2.092149533449591,103.87677407957052,0.38194452636886367,0.3028380423132412,0.7735033539803794,6.723697451651779,8.621960807787826,1.1659874952134837,101.71298824811176,0.0,nan,0.0,nan,6.774815550244865,67.3625321819234
2400 rpm,guard,8,0.352566210062853,0.3141535398404351,0.20287085532203974,0.513957170413624,0.47202385919024076,1.6399850586990603,28.54375186213875,0.2913544398664607,0.16930717571148177,0.028614225844138988,0.0369630544625876,0.4443457140912635,1.5256770695939417,27.86801053081236,1.0,0.144302,0.0227364,0.0,0.17564156986107296,1.2701581364865346
2400 rpm,guard+R,8,0.31918532204521693,0.2540098427170039,0.1980222104409115,0.4534457663401451,0.2180663943930896,0.70328028238334,5.099971344287968,0.12600408147152656,0.09826294766153618,0.007369770474456458,0.010436329318265724,0.17701393716044792,0.5571336540657148,5.009770941409847,1.0,0.144302,0.0227364,0.09064015,0.09909004677372628,1.1206144455748994
