family,record,axis,gain_at_peak_before,gain_at_peak_after,phase_deg_at_peak_before,phase_deg_at_peak_after,wave_band_error_rms_before,wave_band_error_rms_after,out_of_band_est_rms_before,out_of_band_est_rms_after,error_rms_before,error_rms_after
OU-II,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,x,0.9879598713542593,0.9796867047003698,0.6575791548918531,-0.45142041448973325,0.002300149585800957,0.0024212506708817167,0.00650768701989635,0.0048539291072519485,0.00940650081381923,0.006896534773283745
OU-II,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,y,0.9454319608877604,0.9332856931474727,3.1096255232365664,1.6585796659047087,0.0028099460974194326,0.00271904035146429,0.006495440037568629,0.004696237032074521,0.00950028410307914,0.00673544371055458
OU-II,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,z,0.9920333008483363,0.9919925360159205,-0.8108632710950612,-0.8172046565541606,0.005371392256723671,0.0053963543074772614,0.006175697111192748,0.006174067672445632,0.009579663891135784,0.009592710914421928
OU-II,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,x,0.9857837291174282,0.9743604811113713,-0.08041459117729757,-1.3055443565898186,0.0022796731875866817,0.002425248964468716,0.006460175399796915,0.0047372187266938575,0.009220232631883147,0.006684586172415003
OU-II,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,y,0.9712645250977672,0.9628787829676404,1.825006534866469,0.6508627906699123,0.002714098356470497,0.002605714304054189,0.006457133186307901,0.004645615534872349,0.00930538390681744,0.0066040554903528306
OU-II,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,z,0.9945571757586973,0.9945327525128228,-1.188492187497578,-1.191992066931548,0.005618009639142789,0.005641796533782853,0.006129961719760206,0.0061287484530213885,0.009608196659735035,0.00962143134019667
OU-III,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,x,0.9792021130884976,0.9643300074637922,0.07367393276923444,-2.114890414277668,0.002410492864996052,0.003147136174070415,0.005605122839809649,0.0037292004157518815,0.007942263957369224,0.006506321536166776
OU-III,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,y,0.9378633592199275,0.9159745749099254,2.7543659881666183,0.3183545053888255,0.002819537219596679,0.002637978608305686,0.005599490315453329,0.003680691621857346,0.007987433581763608,0.006107937158182614
OU-III,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,z,0.9881569937534885,0.9881452965852547,-0.8927191305004799,-0.8931050926260311,0.00643413029899985,0.006441452393132687,0.005931474793788647,0.005931139422851313,0.009762170700060725,0.009764794698874415
OU-III,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,x,0.9691618907248198,0.9466401701198466,-0.42711211540570254,-2.7704089483535026,0.0024171334056103375,0.003130338811661031,0.0055475719982200165,0.003643841822044358,0.007821321756626053,0.006412695142604021
OU-III,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,y,0.9506767594334623,0.9317801763913381,1.9492302347030732,-0.34341188826330266,0.002775353089509334,0.0025896835307259503,0.005549649570666456,0.003619282869597127,0.007859106398913249,0.006010029001137973
OU-III,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,z,0.9919739737658588,0.9919717729591652,-1.4872336406233386,-1.4892883546715596,0.0068034027634722525,0.006811722049550536,0.005903112391979777,0.0059029356640651195,0.009944862190040126,0.009948927064854122
