family,spectrum,hs_m,input,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,disp_z_ref_rms_m,disp_z_pct_refrms,disp_z_pct_hs,wave_period_s,tau_applied_s,sigma_applied_mps2
OU-II,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00515386602,0.0024917135,0.0249613225,0.0256093461,0.320813447,0.49974668,1.364995,0.101709805,1.1080414e-05,0.0534430593,46.7063904,9.24493408,2.90865135,1.45692492,0.0500000007
OU-II,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0686410889,0.0309574232,0.0832246393,0.112233244,0.0299226847,0.0255510546,0.174510911,0.00572861033,9.27974634e-06,0.390963972,21.287035,5.54830885,4.98612165,2.50470543,0.375445783
OU-II,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.252352864,0.140680701,0.219311476,0.362726539,0.0260598157,0.0665615126,0.135107696,0.0109215332,1.7554079e-05,1.04307246,21.025528,5.48278713,7.82888651,3.93661332,0.794765353
OU-II,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.602784514,0.387810647,0.460237414,0.851800859,0.24001421,0.0593991652,0.294488966,0.0400849432,2.72679063e-05,2.15460348,21.3606548,5.41455793,9.12815666,4.49749565,1.0445869
OU-II,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00511219399,0.00257780403,0.0213007238,0.0220567547,0.309731841,0.45309481,1.24919546,0.094003357,1.1869588e-05,0.0499124601,42.6761627,7.88915682,2.85422158,1.43320906,0.0500000007
OU-II,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0653181896,0.0310612358,0.0812191442,0.10875576,0.0302761495,0.0325093232,0.103947394,0.00635030959,9.13212079e-06,0.385561794,21.0651436,5.41460943,4.63298464,2.32412052,0.415396452
OU-II,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.241148248,0.141230747,0.216169953,0.353310138,0.0455343425,0.0761363059,0.343131006,0.0137260705,2.04540793e-05,1.04037023,20.7781754,5.40424871,7.32123756,3.67473006,0.85886687
OU-II,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.595239699,0.373043656,0.458372295,0.838795006,0.304379255,0.0708824024,0.172214687,0.0508610569,2.61454788e-05,2.16781425,21.1444454,5.39261532,8.78065205,4.32314205,1.24801743
OU-III,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00316561176,0.0014344462,0.00796408299,0.00868938118,0.142406017,0.0924993306,0.342763692,0.0290517509,3.28170904e-06,0.0534430593,14.9019966,2.9496603,2.90865135,1.45679474,0.00854881946
OU-III,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0492050909,0.022262862,0.0452421568,0.0704530254,0.0217624325,0.040371418,0.158395872,0.00672620069,8.15036219e-06,0.390963972,11.57195,3.01614356,4.98612165,2.50435352,0.399291992
OU-III,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.183443472,0.108239681,0.121691085,0.245308086,0.0427645743,0.0660919771,0.154094204,0.0121392524,1.78447935e-05,1.04307246,11.6665993,3.0422771,7.82888651,3.93621516,0.841401994
OU-III,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.446493208,0.292903215,0.249846041,0.589551985,0.104687661,0.0412246399,0.249152958,0.016524436,3.08526542e-05,2.15460348,11.5959177,2.93936515,9.12815666,4.49857712,1.10598421
OU-III,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0033147207,0.00156930275,0.00793731213,0.008743627,0.148937628,0.0876673535,0.330710232,0.0295709185,3.28252077e-06,0.0499124601,15.9024658,2.93974519,2.85422158,1.43288481,0.00837997254
