arm,metric,scenario,n,empirical,physical_mse,delta,ci95_half
physical-mse,disp_z_pct_hs,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,4,6.9073842775,6.8445102,-0.06287407749999985,0.011012084977773375
physical-mse,disp_z_pct_hs,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,4,6.4016830925,6.3806968925,-0.020986200000000066,0.017129009294285322
physical-mse,disp_z_pct_hs,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,4,6.3564867975,6.3614196775,0.004932880000000139,0.029540933619614226
physical-mse,disp_z_pct_hs,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,4,6.07269299,6.08786118,0.015168190000000026,0.0712534314272009
physical-mse,disp_z_pct_hs,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,4,6.61449206,6.510077,-0.10441505999999978,0.03419241894573821
physical-mse,disp_z_pct_hs,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,4,6.169899345,6.138335227500001,-0.03156411749999988,0.02022923194739427
physical-mse,disp_z_pct_hs,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,4,6.133558035,6.1302943225,-0.0032637125000001266,0.018561933709386445
physical-mse,disp_z_pct_hs,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,4,6.17600441,6.1754348299999995,-0.0005695800000002915,0.04435570646323294
physical-mse,disp_z_pct_hs,ALL,32,6.3540251259375005,6.32857866625,-0.025446459687499978,0.017328910254804174
physical-mse,disp_3d_rms_m,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,4,0.0351781333,0.034361596225,-0.0008165370749999967,0.00018680332156354178
physical-mse,disp_3d_rms_m,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,4,0.19580710675000002,0.194417026,-0.0013900807499999945,0.000443282641950671
physical-mse,disp_3d_rms_m,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,4,0.5335103720000001,0.54403030125,0.01051992924999999,0.0023866303679591517
physical-mse,disp_3d_rms_m,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,4,1.15020317,1.20317513,0.05297196000000004,0.04268457886863236
physical-mse,disp_3d_rms_m,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,4,0.034539639925000004,0.033159579174999995,-0.001380060750000002,0.00026259617763448837
physical-mse,disp_3d_rms_m,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,4,0.1905090065,0.18604655925,-0.004462447250000001,0.0011595499856598631
physical-mse,disp_3d_rms_m,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,4,0.5171735212499999,0.519055739,0.001882217750000012,0.0016487584073715765
physical-mse,disp_3d_rms_m,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,4,1.11222595,1.1382244225,0.02599847249999998,0.01052463126608058
physical-mse,disp_3d_rms_m,ALL,32,0.471143362465625,0.481558794175,0.010415431709375004,0.00813278946705584
physical-mse,roll_rms_deg,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,4,0.257028235,0.25693571025,-9.25247499999858e-05,0.0003127894588267527
physical-mse,roll_rms_deg,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,4,0.25073083875,0.25067592025,-5.491849999999382e-05,6.773283187177353e-05
physical-mse,roll_rms_deg,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,4,0.34348056800000004,0.3440527765,0.0005722084999999766,0.0006075938021093212
physical-mse,roll_rms_deg,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,4,0.4196635535,0.42085287625,0.00118932275000002,0.0011755871189989872
