arm,family,hs_m,record,z_rms_m,z_pct_hs,rms_3d_m,roll_deg,pitch_deg,yaw_deg,tau_applied,sigma_applied
empirical,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0182035,6.74205,0.03616,0.234655,0.141977,1.06814,1.28034,0.339124
empirical,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0972764,6.4851,0.211314,0.203282,0.0795939,1.04014,2.18073,0.688929
empirical,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.247618,6.19046,0.574698,0.43301,0.21532,0.831385,3.59057,1.0612
empirical,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.511156,6.01359,1.253,0.363599,0.277519,0.389997,4.22184,1.34186
empirical,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0182759,6.76884,0.0361908,0.220035,0.169529,0.691219,1.17259,0.364511
empirical,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0941367,6.27578,0.201591,0.213525,0.166998,0.976894,2.04482,0.746237
empirical,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.241049,6.02624,0.538459,0.348861,0.204516,0.48726,3.28991,1.06392
empirical,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.517734,6.09099,1.16817,0.276099,0.177256,0.529123,4.10027,1.41336
C_P=0.07,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0186639,6.91255,0.0339939,0.235598,0.133697,1.04616,1.28034,0.339124
C_P=0.07,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.10004,6.66934,0.194912,0.200936,0.0813664,1.02548,2.18073,0.688929
C_P=0.07,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.257863,6.44657,0.53831,0.42961,0.212614,0.828543,3.59057,1.0612
C_P=0.07,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.540425,6.35794,1.17502,0.358396,0.267366,0.382909,4.22184,1.34186
C_P=0.07,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0184857,6.84655,0.0331994,0.22126,0.160972,0.664108,1.17259,0.364511
C_P=0.07,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.097831,6.52207,0.184273,0.210845,0.168144,0.971527,2.04482,0.746237
C_P=0.07,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.256009,6.40022,0.502803,0.344257,0.210254,0.484694,3.28991,1.06392
C_P=0.07,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.549478,6.46445,1.09916,0.271573,0.186033,0.531908,4.10027,1.41336
C_P=0.085,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0181372,6.7175,0.0338795,0.23484,0.138263,1.05775,1.28034,0.339124
C_P=0.085,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0976887,6.51258,0.197066,0.201628,0.0803447,1.03341,2.18073,0.688929
C_P=0.085,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.249992,6.24979,0.546397,0.43103,0.213445,0.828773,3.59057,1.0612
C_P=0.085,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.519884,6.11629,1.20744,0.36131,0.273556,0.387229,4.22184,1.34186
C_P=0.085,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0179646,6.65357,0.0330641,0.220306,0.165851,0.678313,1.17259,0.364511
C_P=0.085,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0949797,6.33198,0.185309,0.211537,0.168298,0.975254,2.04482,0.746237
C_P=0.085,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.247211,6.18028,0.508087,0.346241,0.207674,0.485342,3.28991,1.06392
