mode,axis,distance_m,spectrum,hs_m,input,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,disp_z_ref_rms_m,disp_z_pct_refrms,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2,lever_estimate_err_m,lever_sigma_max_m,installed_rms_mps2,residual_rms_mps2,cutoff_hz
gyro,y-fore-aft,0.3,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0190817397,0.0155156013,0.0156766754,0.0291651301,0.201051101,0.245339617,0.644347012,0.0541642979,0.000149964253,0.0674330741,23.2477531,5.80617571,1.24034011,0.462570548,nan,nan,0.129585,0.126256,1.0
gyro,y-fore-aft,0.3,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.118339911,0.0856380463,0.0642487481,0.15958105,0.171776965,0.0788723081,0.706723332,0.030166246,0.000127801351,0.377546638,17.0174332,4.28324986,2.08142138,0.803111851,nan,nan,0.21738,0.21452,1.0
gyro,y-fore-aft,0.3,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.335965484,0.254321992,0.165984526,0.452883363,0.235431328,0.296253711,0.411789238,0.0634615868,0.000148375722,1.02519965,16.1904602,4.14961338,3.66111612,1.22014344,nan,nan,0.351269,0.369081,1.0
gyro,y-fore-aft,0.3,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.751551211,0.628263056,0.322895944,1.0314095,0.198458821,0.349648654,0.501207113,0.0571755059,0.000151643195,2.11067176,15.298254,3.79877567,4.18230295,1.55631948,nan,nan,0.56346,0.608851,1.0
gyro,y-fore-aft,0.3,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0191735458,0.0148498267,0.0166076887,0.0293931533,0.184424683,0.250769854,0.609701216,0.052997116,0.000166863058,0.0673020929,24.6763325,6.15099573,1.11046696,0.506052315,nan,nan,0.160548,0.15782,1.0
gyro,y-fore-aft,0.3,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.112798467,0.0818688795,0.0605562925,0.151964039,0.177358225,0.088169843,0.343218476,0.0323333293,0.000132185291,0.37178427,16.2880192,4.03708601,2.03969383,0.743653715,nan,nan,0.27545,0.276917,1.0
gyro,y-fore-aft,0.3,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.313857347,0.253235251,0.167110607,0.436532319,0.230839223,0.377729774,0.562018275,0.074132897,0.000157712813,0.991573155,16.8530788,4.17776537,3.53244853,1.13218737,nan,nan,0.438401,0.466101,1.0
gyro,y-fore-aft,0.3,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.699082732,0.585838854,0.343040526,0.974474549,0.257571071,0.389401972,0.820863724,0.0663355142,0.000149418251,2.09133387,16.4029541,4.03577089,4.26286411,1.49592221,nan,nan,0.663264,0.721539,1.0
gyro,y-fore-aft,0.3,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0188377909,0.0153265595,0.0139655871,0.0280143432,0.214051202,0.214898542,0.631760836,0.0517537519,0.000150239357,0.0674330741,20.7102928,5.17243958,1.25069368,0.439414799,nan,nan,0.129585,0.0821883,2.0
gyro,y-fore-aft,0.3,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.116064698,0.0846552178,0.063593179,0.157103822,0.178816244,0.0999735072,0.789916456,0.0330300964,0.000127909894,0.377546638,16.8437939,4.23954487,2.08190918,0.816172302,nan,nan,0.21738,0.151713,2.0
gyro,y-fore-aft,0.3,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.331152618,0.251257956,0.16568175,0.447485268,0.269425839,0.233509839,0.357226491,0.0595353097,0.000148270105,1.02519965,16.1609249,4.14204359,3.67089939,1.20370007,nan,nan,0.351269,0.297761,2.0
gyro,y-fore-aft,0.3,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.756981671,0.623077691,0.320928693,1.03162122,0.187249392,0.280427605,0.376123548,0.0466342494,0.000151761866,2.11067176,15.2050495,3.77563167,4.18354893,1.54874599,nan,nan,0.56346,0.545325,2.0
gyro,y-fore-aft,0.3,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0186290629,0.0146262087,0.0144378804,0.0277384277,0.202549681,0.215990961,0.646222532,0.0504384562,0.000167027261,0.0673020929,21.4523506,5.347363,1.11821485,0.484729201,nan,nan,0.160548,0.104067,2.0
gyro,y-fore-aft,0.3,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.10860379,0.079699114,0.0604664832,0.147658139,0.194359288,0.126289725,0.45406574,0.0382089615,0.000131890964,0.37178427,16.2638626,4.03109884,2.03378725,0.746204793,nan,nan,0.27545,0.196732,2.0
gyro,y-fore-aft,0.3,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.305927366,0.242242157,0.163681358,0.423160017,0.283178747,0.30325982,0.580949485,0.0695890486,0.000157205126,0.991573155,16.5072403,4.09203386,3.5418694,1.11679292,nan,nan,0.438401,0.365441,2.0
gyro,y-fore-aft,0.3,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.689700544,0.571567178,0.348426044,0.961132944,0.209471285,0.280481964,0.608084142,0.0476458184,0.000148846724,2.09133387,16.660471,4.09912968,4.26546049,1.48481655,nan,nan,0.663264,0.620445,2.0
gyro,y-fore-aft,0.3,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0185660142,0.0152600333,0.0127217118,0.0271920487,0.222722337,0.192541748,0.629959106,0.0501421206,0.000150519074,0.0674330741,18.8656845,4.71174479,1.27202058,0.401537836,nan,nan,0.129585,0.03687,5.0
gyro,y-fore-aft,0.3,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.114144459,0.0845667571,0.0632575154,0.155505642,0.182820186,0.12610437,0.864540458,0.0360343009,0.00012795681,0.377546638,16.7548866,4.21716738,2.07693553,0.831632853,nan,nan,0.21738,0.074921,5.0
gyro,y-fore-aft,0.3,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.324528158,0.2494535,0.163437352,0.440746337,0.29936564,0.161840647,0.403566658,0.0559523404,0.000148812454,1.02519965,15.9420023,4.08593369,3.67693639,1.19417417,nan,nan,0.351269,0.167378,5.0
gyro,y-fore-aft,0.3,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.740626752,0.612368107,0.312298,1.01047158,0.172912702,0.126790255,0.27226153,0.0260481201,0.00015064422,2.11067176,14.7961426,3.67409396,4.18569231,1.54107988,nan,nan,0.56346,0.351865,5.0
gyro,y-fore-aft,0.3,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0179979075,0.0145819476,0.0128193749,0.0264744069,0.213873431,0.193304837,0.678180277,0.0490338504,0.00016720561,0.0673020929,19.0475121,4.7479167,1.13674498,0.45327118,nan,nan,0.160548,0.0469697,5.0
gyro,y-fore-aft,0.3,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.103220142,0.078974165,0.0599356256,0.143120915,0.205269754,0.163091958,0.548480034,0.0431764871,0.000131698092,0.37178427,16.1210766,3.99570823,2.01609898,0.766758919,nan,nan,0.27545,0.0945221,5.0
gyro,y-fore-aft,0.3,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.290425092,0.233753398,0.158440605,0.405081242,0.331731945,0.226804912,0.669627845,0.0668136552,0.000156803173,0.991573155,15.9787111,3.96101522,3.54889631,1.10018492,nan,nan,0.438401,0.189946,5.0
gyro,y-fore-aft,0.3,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.651136637,0.547899067,0.330782831,0.913011253,0.166678742,0.106863834,0.270730704,0.0224775877,0.000146581093,2.09133387,15.8168344,3.8915627,4.26836157,1.47375679,nan,nan,0.663264,0.362668,5.0
gyro,y-fore-aft,0.3,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0185041633,0.0152447401,0.0123639237,0.0269754101,0.224891663,0.185070649,0.63103199,0.0495622903,0.000150664331,0.0674330741,18.335104,4.57923079,1.28140759,0.387721658,nan,nan,0.129585,0.0222918,10.0
gyro,y-fore-aft,0.3,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.113883443,0.084585458,0.0632722527,0.155330345,0.183453277,0.133181959,0.884092391,0.0368467197,0.000127982028,0.377546638,16.758791,4.21815014,2.07432437,0.836157262,nan,nan,0.21738,0.0411804,10.0
gyro,y-fore-aft,0.3,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.32327047,0.249171451,0.162270546,0.439228803,0.307933509,0.140411094,0.444298357,0.0552874617,0.000149160609,1.02519965,15.8281898,4.05676365,3.67835736,1.1920768,nan,nan,0.351269,0.0925695,10.0
gyro,y-fore-aft,0.3,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.733879149,0.608522415,0.30898878,1.00217378,0.167386442,0.0843236223,0.427473724,0.0240963772,0.000149623971,2.11067176,14.6393576,3.63516212,4.18635941,1.53913879,nan,nan,0.56346,0.205454,10.0
gyro,y-fore-aft,0.3,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0178558137,0.0145851318,0.0123640774,0.0261615478,0.216421857,0.18666172,0.689618826,0.0485749952,0.000167301128,0.0673020929,18.3710155,4.57928801,1.14543581,0.440266162,nan,nan,0.160548,0.0268053,10.0
gyro,y-fore-aft,0.3,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.101859801,0.078879483,0.0597488806,0.142011687,0.207568124,0.17092599,0.569350958,0.0442598686,0.000131695197,0.37178427,16.0708466,3.98325849,2.00800538,0.777102768,nan,nan,0.27545,0.0505329,10.0
gyro,y-fore-aft,0.3,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.28686896,0.232269332,0.157107264,0.401155233,0.343264312,0.207027689,0.704356551,0.0664024502,0.000156737296,0.991573155,15.844244,3.92768168,3.55095053,1.09603834,nan,nan,0.438401,0.101474,10.0
gyro,y-fore-aft,0.3,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.637601972,0.541163027,0.324216843,0.89694494,0.160474524,0.0951647088,0.26680693,0.0230131242,0.000145487589,2.09133387,15.5028734,3.8143158,4.26920557,1.47109592,nan,nan,0.663264,0.201238,10.0
gyro,y-fore-aft,0.3,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0184873641,0.0152409887,0.0122601092,0.0269143209,0.225510195,0.181878954,0.6316697,0.0492814295,0.000150743756,0.0674330741,18.1811504,4.54078102,1.28468156,0.383051127,nan,nan,0.129585,0.0248863,15.0
gyro,y-fore-aft,0.3,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.113863125,0.0845912397,0.0633403584,0.155346349,0.183613345,0.133891448,0.886549532,0.0369357914,0.000128020853,0.377546638,16.7768307,4.22269058,2.07333159,0.837899446,nan,nan,0.21738,0.0341558,15.0
gyro,y-fore-aft,0.3,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.323244572,0.249145597,0.161974773,0.439085871,0.30992049,0.134597957,0.458395869,0.0550933108,0.000149324842,1.02519965,15.7993393,4.04936934,3.67871881,1.19158864,nan,nan,0.351269,0.0661189,15.0
gyro,y-fore-aft,0.3,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.732063234,0.607597411,0.308805466,1.00022602,0.165963516,0.0927926004,0.49153465,0.0259895884,0.000149297339,2.11067176,14.6306725,3.63300538,4.18651485,1.53872907,nan,nan,0.56346,0.143919,15.0
gyro,y-fore-aft,0.3,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0178275704,0.0145873614,0.0122380294,0.0260841474,0.217331052,0.183159396,0.69709307,0.0482867658,0.000167380713,0.0673020929,18.1837273,4.53260326,1.14832437,0.435947955,nan,nan,0.160548,0.0268075,15.0
