mode,axis,distance_m,spectrum,hs_m,input,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,disp_z_ref_rms_m,disp_z_pct_refrms,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2,installed_rms_mps2,residual_rms_mps2,cutoff_hz
baseline,cg,0.0,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00967185386,0.00908234995,0.0114701567,0.0175384805,0.311115354,0.127012625,0.481720686,0.057324294,0.000104372062,0.0534430593,21.462389,4.24820614,1.53016257,0.00927246734,0.0,0.0,nan
baseline,cg,0.0,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.068703033,0.0507273749,0.0614796393,0.105228886,0.160465479,0.16626817,0.588553309,0.0390662774,0.000111615649,0.390963972,15.7251425,4.09864235,2.50614047,0.395435423,0.0,0.0,nan
baseline,cg,0.0,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233375847,0.154702798,0.160558179,0.322763324,0.218686327,0.160141438,0.772696197,0.0452534929,0.000129877822,1.04307246,15.3928118,4.01395464,3.93718505,0.840440214,0.0,0.0,nan
baseline,cg,0.0,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.534260571,0.398205221,0.3149077,0.73699975,0.283847094,0.196667507,0.546547532,0.0573397726,0.000125838123,2.15460348,14.6155758,3.70479631,4.49675846,1.10321951,0.0,0.0,nan
baseline,cg,0.0,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00962115917,0.00902907457,0.0113715604,0.0174184758,0.317121178,0.126179919,0.64784658,0.0582333691,0.000100051431,0.0499124601,22.7830086,4.211689,1.5192982,0.0886807293,0.0,0.0,nan
baseline,cg,0.0,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0667751953,0.0484984741,0.060331922,0.102229983,0.158343449,0.166970998,0.427925795,0.038793046,0.000115241441,0.385561794,15.6477957,4.02212811,2.32577109,0.438276649,0.0,0.0,nan
baseline,cg,0.0,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.226772085,0.155430049,0.158098221,0.317142099,0.205164522,0.156385839,0.581269205,0.042785272,0.000123272926,1.04037023,15.1963425,3.95245552,3.67536664,0.908064008,0.0,0.0,nan
baseline,cg,0.0,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.539981127,0.386626095,0.314248055,0.734718442,0.318639666,0.210819334,0.441467166,0.0633730665,0.000128251151,2.16781425,14.4960785,3.69703579,4.32255459,1.31836534,0.0,0.0,nan
exact,x-fore-aft,0.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00967181195,0.00908236671,0.0114699602,0.0175383389,0.311113983,0.127013355,0.481714815,0.0573241152,0.000104371516,0.0534430593,21.4620209,4.24813318,1.53016913,0.00927249435,0.0111503,0.0,nan
exact,x-fore-aft,0.1,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0687013045,0.050726667,0.0614794865,0.105227329,0.160465002,0.1662696,0.588555396,0.0390663743,0.000111615103,0.390963972,15.7251034,4.09863234,2.50614023,0.395435572,0.0237737,0.0,nan
