mode,axis,distance_m,records,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,disp_3d_ratio_to_baseline,disp_z_ratio_to_baseline,max_tilt_rms_deg,tilt_ratio_to_baseline,installed_rms_mps2,residual_rms_mps2,excess_removed_fraction,tilt_excess_removed_fraction
baseline,cg,0.0,8,0.2941659787966792,0.21249352138072863,0.17901579527344072,0.4046403008016889,0.2549992703537708,0.16613349605766684,0.5711628772765037,0.05110128130289959,0.00011778715595396021,1.0,1.0,0.2549992703537708,1.0,0.0,0.0,nan,nan
exact,x-fore-aft,0.1,8,0.2941678131112533,0.2124951853263052,0.17901491876215372,0.40464213404699473,0.2549988584894762,0.16613444987900872,0.5711652369635598,0.05110127119997488,0.00011778691077088216,1.0000045305554148,0.9999951037209557,0.2549988584894762,0.9999983848412819,0.029842163525915812,0.0,nan,nan
exact,x-fore-aft,0.2,8,0.294168054930209,0.21249360443376403,0.1790149184481219,0.40464146197818684,0.25499883023980013,0.1661350460622798,0.5711686465006051,0.05110133571371615,0.00011778680917799588,1.0000028696511338,0.9999951019667428,0.25499883023980013,0.9999982740579216,0.059684328740549644,0.0,nan,nan
exact,x-fore-aft,0.3,8,0.2941674953124003,0.21249260267215547,0.1790149634049932,0.4046405460752318,0.2549994124215202,0.16613429627386223,0.5711631141459446,0.051101347454324375,0.00011778701197577186,1.000000606152038,0.9999953531002879,0.2549994124215202,1.0000005571300232,0.08952659441818113,0.0,nan,nan
exact,y-port,0.1,8,0.2941676924308242,0.2124916078466591,0.1790156185535257,0.40464047428945477,0.25499957539699897,0.16613400250892574,0.5711621019636831,0.05110133435956388,0.00011778705612783867,1.0000004287456428,0.999999012825015,0.25499957539699897,1.0000011962513766,0.025775488310945,0.0,nan,nan
exact,y-port,0.2,8,0.29416839834410674,0.2124915338981076,0.17901613231616342,0.4046411794275767,0.2549987765966778,0.16613380787484938,0.5711651728855252,0.05110123399701125,0.00011778668913231668,1.000002171375135,1.000001882754101,0.2549987765966778,0.9999980636921341,0.05155096036435694,0.0,nan,nan
exact,y-port,0.3,8,0.29416755393013544,0.21249493531153799,0.17901583171975885,0.40464220570989323,0.2549995342483046,0.1661339873592551,0.5711647187919346,0.051101331038706004,0.00011778735386104195,1.0000047076581362,1.0000002035927504,0.2549995342483046,1.000001034883486,0.07732643272780337,0.0,nan,nan
exact,z-vertical,0.1,8,0.2941670691915111,0.21249136791556827,0.17901509903064133,0.40463965381193356,0.2549989626662348,0.16613367865638598,0.5711658671994136,0.05110123203332173,0.0001177868593428749,0.9999984010743516,0.9999961107186194,0.2549989626662348,0.9999987933787592,0.03859853670822574,0.0,nan,nan
exact,z-vertical,0.2,8,0.29416715798920273,0.2124928491816574,0.17901439579266162,0.4046401869981629,0.254999303421843,0.1661344501008307,0.5711651105712985,0.05110134984916326,0.00011778711239883185,0.9999997187538519,0.9999921823614673,0.254999303421843,1.0000001296790857,0.07719709043250109,0.0,nan,nan
exact,z-vertical,0.3,8,0.29416455267651404,0.21249386067707987,0.17901541250652783,0.4046392787805455,0.2549989542562441,0.1661347887725055,0.5711678682515314,0.05110133628657609,0.00011778717437762851,0.9999974742477669,0.9999978618260343,0.2549989542562441,0.9999987603983091,0.1157954449996523,0.0,nan,nan
gyro,x-fore-aft,0.1,8,0.2940832135597762,0.21260804134409728,0.17906867416793548,0.40466369678081476,0.2556692681875298,0.16536031867742856,0.5672801921565596,0.05112667363553843,0.00011823250494130021,1.0000578192015959,1.0002953867529623,0.2556692681875298,1.0026274500034038,0.029842163525915812,0.007297588830957285,nan,nan
gyro,x-fore-aft,0.2,8,0.2940159476201246,0.21279510479047983,0.17912991795001468,0.4047402431427012,0.2565236775487575,0.16426516868908636,0.5645992595409748,0.051147087344855534,0.00011882602362539007,1.00024699057611,1.0006375005981993,0.2565236775487575,1.005978084536759,0.059684328740549644,0.014595192733011441,nan,nan
gyro,x-fore-aft,0.3,8,0.2939239450184107,0.21302423184647828,0.1791894658847686,0.40482030451890466,0.2572179163536753,0.16291043329678617,0.563461819095453,0.051119348999780684,0.00011954618024509551,1.0004448487134354,1.000970141271962,0.2572179163536753,1.0087005974441672,0.08952659441818113,0.02189275758133269,nan,nan
gyro,y-port,0.1,8,0.29411764378624894,0.21251169816015136,0.17899516977522126,0.40460558589130746,0.25362482570140266,0.16562496415912797,0.5700296357362044,0.05085787762131614,0.00011814127233639968,0.9999142079760404,0.9998847839198326,0.25362482570140266,0.9946100055484028,0.025775488310945,0.007269806027610021,nan,nan
gyro,y-port,0.2,8,0.2940745285647019,0.2125534701600429,0.178981584644664,0.4045901901259387,0.25208145701978546,0.16501144468401924,0.5700018782555211,0.050579179575675225,0.00011862761479224893,0.9998761599483519,0.9998088960321938,0.25208145701978546,0.9885575620277762,0.05155096036435694,0.01453960459086663,nan,nan
gyro,y-port,0.3,8,0.2940540830699597,0.2125947713910412,0.178976656286143,0.4045948472860918,0.25071025074038505,0.1643265575216637,0.5709316449022787,0.05031772160216013,0.00011925731957640318,0.9998876693312381,0.9997813657323482,0.25071025074038505,0.9831802671143514,0.07732643272780337,0.021809425416577346,nan,nan
gyro,z-vertical,0.1,8,0.2941448592033625,0.21260808123070948,0.17906355866343113,0.40470626620657135,0.25582852225331104,0.16355126775741224,0.5683632073813037,0.050970801874324886,0.00011732474591393703,1.000163022330578,1.000266811037079,0.25582852225331104,1.0032519775385624,0.03859853670822574,0.007373338910395344,nan,nan
gyro,z-vertical,0.2,8,0.2941303371258677,0.21275510090866687,0.17912037330559347,0.4047980961478422,0.2565745253778898,0.16107979904769398,0.5716783845592768,0.05084401290120127,0.00011718182287271222,1.0003899644841125,1.0005841832671414,0.2565745253778898,1.0061774883588237,0.07719709043250109,0.014746670573344682,nan,nan
gyro,z-vertical,0.3,8,0.294092933744935,0.21288933919693448,0.1791757599291605,0.40486599061888806,0.2570930715556868,0.15896044150547123,0.5837175455492516,0.05072178803971931,0.00011750745830934734,1.000557754175133,1.0008935784435973,0.2570930715556868,1.008211008600186,0.1157954449996523,0.022120011751127076,nan,nan
unmodeled,x-fore-aft,0.1,8,0.2942628536271428,0.2123656110967534,0.17812807247865867,0.40425164099130034,0.2535641189774338,0.17389623528943415,0.5781126259723308,0.05168284275315503,0.0001175851704873329,0.9990394930766449,0.9950410923604474,0.2535641189774338,0.9943719392830186,0.029842163525915812,0.029842163525915812,nan,nan
