arm,record,seed,gate,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,yaw_rms_deg,roll_rms_deg,pitch_rms_deg,accel_bias_3d_rms_mps2,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2
S1.00_rho1.00,jonswap_H0.270,1,FAIL,0.0462790355,0.0404217504,0.0119207129,0.0625920966,3.48299623,0.267154932,0.489758402,0.0854519755,4.41507864,1.2979629,0.350295067
S1.00_rho1.00,jonswap_H0.270,2,FAIL,0.0445674695,0.0388796218,0.0136495149,0.0606975593,4.05016375,0.331662118,0.205511793,0.0595996827,5.05537558,1.28338206,0.351863265
S1.00_rho1.00,jonswap_H0.270,3,FAIL,0.0422411039,0.035775505,0.0119789317,0.0566364937,5.07766581,0.185590044,0.221612185,0.0374238081,4.43664122,1.25628102,0.361482561
S1.00_rho1.00,jonswap_H0.270,4,FAIL,0.0449675955,0.0369217247,0.0125133656,0.0595137216,2.42517114,0.312258184,0.269275606,0.062705487,4.63457966,1.26532924,0.350922436
S1.00_rho1.00,jonswap_H0.270,5,FAIL,0.0460152067,0.0391262919,0.0117992917,0.0615425818,5.83059931,0.337899864,0.398360699,0.0855348557,4.37010813,1.25790656,0.351809829
S1.00_rho1.00,jonswap_H1.500,1,FAIL,0.161515549,0.230290368,0.0593224466,0.28747189,3.2727325,0.245067582,0.481768489,0.0791267827,3.95482969,2.18100834,0.725054562
S1.00_rho1.00,jonswap_H1.500,2,FAIL,0.158383414,0.218682513,0.0665303171,0.278089255,2.81804752,0.418075591,0.228016749,0.0733013675,4.43535423,2.18478942,0.726228893
S1.00_rho1.00,jonswap_H1.500,3,FAIL,0.171985999,0.184860855,0.0581983142,0.259113401,3.40018725,0.228668779,0.265780568,0.0454334766,3.87988758,2.17850184,0.729579926
S1.00_rho1.00,jonswap_H1.500,4,FAIL,0.16181244,0.206386983,0.0608584732,0.269225925,1.55372202,0.384107918,0.309655219,0.0753309354,4.05723143,2.18348646,0.705685496
S1.00_rho1.00,jonswap_H1.500,5,FAIL,0.151766196,0.232771888,0.0564021692,0.283543527,6.30004215,0.286508262,0.433104813,0.084130086,3.76014447,2.1777575,0.720298052
S1.00_rho1.00,jonswap_H4.000,1,FAIL,0.624145091,0.461341351,0.156731233,0.791806579,2.25476861,0.373163819,0.46706152,0.0858879387,3.91828084,3.58995557,1.12525678
S1.00_rho1.00,jonswap_H4.000,2,FAIL,0.633288622,0.445438147,0.169778362,0.792650163,3.42384744,0.261117339,0.262942582,0.0509575792,4.24445915,3.59055161,1.12444961
S1.00_rho1.00,jonswap_H4.000,3,FAIL,0.591412961,0.375102341,0.153606713,0.716984034,4.50760841,0.182538956,0.328111559,0.0476262122,3.84016776,3.58910298,1.12364471
S1.00_rho1.00,jonswap_H4.000,4,FAIL,0.637979746,0.415323436,0.165247813,0.77898562,1.86620593,0.274573028,0.355639577,0.0641626865,4.13119555,3.59000444,1.1244036
S1.00_rho1.00,jonswap_H4.000,5,FAIL,0.632273555,0.456477851,0.152161315,0.794540703,3.18734455,0.362667739,0.434035808,0.0951562822,3.8040328,3.58899474,1.12259674
S1.00_rho1.00,jonswap_H8.500,1,FAIL,0.849649549,1.12780046,0.346523166,1.45393145,3.08639646,0.326756597,0.506240487,0.0881404877,4.07674313,4.22194338,1.42203033
S1.00_rho1.00,jonswap_H8.500,2,FAIL,0.85519588,0.982701063,0.340837926,1.34656298,2.70388126,0.330652267,0.235318854,0.0546019301,4.00985765,4.22111464,1.4186244
S1.00_rho1.00,jonswap_H8.500,3,FAIL,0.927963078,0.852594376,0.335851282,1.30415821,2.77935624,0.190203443,0.310355037,0.0396281406,3.95119143,4.22255135,1.41917109
S1.00_rho1.00,jonswap_H8.500,4,FAIL,0.877063453,1.0256722,0.346671104,1.39335012,1.50820756,0.330277532,0.294748724,0.06199646,4.07848358,4.22084951,1.41772294
S1.00_rho1.00,jonswap_H8.500,5,FAIL,0.832760751,1.15200138,0.319667548,1.45697808,5.64897585,0.32420519,0.403196961,0.0845041797,3.76079464,4.22343445,1.41908598
S1.00_rho1.00,pmstokes_H0.270,1,FAIL,0.0451140404,0.039837312,0.0119395228,0.0613582954,3.21777439,0.260921806,0.498387516,0.0862033665,4.42204523,1.18999803,0.396762252
S1.00_rho1.00,pmstokes_H0.270,2,FAIL,0.0431466736,0.0384864286,0.0130144563,0.0592639595,4.00274706,0.343845457,0.199017644,0.0608720742,4.82016897,1.17476964,0.395672619
S1.00_rho1.00,pmstokes_H0.270,3,FAIL,0.0408802554,0.0350182988,0.011729164,0.0550912879,4.79487038,0.191101506,0.221700385,0.0380215943,4.34413481,1.14895809,0.385178655
S1.00_rho1.00,pmstokes_H0.270,4,FAIL,0.043287009,0.0366806872,0.0123701524,0.0580711514,2.34330916,0.323658407,0.253599465,0.0627973378,4.58153772,1.1575098,0.397549897
S1.00_rho1.00,pmstokes_H0.270,5,FAIL,0.0445997268,0.0380768552,0.0117881056,0.0598158985,5.13482761,0.32426241,0.377307028,0.0817654133,4.36596489,1.14930069,0.397038549
S1.00_rho1.00,pmstokes_H1.500,1,FAIL,0.156595677,0.222210228,0.0585303158,0.278074443,3.23154712,0.259561688,0.51782167,0.0857661441,3.90202093,2.04409766,0.791518748
S1.00_rho1.00,pmstokes_H1.500,2,FAIL,0.152440056,0.20468089,0.0608478189,0.262363672,2.84524608,0.383330345,0.199405983,0.0648259223,4.05652094,2.04525042,0.790892839
S1.00_rho1.00,pmstokes_H1.500,3,FAIL,0.16507262,0.175527051,0.0559283197,0.24735944,3.19898844,0.209224582,0.232748985,0.0383459851,3.72855449,2.04276919,0.79007268
S1.00_rho1.00,pmstokes_H1.500,4,FAIL,0.156677172,0.196779579,0.0584286004,0.258232147,1.69412172,0.348997205,0.27553162,0.0661364794,3.89523983,2.04334545,0.791733444
S1.00_rho1.00,pmstokes_H1.500,5,FAIL,0.149230525,0.220512152,0.0544205569,0.271766365,6.02013397,0.321548402,0.392357528,0.0827307031,3.62803698,2.04234433,0.789860129
S1.00_rho1.00,pmstokes_H4.000,1,FAIL,0.589366734,0.464549601,0.159204751,0.767141223,2.31357002,0.3701002,0.552582324,0.0979416296,3.98011875,3.28950691,1.12075531
S1.00_rho1.00,pmstokes_H4.000,2,FAIL,0.599859416,0.405883312,0.162839636,0.742353916,3.57014298,0.278104275,0.206879199,0.0451064445,4.07099104,3.29101133,1.12501812
S1.00_rho1.00,pmstokes_H4.000,3,FAIL,0.55908531,0.33785516,0.152000144,0.670691073,4.38406992,0.186004519,0.242384911,0.0332999043,3.80000353,3.29030442,1.12644529
S1.00_rho1.00,pmstokes_H4.000,4,FAIL,0.602438331,0.389196247,0.158177614,0.734456182,1.88178492,0.243776858,0.280899286,0.0484786071,3.95444036,3.29041028,1.12562871
S1.00_rho1.00,pmstokes_H4.000,5,FAIL,0.595693886,0.422874033,0.145260647,0.744831741,2.90333581,0.424136221,0.339753479,0.0906001329,3.63151622,3.29185557,1.1228081
S1.00_rho1.00,pmstokes_H8.500,1,FAIL,0.796256483,1.09329391,0.351725727,1.39750743,3.36429119,0.246422425,0.463749886,0.0772753358,4.13794947,4.10336018,1.49631071
S1.00_rho1.00,pmstokes_H8.500,2,FAIL,0.800053656,0.953818917,0.323778331,1.28634703,2.9246552,0.439803898,0.26938808,0.0743110031,3.80915666,4.10316706,1.49493265
S1.00_rho1.00,pmstokes_H8.500,3,FAIL,0.894634545,0.818795145,0.321808368,1.2547338,2.5392673,0.198870257,0.298069447,0.0364106409,3.7859807,4.10334301,1.49580479
S1.00_rho1.00,pmstokes_H8.500,4,FAIL,0.827868581,0.962136924,0.341868103,1.31451416,1.79236281,0.580107152,0.381663859,0.10670045,4.02197742,4.10386848,1.48789072
S1.00_rho1.00,pmstokes_H8.500,5,FAIL,0.76019913,1.111431,0.320968091,1.38426948,5.87706661,0.301292986,0.451680958,0.0836521387,3.77609515,4.10165882,1.49417436
S1.87_rho1.00,jonswap_H0.270,1,FAIL,0.0460912921,0.0405668393,0.0119074462,0.0625448823,3.53495479,0.272919953,0.468227983,0.0824613273,4.41016531,1.2979629,0.350295067
S1.87_rho1.00,jonswap_H0.270,2,FAIL,0.04433522,0.0389800221,0.0136138247,0.0605837442,4.0911808,0.326208115,0.219118401,0.0602594726,5.04215717,1.28338206,0.351863265
S1.87_rho1.00,jonswap_H0.270,3,FAIL,0.0421108864,0.0358848386,0.0119660199,0.0566059537,5.02306175,0.183527693,0.24009487,0.0402220078,4.43185902,1.25628102,0.361482561
S1.87_rho1.00,jonswap_H0.270,4,FAIL,0.0448007658,0.0370417647,0.0124513153,0.0594494417,2.47376227,0.306872785,0.287878841,0.0643186942,4.61159801,1.26532924,0.350922436
S1.87_rho1.00,jonswap_H0.270,5,FAIL,0.0458453745,0.0392597429,0.0117925508,0.06149951,5.87569618,0.340705812,0.415367603,0.0883759484,4.36761141,1.25790656,0.351809829
S1.87_rho1.00,jonswap_H1.500,1,FAIL,0.160268068,0.230937958,0.0590354502,0.287234008,3.51589155,0.266712487,0.383993149,0.0659299418,3.9356966,2.18100834,0.725054562
S1.87_rho1.00,jonswap_H1.500,2,FAIL,0.158059657,0.219698638,0.0663536489,0.278663158,3.01403952,0.393867046,0.311686099,0.0782470182,4.42357635,2.18478942,0.726228893
