arm,record,seed,gate,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2
A_S1.87_rho1.00_deployed,H0.270,1,FAIL,0.0460912921,0.0405668393,0.0119074462,0.0625448823,4.41016531,1.2979629,0.350295067
A_S1.87_rho1.00_deployed,H0.270,2,FAIL,0.04433522,0.0389800221,0.0136138247,0.0605837442,5.04215717,1.28338206,0.351863265
A_S1.87_rho1.00_deployed,H0.270,3,FAIL,0.0421108864,0.0358848386,0.0119660199,0.0566059537,4.43185902,1.25628102,0.361482561
A_S1.87_rho1.00_deployed,H0.270,4,FAIL,0.0448007658,0.0370417647,0.0124513153,0.0594494417,4.61159801,1.26532924,0.350922436
A_S1.87_rho1.00_deployed,H0.270,5,FAIL,0.0458453745,0.0392597429,0.0117925508,0.06149951,4.36761141,1.25790656,0.351809829
A_S1.87_rho1.00_deployed,H1.500,1,FAIL,0.160268068,0.230937958,0.0590354502,0.287234008,3.9356966,2.18100834,0.725054562
A_S1.87_rho1.00_deployed,H1.500,2,FAIL,0.158059657,0.219698638,0.0663536489,0.278663158,4.42357635,2.18478942,0.726228893
A_S1.87_rho1.00_deployed,H1.500,3,FAIL,0.173110962,0.185825959,0.0578801967,0.26047805,3.85867953,2.17850184,0.729579926
A_S1.87_rho1.00_deployed,H1.500,4,FAIL,0.162623331,0.207196847,0.0604906306,0.270251721,4.03270864,2.18348646,0.705685496
A_S1.87_rho1.00_deployed,H1.500,5,FAIL,0.151012301,0.234124079,0.0562772863,0.284228653,3.7518189,2.1777575,0.720298052
A_S1.87_rho1.00_deployed,H4.000,1,FAIL,0.636657596,0.46952942,0.153872579,0.805895507,3.84681439,3.58995557,1.12525678
A_S1.87_rho1.00_deployed,H4.000,2,FAIL,0.651431501,0.45203343,0.168082893,0.810523987,4.20207214,3.59055161,1.12444961
A_S1.87_rho1.00_deployed,H4.000,3,FAIL,0.625187635,0.376999736,0.150585428,0.745428979,3.7646358,3.58910298,1.12364471
A_S1.87_rho1.00_deployed,H4.000,4,FAIL,0.665612221,0.42042169,0.16356805,0.804082394,4.08920145,3.59000444,1.1244036
A_S1.87_rho1.00_deployed,H4.000,5,FAIL,0.644617319,0.462956727,0.152943626,0.808240116,3.82359076,3.58899474,1.12259674
A_S1.87_rho1.00_deployed,H8.500,1,FAIL,0.947959244,1.14518702,0.33522591,1.52396083,3.94383407,4.22194338,1.42203033
A_S1.87_rho1.00_deployed,H8.500,2,FAIL,0.984110951,1.00803256,0.346346498,1.45071018,4.07466459,4.22111464,1.4186244
A_S1.87_rho1.00_deployed,H8.500,3,FAIL,1.15589464,0.878387511,0.343398333,1.4918375,4.03998041,4.22255135,1.41917109
A_S1.87_rho1.00_deployed,H8.500,4,FAIL,1.06893885,1.04562783,0.358132273,1.53760421,4.21332073,4.22084951,1.41772294
A_S1.87_rho1.00_deployed,H8.500,5,FAIL,0.920371413,1.17596686,0.329299599,1.52918935,3.87411284,4.22343445,1.41908598
B_S1.87_rho1.87_consistent,H0.270,1,FAIL,0.0457706526,0.056718953,0.0119111408,0.0738503039,4.41153336,1.2979629,0.350295067
B_S1.87_rho1.87_consistent,H0.270,2,FAIL,0.0428849608,0.0536939241,0.0136019206,0.0700511932,5.03774834,1.28338206,0.351863265
B_S1.87_rho1.87_consistent,H0.270,3,FAIL,0.0409558192,0.0500088967,0.0119656483,0.065737702,4.43172169,1.25628102,0.361482561
B_S1.87_rho1.87_consistent,H0.270,4,FAIL,0.0429196283,0.0510780998,0.0124410307,0.067866385,4.60778904,1.26532924,0.350922436
B_S1.87_rho1.87_consistent,H0.270,5,FAIL,0.0438973978,0.0535714366,0.0118078254,0.0702588409,4.3732686,1.25790656,0.351809829
B_S1.87_rho1.87_consistent,H1.500,1,FAIL,0.152222186,0.281619132,0.059039373,0.325525075,3.93595815,2.18100834,0.725054562
B_S1.87_rho1.87_consistent,H1.500,2,FAIL,0.149837017,0.26208052,0.0661242679,0.309046537,4.40828419,2.18478942,0.726228893
B_S1.87_rho1.87_consistent,H1.500,3,FAIL,0.163587555,0.226858318,0.0577185303,0.285581887,3.84790182,2.17850184,0.729579926
