arm,record,seed,gate,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2
S0.60_rho1.00,jonswap_H0.270,1,FAIL,0.0467853993,0.0401444547,0.0119944429,0.0628037974,4.44238615,1.2979629,0.350295067
S0.60_rho1.00,jonswap_H0.270,2,FAIL,0.0452161022,0.038670972,0.0137665607,0.0610692911,5.09872627,1.28338206,0.351863265
S0.60_rho1.00,jonswap_H0.270,3,FAIL,0.0426185392,0.035570126,0.0120479427,0.0568042845,4.46220112,1.25628102,0.361482561
S0.60_rho1.00,jonswap_H0.270,4,FAIL,0.045444373,0.03667574,0.0126855448,0.0597597174,4.69834995,1.26532924,0.350922436
S0.60_rho1.00,jonswap_H0.270,5,FAIL,0.0464914925,0.0388381258,0.0118573066,0.0617288798,4.39159489,1.25790656,0.351809829
S0.60_rho1.00,jonswap_H1.500,1,FAIL,0.169470444,0.229458556,0.0604024455,0.29158175,4.02682972,2.18100834,0.725054562
S0.60_rho1.00,jonswap_H1.500,2,FAIL,0.165227905,0.216956005,0.0673373938,0.280899435,4.48915958,2.18478942,0.726228893
S0.60_rho1.00,jonswap_H1.500,3,FAIL,0.175999925,0.183281094,0.0594458506,0.260963112,3.96305656,2.17850184,0.729579926
S0.60_rho1.00,jonswap_H1.500,4,FAIL,0.16586782,0.205075383,0.0621248484,0.270975173,4.1416564,2.18348646,0.705685496
S0.60_rho1.00,jonswap_H1.500,5,FAIL,0.158255234,0.230362937,0.0571325049,0.285264671,3.8088336,2.1777575,0.720298052
S0.60_rho1.00,jonswap_H4.000,1,FAIL,0.721790254,0.446117967,0.171578065,0.865702868,4.2894516,3.58995557,1.12525678
S0.60_rho1.00,jonswap_H4.000,2,FAIL,0.742138326,0.433340698,0.182451427,0.878545403,4.5612855,3.59055161,1.12444961
S0.60_rho1.00,jonswap_H4.000,3,FAIL,0.648147881,0.374728441,0.167926013,0.767278433,4.19815016,3.58910298,1.12364471
S0.60_rho1.00,jonswap_H4.000,4,FAIL,0.722442687,0.407545388,0.177175567,0.848179162,4.429389,3.59000444,1.1244036
S0.60_rho1.00,jonswap_H4.000,5,FAIL,0.732218146,0.44643271,0.160109282,0.87239933,4.00273228,3.58899474,1.12259674
S0.60_rho1.00,jonswap_H8.500,1,FAIL,1.57790542,1.0973953,0.413904399,1.9660567,4.86946344,4.22194338,1.42203033
S0.60_rho1.00,jonswap_H8.500,2,FAIL,1.68057323,0.939612269,0.380120337,1.9625721,4.47200394,4.22111464,1.4186244
S0.60_rho1.00,jonswap_H8.500,3,FAIL,1.63483322,0.813904524,0.383861572,1.86613762,4.51601839,4.22255135,1.41917109
S0.60_rho1.00,jonswap_H8.500,4,FAIL,1.60155523,0.992137074,0.369891047,1.91993093,4.3516593,4.22084951,1.41772294
S0.60_rho1.00,jonswap_H8.500,5,FAIL,1.53667617,1.11537123,0.347001284,1.93024266,4.0823679,4.22343445,1.41908598
S0.60_rho1.00,pmstokes_H0.270,1,FAIL,0.0455065072,0.0397501588,0.0120178824,0.0616063848,4.45106745,1.18999803,0.396762252
S0.60_rho1.00,pmstokes_H0.270,2,FAIL,0.0437561944,0.038329076,0.0130010182,0.0596049428,4.81519175,1.17476964,0.395672619
S0.60_rho1.00,pmstokes_H0.270,3,FAIL,0.0412845947,0.0348975472,0.0118024722,0.0553313196,4.37128592,1.14895809,0.385178655
S0.60_rho1.00,pmstokes_H0.270,4,FAIL,0.0438783951,0.0365275815,0.0124817677,0.0584411845,4.62287664,1.1575098,0.397549897
S0.60_rho1.00,pmstokes_H0.270,5,FAIL,0.0450938791,0.0379136316,0.01191781,0.0601077005,4.41400337,1.14930069,0.397038549
S0.60_rho1.00,pmstokes_H1.500,1,FAIL,0.156008944,0.221865922,0.058957018,0.27755937,3.93046761,2.04409766,0.791518748
S0.60_rho1.00,pmstokes_H1.500,2,FAIL,0.152110085,0.20482856,0.0612099841,0.262371629,4.08066559,2.04525042,0.790892839
S0.60_rho1.00,pmstokes_H1.500,3,FAIL,0.165711179,0.175968409,0.0566659681,0.248266205,3.77773118,2.04276919,0.79007268
S0.60_rho1.00,pmstokes_H1.500,4,FAIL,0.157071903,0.196950078,0.0592496842,0.258788407,3.94997883,2.04334545,0.791733444
S0.60_rho1.00,pmstokes_H1.500,5,FAIL,0.14884533,0.220683172,0.0548302457,0.271776289,3.65534949,2.04234433,0.789860129
S0.60_rho1.00,pmstokes_H4.000,1,FAIL,0.589356005,0.465838373,0.161292329,0.768349588,4.0323081,3.28950691,1.12075531
S0.60_rho1.00,pmstokes_H4.000,2,FAIL,0.601226926,0.405770242,0.164625332,0.743790805,4.11563349,3.29101133,1.12501812
S0.60_rho1.00,pmstokes_H4.000,3,FAIL,0.562859356,0.337894857,0.153489798,0.674197853,3.83724499,3.29030442,1.12644529
S0.60_rho1.00,pmstokes_H4.000,4,FAIL,0.606306612,0.388766646,0.160861209,0.737986147,4.02153015,3.29041028,1.12562871
S0.60_rho1.00,pmstokes_H4.000,5,FAIL,0.595833719,0.422513694,0.146212399,0.74492532,3.65530992,3.29185557,1.1228081
S0.60_rho1.00,pmstokes_H8.500,1,FAIL,0.791590214,1.09355128,0.3544707,1.39575028,4.17024326,4.10336018,1.49631071
S0.60_rho1.00,pmstokes_H8.500,2,FAIL,0.800033212,0.955544353,0.328471154,1.28880239,3.86436653,4.10316706,1.49493265
S0.60_rho1.00,pmstokes_H8.500,3,FAIL,0.906493425,0.820896745,0.323968112,1.26513124,3.81138945,4.10334301,1.49580479
S0.60_rho1.00,pmstokes_H8.500,4,FAIL,0.836241186,0.964518011,0.350470513,1.3237915,4.1231823,4.10386848,1.48789072
S0.60_rho1.00,pmstokes_H8.500,5,FAIL,0.758298755,1.11193526,0.322155088,1.38390779,3.7900598,4.10165882,1.49417436
S0.80_rho1.00,jonswap_H0.270,1,FAIL,0.0464358032,0.0403236635,0.0119386883,0.0626483336,4.42173624,1.2979629,0.350295067
S0.80_rho1.00,jonswap_H0.270,2,FAIL,0.0447673127,0.0388069153,0.0136829354,0.0608055219,5.06775379,1.28338206,0.351863265
S0.80_rho1.00,jonswap_H0.270,3,FAIL,0.0423542336,0.0357016549,0.0119961239,0.0566780046,4.4430089,1.25628102,0.361482561
S0.80_rho1.00,jonswap_H0.270,4,FAIL,0.0451123454,0.0368359722,0.0125659592,0.0595811717,4.65405893,1.26532924,0.350922436
S0.80_rho1.00,jonswap_H0.270,5,FAIL,0.0461610556,0.0390278846,0.0118125249,0.0615918376,4.37500906,1.25790656,0.351809829
S0.80_rho1.00,jonswap_H1.500,1,FAIL,0.163366109,0.229927763,0.059612222,0.28828609,3.97414804,2.18100834,0.725054562
S0.80_rho1.00,jonswap_H1.500,2,FAIL,0.159714982,0.218019485,0.0667342544,0.278378934,4.44895029,2.18478942,0.726228893
S0.80_rho1.00,jonswap_H1.500,3,FAIL,0.172320858,0.18425402,0.0585298575,0.258978307,3.90199041,2.17850184,0.729579926
S0.80_rho1.00,jonswap_H1.500,4,FAIL,0.162249848,0.205870077,0.061208263,0.269172728,4.08055067,2.18348646,0.705685496
S0.80_rho1.00,jonswap_H1.500,5,FAIL,0.153175533,0.231885791,0.0565749258,0.283609748,3.77166152,2.1777575,0.720298052
S0.80_rho1.00,jonswap_H4.000,1,FAIL,0.638193309,0.455825508,0.160467789,0.800510764,4.01169491,3.58995557,1.12525678
S0.80_rho1.00,jonswap_H4.000,2,FAIL,0.647434831,0.440964222,0.172688425,0.8021487,4.31721067,3.59055161,1.12444961
S0.80_rho1.00,jonswap_H4.000,3,FAIL,0.589963078,0.374338299,0.157296881,0.716189861,3.93242192,3.58910298,1.12364471
S0.80_rho1.00,jonswap_H4.000,4,FAIL,0.643897235,0.412169307,0.168015718,0.78276211,4.20039272,3.59000444,1.1244036
S0.80_rho1.00,jonswap_H4.000,5,FAIL,0.646744013,0.452451795,0.153379753,0.804062068,3.83449388,3.58899474,1.12259674
S0.80_rho1.00,jonswap_H8.500,1,FAIL,0.97255677,1.11652625,0.362497956,1.52443504,4.26468182,4.22194338,1.42203033
S0.80_rho1.00,jonswap_H8.500,2,FAIL,0.993332267,0.96621424,0.345545053,1.42817378,4.06523561,4.22111464,1.4186244
S0.80_rho1.00,jonswap_H8.500,3,FAIL,0.99109894,0.836678684,0.341478616,1.34123671,4.0173955,4.22255135,1.41917109
S0.80_rho1.00,jonswap_H8.500,4,PASS,0.961841524,1.01270688,0.346194237,1.43894565,4.07287312,4.22084951,1.41772294
S0.80_rho1.00,jonswap_H8.500,5,FAIL,0.953540623,1.13706839,0.320762843,1.51824009,3.77368045,4.22343445,1.41908598
S0.80_rho1.00,pmstokes_H0.270,1,FAIL,0.0452301204,0.0398038477,0.011958099,0.0614256151,4.42892551,1.18999803,0.396762252
S0.80_rho1.00,pmstokes_H0.270,2,FAIL,0.0433305167,0.0384301543,0.0130027933,0.0593589321,4.8158493,1.17476964,0.395672619
S0.80_rho1.00,pmstokes_H0.270,3,FAIL,0.0409985743,0.0349730812,0.0117464634,0.0551541373,4.35054207,1.14895809,0.385178655
S0.80_rho1.00,pmstokes_H0.270,4,FAIL,0.0434680246,0.0366274454,0.0124004735,0.0581791252,4.59276772,1.1575098,0.397549897
S0.80_rho1.00,pmstokes_H0.270,5,FAIL,0.0447491035,0.038021002,0.0118247084,0.0598991029,4.37952137,1.14930069,0.397038549
S0.80_rho1.00,pmstokes_H1.500,1,FAIL,0.156362861,0.222089395,0.0586266257,0.277867079,3.90844154,2.04409766,0.791518748
S0.80_rho1.00,pmstokes_H1.500,2,FAIL,0.152265728,0.204726666,0.0609256327,0.262316197,4.06170893,2.04525042,0.790892839
S0.80_rho1.00,pmstokes_H1.500,3,FAIL,0.165220261,0.175669312,0.0561256856,0.24760358,3.74171233,2.04276919,0.79007268
S0.80_rho1.00,pmstokes_H1.500,4,FAIL,0.156745493,0.196832895,0.0586530715,0.258365095,3.91020465,2.04334545,0.791733444
S0.80_rho1.00,pmstokes_H1.500,5,FAIL,0.149058267,0.220564947,0.0545094498,0.271732479,3.63396311,2.04234433,0.789860129
S0.80_rho1.00,pmstokes_H4.000,1,FAIL,0.589123428,0.464933485,0.15975593,0.76730144,3.99389815,3.28950691,1.12075531
S0.80_rho1.00,pmstokes_H4.000,2,FAIL,0.600055993,0.405831605,0.1632853,0.742582381,4.08213234,3.29101133,1.12501812
S0.80_rho1.00,pmstokes_H4.000,3,FAIL,0.560072064,0.337837785,0.152347639,0.671583891,3.80869102,3.29030442,1.12644529
S0.80_rho1.00,pmstokes_H4.000,4,FAIL,0.603457332,0.389041066,0.158918187,0.735369742,3.97295475,3.29041028,1.12562871
S0.80_rho1.00,pmstokes_H4.000,5,FAIL,0.595539451,0.422750533,0.145426229,0.744670451,3.63565564,3.29185557,1.1228081
S0.80_rho1.00,pmstokes_H8.500,1,FAIL,0.793891609,1.09334195,0.352423966,1.39637506,4.14616442,4.10336018,1.49631071
S0.80_rho1.00,pmstokes_H8.500,2,FAIL,0.798989177,0.954368174,0.325079739,1.28642106,3.82446742,4.10316706,1.49493265
S0.80_rho1.00,pmstokes_H8.500,3,FAIL,0.897650361,0.819458425,0.322265774,1.25743532,3.79136205,4.10334301,1.49580479
S0.80_rho1.00,pmstokes_H8.500,4,FAIL,0.829499185,0.962908864,0.344454855,1.31678069,4.05241013,4.10386848,1.48789072
S0.80_rho1.00,pmstokes_H8.500,5,FAIL,0.758792341,1.11158371,0.321140587,1.3836602,3.77812457,4.10165882,1.49417436
S0.90_rho1.00,jonswap_H0.270,1,FAIL,0.0463437252,0.0403793715,0.0119274734,0.0626138896,4.41758251,1.2979629,0.350295067
S0.90_rho1.00,jonswap_H0.270,2,FAIL,0.0446500778,0.0388480127,0.0136629185,0.0607410297,5.06033993,1.28338206,0.351863265
S0.90_rho1.00,jonswap_H0.270,3,FAIL,0.0422878861,0.0357432887,0.0119854659,0.0566524453,4.43906116,1.25628102,0.361482561
S0.90_rho1.00,jonswap_H0.270,4,FAIL,0.0450269096,0.0368846171,0.0125350384,0.0595401116,4.64260674,1.26532924,0.350922436
S0.90_rho1.00,jonswap_H0.270,5,FAIL,0.0460753553,0.0390842408,0.0118041923,0.0615618005,4.37192297,1.25790656,0.351809829
S0.90_rho1.00,jonswap_H1.500,1,FAIL,0.162203416,0.230125919,0.0594365299,0.2877509,3.96243525,2.18100834,0.725054562
S0.90_rho1.00,jonswap_H1.500,2,FAIL,0.158832923,0.218391374,0.0666079372,0.278135419,4.44052887,2.18478942,0.726228893
S0.90_rho1.00,jonswap_H1.500,3,FAIL,0.172007844,0.184590966,0.0583288223,0.258964807,3.88858795,2.17850184,0.729579926
S0.90_rho1.00,jonswap_H1.500,4,FAIL,0.161890358,0.206161737,0.0609977841,0.26913172,4.06651878,2.18348646,0.705685496
S0.90_rho1.00,jonswap_H1.500,5,FAIL,0.152273342,0.232378036,0.0564674623,0.28350535,3.76449728,2.1777575,0.720298052
S0.90_rho1.00,jonswap_H4.000,1,FAIL,0.627675176,0.458945006,0.158151284,0.793484986,3.95378208,3.58995557,1.12525678
S0.90_rho1.00,jonswap_H4.000,2,FAIL,0.636384368,0.443513215,0.17084673,0.794278085,4.27116823,3.59055161,1.12444961
S0.90_rho1.00,jonswap_H4.000,3,FAIL,0.588250399,0.374705762,0.15502657,0.714476168,3.87566423,3.58910298,1.12364471
S0.90_rho1.00,jonswap_H4.000,4,FAIL,0.637652457,0.413890451,0.166267142,0.77817136,4.15667868,3.59000444,1.1244036
