Paired per-(record, seed) change against the deployed variances, percent (negative is better).
Bracketed range is over records and seeds; * marks one sign on every pair.

arm                                         roll                   pitch                     yaw                       z                      3d                 accbias
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
sga_0.36                   -1.14 [ -26.7, +17.7]   +17.41 [ -26.0,+177.0]    +2.28 [ -20.5, +29.0]    -0.10 [  -2.4,  +4.9]    +0.05 [  -0.2,  +0.6]   +14.59 [ -27.6,+150.3] 
sga_0.5                    -0.99 [ -18.9, +10.1]    +8.79 [ -20.5, +68.3]    +1.72 [ -14.4, +22.3]    -0.31 [  -2.1,  +3.5]    +0.04 [  -0.2,  +0.3]    +7.62 [ -22.5, +57.5] 
sga_0.71                   -0.56 [  -8.7,  +4.0]    +3.09 [ -14.4, +25.6]    +0.97 [  -6.9, +12.6]    -0.41 [  -1.4,  +1.6]    +0.01 [  -0.1,  +0.2]    +2.87 [ -13.3, +24.8] 
sga_1.41                   +0.57 [  -3.9,  +9.6]    -2.41 [ -23.3, +29.9]    -1.15 [ -13.5,  +5.1]    +1.66 [  -0.9,  +3.9]    +0.03 [  -0.3,  +0.1]    -2.15 [ -18.2, +18.4] 
sga_2                      +1.05 [  -7.2, +17.9]    -4.52 [ -42.8, +50.8]    -2.29 [ -25.0,  +8.5]    +5.76 [  -0.8, +12.1]    +0.16 [  -0.5,  +0.4]    -3.92 [ -34.2, +33.1] 
sga_3                      +1.44 [  -9.6, +24.1]    -6.32 [ -57.4, +59.2]    -3.29 [ -33.5, +10.9]   +15.41 [  +2.1, +28.6]*   +0.57 [  -0.6,  +1.1]    -5.46 [ -46.0, +45.1] 
sgg_0.02                  -10.47 [ -34.2, +22.0]   -16.52 [ -78.6,+102.7]    -7.00 [ -56.6, +30.5]    -2.39 [  -9.8,  +1.1]   -38.71 [ -47.7, -24.4]*   -5.36 [ -61.8, +55.1] 
sgg_0.035                 -10.32 [ -34.9, +25.3]   -18.36 [ -84.4,+112.4]    -8.81 [ -66.5, +28.3]    -2.19 [ -10.5,  +1.4]   -40.21 [ -51.3, -24.9]*   -5.63 [ -50.6, +54.0] 
sgg_0.056                  -9.43 [ -47.3, +31.6]   -13.69 [ -78.2,+131.1]   -11.67 [ -74.6, +23.6]    -1.62 [ -11.2,  +4.2]   -40.57 [ -54.1, -24.4]*   -1.53 [ -57.7, +62.7] 
sgg_0.1                    -6.09 [ -45.6, +45.2]    +6.54 [ -87.6,+190.3]   -14.80 [ -70.7, +26.6]    -0.01 [ -10.5, +14.5]   -37.36 [ -53.8, -19.5]*  +12.98 [ -50.5,+139.8] 
sgg_0.18                   -2.66 [ -39.2, +49.7]   +22.41 [ -85.7,+296.4]   -15.13 [ -79.6, +41.4]    +1.17 [  -9.1, +20.6]   -29.45 [ -46.2, -12.6]*  +24.07 [ -49.5,+243.0] 
sgg_0.32                   -3.11 [ -43.7, +36.9]   +13.54 [ -68.7,+226.2]   -12.76 [ -76.0, +35.3]    +0.18 [ -10.0, +14.1]   -19.54 [ -31.6,  -7.7]*  +16.77 [ -48.9,+194.6] 
sgg_0.56                   -3.56 [ -32.9, +17.6]    -2.93 [ -71.9, +87.8]    -6.43 [ -47.7, +19.1]    -0.81 [  -7.5,  +5.5]    -9.95 [ -15.0,  -4.6]*   +3.79 [ -52.3, +78.8] 
sgg_2                     +10.13 [  -8.3, +31.4]   +20.98 [ -36.8, +80.9]    +4.05 [ -19.4, +30.2]    +4.02 [  +0.4, +10.5]*  +15.00 [  +9.8, +22.4]*   +0.59 [ -59.1, +64.4] 
sgm_0.25                  +27.55 [  +3.4, +61.9]*  +33.58 [ -32.0,+196.5]    -5.90 [ -49.0, +21.1]    +5.07 [  -1.2, +16.1]   +29.03 [ +12.0, +67.9]*  +10.31 [ -30.4, +80.3] 
sgm_0.5                   +10.23 [  -2.6, +23.9]   +12.01 [ -22.6, +60.2]    -1.16 [ -18.7, +15.2]    +1.63 [  -0.6,  +6.4]   +11.96 [  +3.1, +29.4]*   +3.86 [ -13.5, +36.6] 
sgm_2                      -7.13 [ -23.8,  +5.4]    -4.20 [ -37.2, +20.5]    +0.72 [ -13.4, +14.7]    -0.18 [  -2.4,  +1.2]    -3.57 [ -17.1,  +5.0]    -1.97 [ -26.9, +18.8] 
sgm_4                     -11.24 [ -49.1, +20.7]    -0.67 [ -51.8, +53.2]    +1.48 [ -20.4, +27.2]    +0.08 [  -4.0,  +3.1]    +2.06 [ -21.1, +19.5]    -1.38 [ -40.8, +43.2] 
sgm_8                      -7.28 [ -63.8, +67.5]    +6.12 [ -52.3, +81.2]    +1.53 [ -25.2, +39.6]    +0.37 [  -5.0,  +6.1]   +10.32 [ -20.5, +38.6]    +2.31 [ -46.3, +74.7] 
pq0_1e-06                  -0.29 [  -8.6,  +5.8]    +2.40 [ -13.0, +21.1]    +1.60 [  -4.2, +12.1]    -0.01 [  -1.1,  +1.0]    -0.25 [  -1.3,  +0.0]    +1.48 [ -12.1, +17.5] 
pq0_1e-05                  -0.03 [  -2.6,  +1.2]    +0.49 [  -3.1,  +6.5]    +0.24 [  -1.3,  +3.7]    -0.00 [  -0.3,  +0.1]    -0.05 [  -0.4,  +0.1]    +0.49 [  -2.2,  +6.5] 
pq0_0.001                  -0.08 [  -3.3,  +1.7]    -0.09 [ -12.1, +10.1]    +0.17 [  -3.3,  +4.4]    +0.00 [  -0.3,  +0.4]    +0.05 [  -0.1,  +0.5]    -0.17 [ -13.2,  +7.8] 
pq0_0.01                   -0.15 [  -5.6,  +3.2]    +0.11 [ -18.0, +18.4]    +0.18 [  -5.4,  +7.9]    +0.03 [  -0.6,  +0.9]    +0.19 [  -0.2,  +1.6]    -0.17 [ -19.3, +13.6] 
brw_1e-13                  -0.04 [  -2.5,  +1.8]    +0.32 [  -7.7,  +5.5]    +0.05 [  -2.2,  +3.3]    +0.02 [  -0.1,  +0.3]    +0.31 [  -0.2,  +1.4]    -0.11 [  -3.7,  +1.6] 
brw_1e-12                  -0.04 [  -2.5,  +1.7]    +0.31 [  -7.6,  +5.4]    +0.05 [  -2.2,  +3.3]    +0.02 [  -0.1,  +0.3]    +0.30 [  -0.2,  +1.4]    -0.11 [  -3.7,  +1.6] 
brw_1e-10                  +0.00 [  +0.0,  +0.0]    +0.00 [  +0.0,  +0.0]    +0.00 [  +0.0,  +0.0]    +0.00 [  +0.0,  +0.0]    +0.00 [  +0.0,  +0.0]    +0.00 [  +0.0,  +0.0] 
brw_1e-09                  -0.06 [  -3.6,  +3.0]    -0.04 [  -6.0, +14.4]    +0.34 [  -2.6,  +3.0]    -0.04 [  -0.8,  +0.4]    -0.14 [  -1.7,  +0.8]    -0.00 [  -6.3, +10.6] 
brw_1e-08                  -0.02 [  -5.9,  +6.7]    +1.47 [ -24.1, +24.3]    +1.57 [  -8.6, +10.4]    -0.10 [  -2.2,  +1.7]    +1.34 [  -0.6,  +3.4]    -0.29 [ -27.4, +27.6] 

Per-record pooled means, percent (negative is better).

arm                      record                roll     pitch       yaw         z        3d   accbias
-----------------------------------------------------------------------------------------------------
sga_0.36                 jonswap_H0.270       +0.47    +61.19    +11.05     +2.08     +0.27    +50.99
sga_0.36                 jonswap_H1.500       -1.83    +14.77     -8.47     -1.03     -0.03    +15.87
sga_0.36                 jonswap_H4.000       -1.54     -0.01     +4.28     -0.67     -0.03     -0.37
sga_0.36                 jonswap_H8.500       -0.44     +7.08     +3.88     -0.10     -0.05     +5.33
sga_0.36                 pmstokes_H0.270      -1.63    +33.06     -3.92     +1.01     +0.11    +24.32
sga_0.36                 pmstokes_H1.500      -0.47     -9.91     -1.06     -1.64     +0.10     -5.41
sga_0.36                 pmstokes_H4.000      -3.51    +23.92     +9.10     -0.10     +0.06    +19.97
sga_0.36                 pmstokes_H8.500      -0.18     +9.16     +3.36     -0.35     -0.03     +6.04

sga_0.5                  jonswap_H0.270       -0.74    +25.75     +6.70     +1.05     +0.16    +22.11
sga_0.5                  jonswap_H1.500       -1.36     +8.43     -5.90     -0.99     -0.03    +10.29
sga_0.5                  jonswap_H4.000       -1.28     -0.05     +3.29     -0.66     -0.02     -0.52
sga_0.5                  jonswap_H8.500       -0.37     +5.35     +2.93     -0.15     +0.00     +4.05
sga_0.5                  pmstokes_H0.270      -0.80    +11.35     -2.21     +0.33     +0.07     +7.94
sga_0.5                  pmstokes_H1.500      -0.30     -7.31     -1.04     -1.49     +0.06     -3.81
sga_0.5                  pmstokes_H4.000      -2.85    +18.87     +7.10     -0.26     +0.05    +15.69
sga_0.5                  pmstokes_H8.500      -0.18     +7.90     +2.87     -0.31     -0.00     +5.18

sga_0.71                 jonswap_H0.270       -0.58     +4.21     +2.73     +0.06     +0.07     +4.73
sga_0.71                 jonswap_H1.500       -0.67     +2.82     -2.76     -0.76     -0.03     +4.28
sga_0.71                 jonswap_H4.000       -0.78     -0.10     +1.83     -0.51     -0.02     -0.46
sga_0.71                 jonswap_H8.500       -0.21     +3.13     +1.68     -0.15     +0.02     +2.46
sga_0.71                 pmstokes_H0.270      -0.31     +2.48     -0.86     -0.31     +0.02     +1.62
sga_0.71                 pmstokes_H1.500      -0.14     -3.54     -0.65     -1.06     +0.01     -1.75
sga_0.71                 pmstokes_H4.000      -1.68    +10.69     +3.97     -0.34     +0.02     +8.79
sga_0.71                 pmstokes_H8.500      -0.12     +5.03     +1.80     -0.23     +0.01     +3.28

sga_1.41                 jonswap_H0.270       +0.47     +1.47     -1.67     +2.19     +0.01     +0.47
sga_1.41                 jonswap_H1.500       +0.44     -0.67     +1.98     +2.00     +0.08     -2.24
sga_1.41                 jonswap_H4.000       +0.95     +0.42     -1.95     +1.36     +0.05     +1.01
sga_1.41                 jonswap_H8.500       +0.21     -3.96     -2.12     +0.56     -0.03     -3.50
sga_1.41                 pmstokes_H0.270      +0.20     -0.26     +0.58     +2.64     +0.06     -0.37
sga_1.41                 pmstokes_H1.500      +0.08     +2.61     +0.78     +2.45     +0.06     +1.08
sga_1.41                 pmstokes_H4.000      +2.00    -11.56     -4.23     +1.39     +0.02     -8.99
sga_1.41                 pmstokes_H8.500      +0.19     -7.30     -2.57     +0.71     +0.00     -4.67

sga_2                    jonswap_H0.270       +0.77     +2.83     -2.62     +8.38     +0.17     +1.53
sga_2                    jonswap_H1.500       +0.65     -0.34     +3.21     +6.54     +0.28     -3.15
sga_2                    jonswap_H4.000       +1.88     +1.18     -3.68     +4.52     +0.18     +2.40
sga_2                    jonswap_H8.500       +0.36     -7.68     -4.36     +2.18     -0.05     -7.47
sga_2                    pmstokes_H0.270      +0.29     +0.32     +1.00     +9.35     +0.29     -0.43
sga_2                    pmstokes_H1.500      +0.11     +4.29     +1.51     +7.64     +0.25     +1.55
sga_2                    pmstokes_H4.000      +3.92    -21.51     -7.84     +4.84     +0.15    -16.09
sga_2                    pmstokes_H8.500      +0.45    -15.25     -5.51     +2.66     +0.05     -9.67

sga_3                    jonswap_H0.270       +1.05     +2.11     -3.32    +22.58     +0.65     +1.43
sga_3                    jonswap_H1.500       +0.73     -0.02     +3.96    +17.08     +0.81     -3.58
sga_3                    jonswap_H4.000       +2.64     +1.87     -5.19    +12.23     +0.55     +3.59
sga_3                    jonswap_H8.500       +0.37     -9.93     -6.30     +6.84     +0.04    -11.21
sga_3                    pmstokes_H0.270      +0.33     +1.11     +1.23    +24.23     +0.89     -0.35
sga_3                    pmstokes_H1.500      +0.10     +5.05     +2.11    +19.18     +0.79     +1.37
sga_3                    pmstokes_H4.000      +5.59    -28.75    -10.47    +13.13     +0.54    -20.88
sga_3                    pmstokes_H8.500      +0.71    -22.02     -8.36     +8.00     +0.25    -14.02

sgg_0.02                 jonswap_H0.270      -11.96    -11.87     -7.55     +0.38    -45.36     +2.78
sgg_0.02                 jonswap_H1.500      -12.83    +10.43    +11.62     -1.24    -37.78     +3.74
sgg_0.02                 jonswap_H4.000      -10.39    -16.50    -18.68     -2.54    -38.39    -11.35
sgg_0.02                 jonswap_H8.500      -11.14    -22.30    -13.28     -5.22    -27.60     -8.49
sgg_0.02                 pmstokes_H0.270     -13.30    +11.61     +2.50     -0.38    -45.85    +10.23
sgg_0.02                 pmstokes_H1.500     -11.43    -32.78     -6.31     -0.19    -41.26     -4.98
sgg_0.02                 pmstokes_H4.000      -1.79    -21.39     -5.88     -4.37    -42.70    -14.18
sgg_0.02                 pmstokes_H8.500     -10.95    -49.34    -18.43     -5.55    -30.76    -20.62

sgg_0.035                jonswap_H0.270      -11.85    -14.12     -8.01     +0.42    -48.82     +2.40
sgg_0.035                jonswap_H1.500      -12.79     +7.49    +10.81     -1.22    -39.90     +2.85
sgg_0.035                jonswap_H4.000       -9.88    -17.97    -19.97     -2.42    -38.98    -12.75
sgg_0.035                jonswap_H8.500      -10.57    -38.05    -17.08     -5.35    -27.55    -13.26
sgg_0.035                pmstokes_H0.270     -13.51    +13.09     +2.12     -0.38    -49.30    +11.32
sgg_0.035                pmstokes_H1.500     -11.27    -31.87     -5.89     -0.20    -43.26     -4.79
sgg_0.035                pmstokes_H4.000      -2.39    -29.05     -8.44     -4.18    -43.24    -17.50
sgg_0.035                pmstokes_H8.500     -10.29    -36.38    -23.98     -4.19    -30.62    -13.32

sgg_0.056                jonswap_H0.270      -11.72    -16.11     -8.42     +0.47    -51.58     +2.22
sgg_0.056                jonswap_H1.500      -12.63     +1.49     +9.18     -1.17    -40.77     +1.16
sgg_0.056                jonswap_H4.000       -8.71    -20.77    -22.52     -2.17    -38.29    -14.91
sgg_0.056                jonswap_H8.500       -8.09    -30.18    -23.34     -4.93    -26.36     -2.21
sgg_0.056                pmstokes_H0.270     -13.71    +13.67     +1.61     -0.37    -52.09    +12.15
sgg_0.056                pmstokes_H1.500     -10.77    -28.19     -4.70     -0.27    -43.92     -4.21
sgg_0.056                pmstokes_H4.000      -3.21    -42.08    -13.12     -3.70    -42.34    -21.25
sgg_0.056                pmstokes_H8.500      -6.62    +12.62    -32.01     -0.85    -29.22    +14.80

