arm,record,seed,gate,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,disp_z_rms_m,disp_3d_rms_m,disp_z_pct_hs,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2
deployed,jonswap_H0.270,1,FAIL,0.292264313,0.36848706,3.80107546,0.0119562577,0.060696546,4.42824364,0.06672097,0.000381716003,1.29800832,0.41444388
deployed,jonswap_H0.270,2,FAIL,0.336509854,0.207840309,4.05923843,0.0136857163,0.0579640344,5.06878376,0.0614561848,0.000317166676,1.28341174,0.41662091
deployed,jonswap_H0.270,3,FAIL,0.192688778,0.132745564,5.36810732,0.0120530538,0.0568032339,4.46409369,0.0272066779,0.000181022435,1.25631773,0.417670429
deployed,jonswap_H0.270,4,FAIL,0.268416792,0.464760125,2.88144565,0.0124807302,0.0563147217,4.62249231,0.0863536373,0.000130111104,1.26536524,0.418171555
deployed,jonswap_H0.270,5,FAIL,0.356298625,0.429501444,5.93389606,0.0118243573,0.0579530001,4.37939167,0.093078658,0.000226162185,1.25794101,0.417452663
deployed,jonswap_H0.270,6,FAIL,0.181301549,0.154665217,4.48872232,0.0132342689,0.056653887,4.90158081,0.0304104947,0.000294645055,1.26013649,0.416899085
deployed,jonswap_H0.270,7,FAIL,0.172557712,0.149752408,4.06680107,0.0135464063,0.058580339,5.0171876,0.0266595092,0.000213403793,1.30601096,0.413769603
deployed,jonswap_H0.270,8,FAIL,0.986579895,0.167766169,3.3260839,0.012428537,0.058911249,4.60316181,0.162103638,0.000175650755,1.2642833,0.417287707
deployed,jonswap_H1.500,1,FAIL,0.251249462,0.578468084,3.0131793,0.0604116656,0.269803882,4.02744436,0.0991352201,0.000200884257,2.18094516,0.811524987
deployed,jonswap_H1.500,2,FAIL,0.407455504,0.181385368,2.69178677,0.0658885166,0.259928316,4.39256763,0.0675710887,0.000210145241,2.18473244,0.810378373
deployed,jonswap_H1.500,3,FAIL,0.206130981,0.304564804,3.28928351,0.0582141578,0.25716275,3.88094378,0.0474904999,0.000296114042,2.17844152,0.810786724
deployed,jonswap_H1.500,4,PASS,0.436761111,0.150611579,1.10128248,0.060559839,0.255049586,4.03732252,0.0713938549,0.000245513453,2.18342996,0.810346067
deployed,jonswap_H1.500,5,FAIL,0.236227944,0.328000069,5.97056007,0.0567817464,0.258713543,3.7854495,0.0600960925,0.000172391548,2.17769837,0.810503185
deployed,jonswap_H1.500,6,FAIL,0.271395117,0.288742036,2.05222178,0.0625912324,0.25241679,4.17274857,0.0590647198,0.000114904498,2.17894864,0.811463594
deployed,jonswap_H1.500,7,FAIL,0.200251639,0.195895359,3.86706471,0.0677799359,0.249169022,4.51866245,0.0366216414,0.000217331733,2.18308711,0.810305059
deployed,jonswap_H1.500,8,FAIL,0.952691197,0.227355286,4.39847231,0.0612994134,0.265629232,4.08662748,0.155255586,0.000232663457,2.17767072,0.810192704
deployed,jonswap_H4.000,1,FAIL,0.427351117,0.272642136,2.7984786,0.156859502,0.725886405,3.92148757,0.0701266229,0.000222772956,3.58984709,1.25036561
deployed,jonswap_H4.000,2,FAIL,0.232462972,0.392266899,3.75316477,0.168754727,0.71416527,4.21886826,0.0671757609,0.000241364993,3.59044552,1.24946749
deployed,jonswap_H4.000,3,FAIL,0.180748671,0.286740273,4.64030552,0.156331018,0.690051496,3.90827537,0.0416369289,0.00024879523,3.58899403,1.24857092
deployed,jonswap_H4.000,4,FAIL,0.214179382,0.659414113,2.57144761,0.164493307,0.706999838,4.11233282,0.106846131,0.000269514218,3.58989811,1.2494247
deployed,jonswap_H4.000,5,FAIL,0.41203928,0.579700291,3.59648943,0.154701576,0.720634282,3.86753941,0.117359437,0.000249294506,3.58888578,1.24740982
deployed,jonswap_H4.000,6,FAIL,0.153269708,0.358687788,3.99532175,0.16429624,0.710683167,4.10740614,0.0571473874,0.000171181586,3.58926749,1.24972022
deployed,jonswap_H4.000,7,FAIL,0.394537926,0.23131758,3.78650737,0.183320597,0.714961827,4.58301497,0.0684047937,0.000238123568,3.58971643,1.2484895
deployed,jonswap_H4.000,8,FAIL,1.10268116,0.41176194,1.70113277,0.16060932,0.710541189,4.01523304,0.187352791,0.000263306458,3.58881092,1.24741399
