experiment,parameter,left_case,right_case,comparison,metric,n_pairs,mean_paired_difference,std_paired_difference,bootstrap_ci95_low,bootstrap_ci95_high,cohen_dz,hedges_gz
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,disp_x_rms_m,10,-0.0003386183999999987,0.00036963469300414596,-0.0005443395475000036,-0.0001106003749999965,-0.9160893347102584,-0.8371910416306485
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,disp_y_rms_m,10,-0.0002393335999999968,6.002741754343063e-05,-0.0002752795999999947,-0.0002037109249999928,-3.9870714049431792,-3.6436844487616264
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,disp_z_rms_m,10,-2.3319999999799057e-07,0.00015512300350481518,-8.381212874999752e-05,9.631072674999966e-05,-0.001503323135377222,-0.001373849267672099
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,disp_3d_rms_m,10,-0.0003804324999999942,0.00022123429584855182,-0.0005017054399999997,-0.0002424951125000015,-1.7195909817726593,-1.5714910223949374
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,disp_x_pct_hs,10,-0.02257452999999998,0.0246421927941599,-0.0361976440000002,-0.0071754164999998935,-0.9160925810689239,-0.8371940083963226
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,disp_y_pct_hs,10,-0.0159552500000002,0.004001705680845627,-0.01833107175000034,-0.013647622000000048,-3.9871123147239027,-3.6437218351830585
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,disp_z_pct_hs,10,-1.5545999999933003e-05,0.010341497952384123,-0.0055259854000001465,0.0063332136500001265,-0.0015032638474147778,-0.0013737950858918357
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,disp_3d_pct_refmax,10,-0.02877483000000005,0.01683580359683601,-0.03813139175000022,-0.01828040024999985,-1.7091450274109734,-1.5619447269829818
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,disp_z_ref_rms_m,10,0.0,0.0,0.0,0.0,nan,nan
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,disp_z_pct_refrms,10,-0.0001485700000003476,0.04121533594805702,-0.022363269999999956,0.025475890499998974,-0.0036047261676475915,-0.0032942687364007238
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,roll_rms_deg,10,0.00015697120000001118,0.002328498368739624,-0.0012854141324999911,0.0014399080100000142,0.06741305989618407,0.06160710281803005
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,pitch_rms_deg,10,0.004729779100000003,0.0182415045627839,-0.0064513340225,0.015031053200000002,0.2592866769142301,0.23695558380824241
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,yaw_rms_deg,10,0.013590156700000012,0.03879690119415005,-0.010697013454999984,0.03427803651,0.3502897469050747,0.3201210045489156
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,dir_axis_error_deg,10,-0.00340118420000001,0.011565358547256129,-0.010396271462499997,0.00335418650499999,-0.2940837662838337,-0.2687557700905847
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,dir_axis_abs_error_deg,10,-0.0007156372000000049,0.012084778481592142,-0.008065910772499992,0.006003035954999946,-0.05921806519582321,-0.05411790292299724
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,dir_axis_rmse_deg,10,-0.0012227100000002267,0.005502105290088611,-0.004423504249999883,0.0019766032499997175,-0.22222584547823784,-0.203086620489933
sensitivity,tau,x0.5,x1,tau_x0.5_minus_x1,dir_axis_circ_std_deg,10,-0.0008888200000004787,0.004733483658363694,-0.003662990000000299,0.00188614249999893,-0.18777290979551678,-0.17160094762095054
