run_id,experiment,case,parameter,scale_label,scale_multiplier,family,mode,repetition,wave_phase_seed,imu_noise_seed,initialization_seed,true_hs_m,transition_duration_sec,score_window_sec,configured_tau_s,configured_sigma_aw_mps2,configured_r_s_ms,aw_cov_sync,window_s,samples,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,disp_x_pct_hs,disp_y_pct_hs,disp_z_pct_hs,disp_3d_pct_refmax,disp_z_ref_rms_m,disp_z_pct_refrms,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_x_rms_mps2,accel_y_rms_mps2,accel_z_rms_mps2,accel_3d_rms_mps2,dir_travel_error_deg,dir_travel_rmse_deg,dir_travel_correct_pct,dir_travel_wrong_pct,dir_travel_unresolved_pct,dir_axis_mean_deg,dir_axis_truth_deg,dir_axis_error_deg,dir_axis_rmse_deg,dir_axis_circ_std_deg,dir_axis_available_pct,dir_sense_forward_pct,dir_sense_reverse_pct,dir_sense_uncertain_pct,dir_sense_dominant_pct,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2,tuning_applied,wave_period_s,frequency_hz,period_s,accel_variance_m2ps4,dir_axis_abs_error_deg,dir_travel_abs_error_deg
sensitivity:tau_x0.5:FixedSensitivity:1,sensitivity,tau_x0.5,tau,0.5,0.5,OU_III,FixedSensitivity,1,11,101,1009,1.5,,900.0,1.252352715,0.397530764,1.326771751559308,reconfigure,900.0,180000,0.0660439134,0.0583624691,0.0819007456,0.120315038,4.4029274,3.89083123,5.46004963,9.07561779,0.39852494,20.550972,0.311393142,0.496243954,4.19765377,0.0214796029,0.0216077231,0.012727649,0.0330190882,2.15765643,19.7060127,86.6594467,0.122777782,13.2177782,-28.1713409,-30.0,1.82865906,20.8611031,19.8406849,93.7350006,32.2638893,54.5183334,13.2177782,54.5183334,0.100057736,0.000136495451,1.25235271,0.397530764,1.32677174,5.15849161,0.347727805,3.86670017,0.407008767,1.82865906,2.15765643
sensitivity:tau_x0.75:FixedSensitivity:1,sensitivity,tau_x0.75,tau,0.75,0.75,OU_III,FixedSensitivity,1,11,101,1009,1.5,,900.0,1.8785290725000001,0.397530764,1.326771751559308,reconfigure,900.0,180000,0.0669725612,0.0623695254,0.0789343715,0.120854937,4.46483707,4.15796804,5.26229143,9.1163435,0.39852494,19.806633,0.298399597,0.498249054,4.19304991,0.0209582485,0.021195177,0.0126321232,0.0323736668,2.19961548,19.6758919,86.6427765,0.105000004,13.252223,-28.1036835,-30.0,1.89631653,20.9251671,19.8936043,93.7794418,32.2494469,54.498333,13.252223,54.498333,0.0992229506,0.000136487535,1.87852907,0.397530764,1.32677174,5.15849161,0.347727805,3.86670017,0.407008767,1.89631653,2.19961548
sensitivity:tau_x1:FixedSensitivity:1,sensitivity,tau_x1,tau,1,1.0,OU_III,FixedSensitivity,1,11,101,1009,1.5,,900.0,2.50470543,0.397530764,1.326771751559308,reconfigure,900.0,180000,0.0686234534,0.0659659952,0.0776288882,0.122828886,4.57489681,4.39773273,5.17525911,9.26524258,0.39852494,19.4790535,0.283663571,0.505127132,4.19714403,0.0206459388,0.0208897367,0.0128188906,0.0320462137,2.25435567,19.6389217,86.5722275,0.0838888884,13.3438892,-28.0103912,-30.0,1.98960876,20.988884,19.9418316,93.7750015,32.2000008,54.4561119,13.3438892,54.4561119,0.0990288183,0.000136509392,2.50470543,0.397530764,1.32677174,5.15849161,0.347727805,3.86670017,0.407008767,1.98960876,2.25435567
sensitivity:tau_x1.25:FixedSensitivity:1,sensitivity,tau_x1.25,tau,1.25,1.25,OU_III,FixedSensitivity,1,11,101,1009,1.5,,900.0,3.1308817875,0.397530764,1.326771751559308,reconfigure,900.0,180000,0.0704689994,0.0691974312,0.0770539567,0.125265628,4.6979332,4.61316204,5.13693047,9.4490509,0.39852494,19.3347893,0.268507212,0.513849735,4.20448589,0.0204414092,0.0206422899,0.0131592555,0.0318923406,2.31824303,19.6870766,86.543335,0.0916666687,13.3650007,-27.9428253,-30.0,2.05717468,21.0480843,19.9901047,93.788887,32.1894455,54.4455566,13.3650007,54.4455566,0.0991637111,0.000136542832,3.13088179,0.397530764,1.32677174,5.15849161,0.347727805,3.86670017,0.407008767,2.05717468,2.31824303
sensitivity:tau_x1.5:FixedSensitivity:1,sensitivity,tau_x1.5,tau,1.5,1.5,OU_III,FixedSensitivity,1,11,101,1009,1.5,,900.0,3.7570581450000002,0.397530764,1.326771751559308,reconfigure,900.0,180000,0.0723511875,0.0721113905,0.076858215,0.127835572,4.82341242,4.80742598,5.12388086,9.64290714,0.39852494,19.2856731,0.253485709,0.523492038,4.21345901,0.0203029811,0.0204309095,0.0135907279,0.0318487212,2.39540839,19.7434349,86.5705566,0.101111114,13.3283339,-27.8774261,-30.0,2.12257385,21.1122379,20.0429134,93.7844467,32.1811104,54.4905586,13.3283339,54.4905586,0.0995498076,0.000136577335,3.75705814,0.397530764,1.32677174,5.15849161,0.347727805,3.86670017,0.407008767,2.12257385,2.39540839
sensitivity:sigma_aw_x0.5:FixedSensitivity:1,sensitivity,sigma_aw_x0.5,sigma_aw,0.5,0.5,OU_III,FixedSensitivity,1,11,101,1009,1.5,,900.0,2.50470543,0.198765382,1.326771751559308,reconfigure,900.0,180000,0.0671081468,0.057429526,0.0777352527,0.117662326,4.47387648,3.82863498,5.18235016,8.87551785,0.39852494,19.505743,0.156667203,0.629912972,4.28046227,0.020382449,0.0164885968,0.0198343769,0.0328743123,3.08761454,20.1898232,86.5416718,0.144444451,13.3138895,-27.1891327,-30.0,2.81086731,21.5722904,20.4279861,93.7077789,32.3383331,54.3477783,13.3138895,54.3477783,0.111758508,0.000132114626,2.50470543,0.198765382,1.32677174,5.15849161,0.347727805,3.86670017,0.407008767,2.81086731,3.08761454
sensitivity:sigma_aw_x0.75:FixedSensitivity:1,sensitivity,sigma_aw_x0.75,sigma_aw,0.75,0.75,OU_III,FixedSensitivity,1,11,101,1009,1.5,,900.0,2.50470543,0.298148073,1.326771751559308,reconfigure,900.0,180000,0.0686927438,0.0636378229,0.0776249543,0.121630996,4.57951593,4.24252129,5.17499685,9.17488289,0.39852494,19.4780674,0.23175852,0.539126694,4.22617292,0.0203925576,0.0193366781,0.0142739844,0.0315199979,2.51407361,19.8039932,86.6488876,0.0955555588,13.2555561,-27.7894592,-30.0,2.21054077,21.1154728,20.0516472,93.75,32.3238907,54.4205551,13.2555561,54.4205551,0.10051576,0.000136141462,2.50470543,0.298148066,1.32677174,5.15849161,0.347727805,3.86670017,0.407008767,2.21054077,2.51407361
sensitivity:sigma_aw_x1:FixedSensitivity:1,sensitivity,sigma_aw_x1,sigma_aw,1,1.0,OU_III,FixedSensitivity,1,11,101,1009,1.5,,900.0,2.50470543,0.397530764,1.326771751559308,reconfigure,900.0,180000,0.0686234534,0.0659659952,0.0776288882,0.122828886,4.57489681,4.39773273,5.17525911,9.26524258,0.39852494,19.4790535,0.283663571,0.505127132,4.19714403,0.0206459388,0.0208897367,0.0128188906,0.0320462137,2.25435567,19.6389217,86.5722275,0.0838888884,13.3438892,-28.0103912,-30.0,1.98960876,20.988884,19.9418316,93.7750015,32.2000008,54.4561119,13.3438892,54.4561119,0.0990288183,0.000136509392,2.50470543,0.397530764,1.32677174,5.15849161,0.347727805,3.86670017,0.407008767,1.98960876,2.25435567
sensitivity:sigma_aw_x1.25:FixedSensitivity:1,sensitivity,sigma_aw_x1.25,sigma_aw,1.25,1.25,OU_III,FixedSensitivity,1,11,101,1009,1.5,,900.0,2.50470543,0.49691345499999995,1.326771751559308,reconfigure,900.0,180000,0.068522267,0.0659553185,0.0776551589,0.122783259,4.568151,4.39702129,5.17701054,9.26180077,0.39852494,19.4856453,0.309437424,0.48766157,4.17722321,0.0209454373,0.0214942172,0.0125427144,0.0325274095,2.16450906,19.5868187,86.5883331,0.0805555582,13.3311119,-28.1075134,-30.0,1.89248657,20.9357758,19.8941422,93.7788925,32.2050018,54.4638901,13.3311119,54.4638901,0.0986214355,0.000136466042,2.50470543,0.496913463,1.32677174,5.15849161,0.347727805,3.86670017,0.407008767,1.89248657,2.16450906
sensitivity:sigma_aw_x1.5:FixedSensitivity:1,sensitivity,sigma_aw_x1.5,sigma_aw,1.5,1.5,OU_III,FixedSensitivity,1,11,101,1009,1.5,,900.0,2.50470543,0.596296146,1.326771751559308,reconfigure,900.0,180000,0.0684461296,0.0658921525,0.0776848346,0.122725636,4.56307507,4.39280987,5.17898893,9.25745487,0.39852494,19.4930935,0.32381919,0.477769881,4.16535473,0.0212449785,0.0219473261,0.0126574496,0.0330642574,2.11535192,19.5636692,86.6044464,0.0805555582,13.3150005,-28.1646729,-30.0,1.83532715,20.9093952,19.8709564,93.8044434,32.2116661,54.4733353,13.3150005,54.4733353,0.098499313,0.000136201794,2.50470543,0.596296132,1.32677174,5.15849161,0.347727805,3.86670017,0.407008767,1.83532715,2.11535192
