c_sigma,c_R,mean_z_pct_hs,max_z_pct_hs,mean_rms_3d_m,max_rms_3d_m
0.32,4.28,6.46052125,8.37972,0.56977925,1.47058
0.32,6.05,5.6035075,7.01326,0.49183173750000003,1.25571
0.32,8.56,4.98654375,5.90415,0.4351638125,1.10805
0.32,12.1,4.656683750000001,5.36059,0.40214288750000005,1.01464
0.32,17.11,4.6205275,6.37435,0.3963348875,0.982856
0.32,24.2,4.889577499999999,7.76624,0.422222475,1.02293
0.32,34.22,5.4787725,9.56831,0.48346313750000003,1.14417
0.32,48.4,6.4114675000000005,11.8584,0.5833448625,1.35576
0.32,68.44,7.72564125,14.7556,0.7262452500000001,1.66937
0.45,4.28,6.5218074999999995,8.457,0.5720971375,1.47635
0.45,6.05,5.65329,7.08395,0.49346306250000005,1.2598
0.45,8.56,5.022869999999999,5.97195,0.4358738125,1.11015
0.45,12.1,4.67896125,5.32968,0.4015368375,1.01384
0.45,17.11,4.626395,6.32047,0.3937621,0.977633
0.45,24.2,4.873162499999999,7.68455,0.4167579375,1.01111
0.45,34.22,5.42894875,9.4491,0.4739105250000001,1.12284
0.45,48.4,6.3098575,11.6862,0.56801345,1.32004
0.45,68.44,7.543412499999999,14.5052,0.70253425,1.6109
0.64,4.28,6.589696249999999,8.54508,0.57459275,1.48262
0.64,6.05,5.70708125,7.15682,0.49530835,1.26396
0.64,8.56,5.06325625,6.03494,0.4370412625000001,1.11291
0.64,12.1,4.70835875,5.31677,0.40191093749999995,1.0149
0.64,17.11,4.64680875,6.29588,0.3931168125,0.976478
0.64,24.2,4.885638749999999,7.64833,0.41472426250000005,1.00696
0.64,34.22,5.4329975,9.39976,0.4700120375,1.11453
0.64,48.4,6.302698749999999,11.62,0.5615951375,1.30607
0.64,68.44,7.519221249999999,14.4156,0.6925875,1.58817
0.9,4.28,6.68171875,8.67255,0.5779390625,1.49148
0.9,6.05,5.7758275,7.25335,0.49773102500000005,1.26905
0.9,8.56,5.111092500000002,6.10876,0.43867104999999995,1.11641
0.9,12.1,4.739372500000001,5.30414,0.40281425,1.01694
0.9,17.11,4.664921249999999,6.2739,0.39328854999999996,0.977039
0.9,24.2,4.894338749999999,7.61913,0.41409645000000006,1.0058
0.9,34.22,5.4351987500000005,9.36413,0.4684744625,1.11146
0.9,48.4,6.3006312499999995,11.5781,0.5589289375,1.30059
0.9,68.44,7.5137374999999995,14.3659,0.688397625,1.57916
1.27,4.28,6.83691625,8.89548,0.5836554625,1.50707
1.27,6.05,5.8887925,7.41698,0.501804825,1.27832
1.27,8.56,5.18607875,6.22683,0.4414279125,1.12209
1.27,12.1,4.783225,5.29852,0.40450518750000003,1.02053
1.27,17.11,4.683855,6.23833,0.39408285,0.978865
1.27,24.2,4.894075000000001,7.57408,0.4141392625,1.00614
1.27,34.22,5.421304999999999,9.31161,0.4678402625,1.1104
1.27,48.4,6.277735,11.5187,0.5576328625,1.29799
1.27,68.44,7.485185,14.2988,0.68636875,1.57492
1.8,4.28,7.11394625,9.2966,0.5941721375,1.53597
1.8,6.05,6.09076625,7.71163,0.5093076,1.2993
1.8,8.56,5.31996625,6.43775,0.4465413625,1.13249
1.8,12.1,4.860264999999999,5.44361,0.4077358625,1.02725
1.8,17.11,4.7141175,6.17542,0.395827925,0.982696
1.8,24.2,4.88681,7.49369,0.4147717875,1.0078
1.8,34.22,5.385539999999999,9.21772,0.46766628750000006,1.11038
1.8,48.4,6.221495000000001,11.4117,0.5568849874999999,1.29671
1.8,68.44,7.414045,14.1761,0.685076875,1.57232
2.55,4.28,7.5890525,9.97967,0.6131236875,1.58794
2.55,6.05,6.44299125,8.22161,0.5229799625,1.3375
2.55,8.56,5.55894625,6.80845,0.4559929625,1.15172
2.55,12.1,5.0032975,5.70289,0.413863,1.03987
2.55,17.11,4.7765925000000005,6.07171,0.3993513875,0.990201
2.55,24.2,4.88237125,7.3569,0.4163513750000001,1.01147
2.55,34.22,5.327801249999999,9.0541,0.467926625,1.11133
2.55,48.4,6.12313875,11.222,0.5562850125000001,1.29566
2.55,68.44,7.28458,13.9554,0.683883875,1.5699
3.6,4.28,8.339592499999998,11.0016,0.6447541375000001,1.67157
3.6,6.05,7.011975,9.0008,0.5462000249999999,1.40014
3.6,8.56,5.95798,7.38885,0.4723666000000001,1.18571
3.6,12.1,5.256416250000001,6.1219,0.42476072499999995,1.06246
3.6,17.11,4.90529375,5.92306,0.4059226375,1.00403
3.6,24.2,4.9049612499999995,7.14821,0.41965949999999996,1.01875
3.6,34.22,5.262145000000001,8.79501,0.4689992375,1.11399
3.6,48.4,5.986924999999999,10.9134,0.555922,1.29509
3.6,68.44,7.09228875,13.5898,0.682614375,1.56709
