c_sigma,c_R,family,hs_m,record,z_rms_m,z_pct_hs,rms_3d_m,roll_deg,pitch_deg,yaw_deg,rs_applied,tau_applied,sigma_applied
0.32,4.28,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0122175,4.525,0.0272778,0.282387,0.114774,0.746918,0.150006,1.28051,0.127876
0.32,4.28,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0880661,5.87107,0.184809,0.217213,0.220991,0.653527,0.704455,2.18038,0.259601
0.32,4.28,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.275205,6.88011,0.599487,0.497109,0.438403,1.46223,2.8477,3.58993,0.399628
0.32,4.28,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.670477,7.88797,1.45338,0.343673,0.19833,0.202398,4.83885,4.22171,0.505327
0.32,4.28,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0119624,4.43052,0.0262932,0.267502,0.0958309,0.333541,0.150005,1.17236,0.137386
0.32,4.28,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0934102,6.22735,0.185463,0.226509,0.0818077,0.634897,0.549373,2.04464,0.280932
0.32,4.28,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.299297,7.48243,0.610944,0.377557,0.120109,0.841052,1.99205,3.29004,0.400531
0.32,4.28,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.712276,8.37972,1.47058,0.319744,0.215014,0.421179,3.92198,4.10091,0.532072
0.32,6.05,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0121162,4.48747,0.0286507,0.282992,0.115145,0.744474,0.183942,1.28051,0.127876
0.32,6.05,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0751101,5.00734,0.165839,0.217928,0.219958,0.64993,0.995783,2.18038,0.259601
0.32,6.05,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.231764,5.7941,0.523325,0.502126,0.449029,1.48993,4.02537,3.58993,0.399628
0.32,6.05,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.561766,6.60901,1.25571,0.342302,0.200394,0.2025,6.83995,4.22171,0.505327
0.32,6.05,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0119089,4.41072,0.0266722,0.267814,0.0958601,0.332917,0.150427,1.17236,0.137386
0.32,6.05,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0788053,5.25369,0.161682,0.226523,0.0763901,0.633967,0.776567,2.04464,0.280932
0.32,6.05,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.250099,6.25247,0.521825,0.387802,0.0979833,0.895794,2.81587,3.29004,0.400531
0.32,6.05,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.596127,7.01326,1.25095,0.315028,0.198847,0.421169,5.54392,4.10091,0.532072
0.32,8.56,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0127616,4.72653,0.0324982,0.283898,0.115859,0.741332,0.260255,1.28051,0.127876
0.32,8.56,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0662756,4.41838,0.156996,0.219293,0.221509,0.644175,1.40891,2.18038,0.259601
0.32,8.56,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.198838,4.97095,0.471686,0.507641,0.463113,1.52449,5.69541,3.58993,0.399628
0.32,8.56,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.474232,5.5792,1.10805,0.342856,0.204199,0.209295,9.67769,4.22171,0.505327
