c_sigma,c_R,mean_z_pct_hs,max_z_pct_hs,mean_rms_3d_m,max_rms_3d_m
0.22,12.1,4.68369875,5.46255,0.40632555000000004,1.02272
0.22,14.4,4.65691,5.95397,0.40207193750000003,1.00389
0.22,17.11,4.71098375,6.53726,0.40575511249999996,1.00328
0.22,20.3,4.84710125,7.21218,0.4177972375,1.02189
0.22,24.2,5.07649,8.01075,0.4395055875,1.06258
0.27,12.1,4.656755,5.39363,0.4033065,1.01675
0.27,14.4,4.60990125,5.86628,0.3975022875,0.99431
0.27,17.11,4.6395875,6.4285,0.399276525,0.989097
0.27,20.3,4.7458225,7.07898,0.40900654999999997,1.00202
0.27,24.2,4.93719625,7.84793,0.4278162875,1.03545
0.32,12.1,4.656683750000001,5.36059,0.40214288750000005,1.01464
0.32,14.4,4.60118875,5.82318,0.3955381625,0.990349
0.32,17.11,4.6205275,6.37435,0.3963348875,0.982856
0.32,20.3,4.7141975,7.01236,0.40488070000000004,0.993008
0.32,24.2,4.889577499999999,7.76624,0.422222475,1.02293
0.38,12.1,4.6660525,5.34099,0.401648425,1.01386
0.38,14.4,4.605705,5.79676,0.3945156,0.988386
0.38,17.11,4.6194375,6.34073,0.394660125,0.979431
0.38,20.3,4.706525000000001,6.97078,0.402429,0.987795
0.38,24.2,4.87365625,7.71523,0.4187990375,1.01547
0.45,12.1,4.67896125,5.32968,0.4015368375,1.01384
0.45,14.4,4.61572875,5.78115,0.39404468750000005,0.987551
0.45,17.11,4.626395,6.32047,0.3937621,0.977633
0.45,20.3,4.710105,6.94563,0.40101785,0.98487
0.45,24.2,4.873162499999999,7.68455,0.4167579375,1.01111
0.64,12.1,4.70835875,5.31677,0.40191093749999995,1.0149
0.64,14.4,4.64039875,5.76221,0.39394190000000007,0.98758
0.64,17.11,4.64680875,6.29588,0.3931168125,0.976478
0.64,20.3,4.7265250000000005,6.91545,0.3997362375,0.982302
0.64,24.2,4.885638749999999,7.64833,0.41472426250000005,1.00696
0.9,12.1,4.739372500000001,5.30414,0.40281425,1.01694
0.9,14.4,4.66448,5.7445,0.3944834125,0.988879
0.9,17.11,4.664921249999999,6.2739,0.39328854999999996,0.977039
0.9,20.3,4.739585000000001,6.8896,0.39952745,0.982082
0.9,24.2,4.894338749999999,7.61913,0.41409645000000006,1.0058
1.8,12.1,4.860264999999999,5.44361,0.4077358625,1.02725
1.8,14.4,4.747417499999999,5.66316,0.3981434375,0.996739
1.8,17.11,4.7141175,6.17542,0.395827925,0.982696
1.8,20.3,4.75898875,6.77684,0.40108642499999997,0.985817
1.8,24.2,4.88681,7.49369,0.4147717875,1.0078
