arm,metric,scenario,n,baseline,revised,delta,ci95_half
swept,disp_z_pct_hs,nonstationary_H1_5_to_H4_0_Tp5_7_to_11_4,10,4.662991667,4.621772146,-0.041219521000000016,0.0700646489563623
swept,disp_z_pct_hs,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,10,5.127509547,6.0440890320000005,0.9165794850000003,0.11559630793138247
swept,disp_z_pct_hs,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,10,4.906845522,4.872391604,-0.03445391800000008,0.05520487318178887
swept,disp_z_pct_hs,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,10,4.851933289,5.104066087,0.25213279800000016,0.06144694384383437
swept,disp_z_pct_hs,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,10,4.02997284,4.668634225,0.6386613849999999,0.0833644315203314
swept,disp_z_pct_hs,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,10,4.73474126,5.286396838,0.5516555779999999,0.08337531011724685
swept,disp_z_pct_hs,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,10,4.2232388499999995,4.254040814,0.03080196399999995,0.043863662223004
swept,disp_z_pct_hs,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,10,4.017586899,4.412898637,0.39531173799999986,0.06455724505938665
swept,disp_z_pct_hs,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,10,4.017911625,4.885677052,0.867765427,0.07377755372361874
swept,disp_z_pct_hs,ALL,90,4.508081277666666,4.905551826111111,0.39747054844444446,0.07666678226866992
swept,disp_3d_rms_m,nonstationary_H1_5_to_H4_0_Tp5_7_to_11_4,10,0.4677871613,0.46967732019999997,0.0018901589000000051,0.003953081756827426
swept,disp_3d_rms_m,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,10,0.03044533527,0.03965361976,0.00920828449,0.0005481493505161214
swept,disp_3d_rms_m,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,10,0.1654167505,0.1549823046,-0.010434445899999997,0.0014425229491381293
swept,disp_3d_rms_m,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,10,0.4530606627,0.417759359,-0.035301303699999995,0.009419528160318354
swept,disp_3d_rms_m,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,10,0.9846007112,0.9308507085,-0.05375000270000001,0.05278764592516329
swept,disp_3d_rms_m,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,10,0.02929930538,0.03524680847,0.0059475030899999995,0.00035593530632641555
