time_s,blend_weight,rolling_hs_m,mixture_hs_m,disp_ref_z_m,disp_est_z_m,disp_err_z_m,tau_applied_s,sigma_aw_applied_mps2,r_s_applied_ms,freq_tracker_hz
0.0,0.0,1.2393959790156206,1.5,0.266506,-0.0,-0.266506,1.1,0.12,1.22474,0.318311
0.1,0.0,1.2443254005415847,1.5,0.32816,-0.0,-0.32816,1.1,0.12,1.22474,0.306595
0.2,0.0,1.2492515295307705,1.5,0.383109,-0.0,-0.383109,1.1,0.12,1.22474,0.293483
0.3,0.0,1.25411178230358,1.5,0.430375,-0.0,-0.430375,1.1,0.12,1.22474,0.281206
0.4,0.0,1.2588475220897866,1.5,0.469048,-0.0,-0.469048,1.1,0.12,1.22474,0.26971
0.5,0.0,1.2634028950689002,1.5,0.498284,-0.0,-0.498284,1.1,0.12,1.22474,0.258424
0.6,0.0,1.2677242403237834,1.5,0.517368,-0.0,-0.517368,1.1,0.12,1.22474,0.246916
0.7,0.0,1.2717604087853704,1.5,0.525806,-0.0,-0.525806,1.1,0.12,1.22474,0.235921
0.8,0.0,1.2754640511538176,1.5,0.5234,-0.0,-0.5234,1.1,0.12,1.22474,0.225442
0.9,0.0,1.278793634356077,1.5,0.510282,-0.0,-0.510282,1.1,0.12,1.22474,0.215461
1.0,0.0,1.2817158228502767,1.5,0.486903,-0.0,-0.486903,1.1,0.12,1.22474,0.206573
1.1,0.0,1.2842078384425348,1.5,0.453999,-0.0,-0.453999,1.1,0.12,1.22474,0.2
1.2,0.0,1.2862595770482403,1.5,0.412553,-0.0,-0.412553,1.1,0.12,1.22474,0.2
1.3,0.0,1.28787541284364,1.5,0.363763,-0.0,-0.363763,1.1,0.12,1.22474,0.2
1.4,0.0,1.2890757432978397,1.5,0.309001,-0.0,-0.309001,1.1,0.12,1.22474,0.204036
1.5,0.0,1.2898981489603547,1.5,0.249778,-0.0,-0.249778,1.1,0.12,1.22474,0.211048
1.6,0.0,1.2903977383000695,1.5,0.187715,-0.0,-0.187715,1.1,0.12,1.22474,0.217213
1.7,0.0,1.2906459767570204,1.5,0.124514,-0.0,-0.124514,1.1,0.12,1.22474,0.220967
1.8,0.0,1.2907273756345803,1.5,0.0619143,-0.0,-0.0619143,1.1,0.12,1.22474,0.221741
1.9,0.0,1.2907340220163308,1.5,0.00162371,-0.0,-0.00162371,1.1,0.12,1.22474,0.220198
2.0,0.0,1.290758683977828,1.5,-0.0547874,-0.0,0.0547874,1.1,0.12,1.22474,0.217914
2.1,0.0,1.2908876960618887,1.5,-0.105996,-0.0,0.105996,1.1,0.12,1.22474,0.21619
2.2,0.0,1.2911947249040046,1.5,-0.151,-0.0,0.151,1.1,0.12,1.22474,0.215255
2.3,0.0,1.291736024096489,1.5,-0.189123,-0.0,0.189123,1.1,0.12,1.22474,0.214508
2.4,0.0,1.2925474038017297,1.5,-0.219949,-0.0,0.219949,1.1,0.12,1.22474,0.212973
2.5,0.0,1.2936431433005071,1.5,-0.243232,-0.0,0.243232,1.1,0.12,1.22474,0.210094
