c_sigma,c_J,mean_z_pct_hs,max_z_pct_hs,mean_rms_3d_m,max_rms_3d_m
0.6,0.03,4.475825,4.57899,0.38672897500000003,0.979157
0.6,0.038,4.255598749999999,4.52541,0.3870589375,0.992285
0.6,0.046,4.14458875,4.51008,0.3978022,1.02811
0.6,0.0538,4.1017275,4.50607,0.4140676125,1.07523
0.6,0.062,4.106433749999999,4.53824,0.4347987625,1.13223
0.6,0.072,4.1637775,4.6285,0.46298131249999996,1.20748
0.6,0.085,4.29594875,4.81235,0.5020515000000001,1.30993
0.6,0.1,4.4966525,5.07937,0.548485475,1.43019
0.9,0.03,4.523154999999999,4.63532,0.387312325,0.979593
0.9,0.038,4.29445,4.54982,0.3869823375,0.991324
0.9,0.046,4.177026250000001,4.53093,0.3971523875,1.0259
0.9,0.0538,4.1285887500000005,4.52141,0.4129086625,1.07193
0.9,0.062,4.12816375,4.54716,0.4331387875,1.12781
0.9,0.072,4.180195,4.63013,0.46074400000000004,1.20176
0.9,0.085,4.30686875,4.80606,0.4991102625,1.30258
0.9,0.1,4.50250625,5.06584,0.544737425,1.42088
1.3,0.03,4.5872875,4.7415,0.3886899875,0.981575
1.3,0.038,4.342708749999999,4.58157,0.38772720000000005,0.992151
1.3,0.046,4.213257499999999,4.55786,0.39742921249999996,1.0259
1.3,0.0538,4.15472375,4.54062,0.4128244125,1.0712
1.3,0.062,4.1451775,4.55722,0.43274372499999997,1.12648
1.3,0.072,4.18806125,4.62977,0.46002426250000006,1.19976
1.3,0.085,4.305515,4.79464,0.4980358,1.29978
1.3,0.1,4.4932775000000005,5.04466,0.5433101625,1.41732
1.8,0.03,4.685571250000001,4.91976,0.3910755,0.985149
1.8,0.038,4.4153275,4.63115,0.389235,0.99427
1.8,0.046,4.26620125,4.60021,0.3983388625,1.02699
1.8,0.0538,4.19094625,4.57631,0.41331016249999997,1.07159
1.8,0.062,4.16628625,4.57363,0.43290798750000004,1.12632
1.8,0.072,4.193933749999999,4.63022,0.4598877125,1.19908
1.8,0.085,4.2959024999999995,4.77821,0.49759612500000006,1.29852
1.8,0.1,4.47026875,5.01316,0.5425991625,1.4154
