arm,metric,scenario,n,baseline,revised,delta,ci95_half
mse_analytic,disp_z_pct_hs,nonstationary_H1_5_to_H4_0_Tp5_7_to_11_4,10,4.662991667,4.645021392,-0.01797027499999988,0.0093935830513791
mse_analytic,disp_z_pct_hs,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,10,5.127509547,4.995462608,-0.13204693899999978,0.04323902952321923
mse_analytic,disp_z_pct_hs,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,10,4.906845522,4.855247594,-0.05159792799999998,0.03429211485508615
mse_analytic,disp_z_pct_hs,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,10,4.851933289,4.866358326,0.014425036999999996,0.014469929417889282
mse_analytic,disp_z_pct_hs,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,10,4.02997284,4.029881477,-9.136299999998876e-05,0.006338992539205771
mse_analytic,disp_z_pct_hs,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,10,4.73474126,4.64867692,-0.08606434000000016,0.0466420676344474
mse_analytic,disp_z_pct_hs,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,10,4.2232388499999995,4.2227610570000005,-0.0004777929999998598,0.030254607032744178
mse_analytic,disp_z_pct_hs,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,10,4.017586899,4.035919141,0.018332241999999922,0.019977137130459854
mse_analytic,disp_z_pct_hs,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,10,4.017911625,4.037132525,0.01922089999999992,0.014020130672240862
mse_analytic,disp_z_pct_hs,ALL,90,4.508081277666666,4.481829004444444,-0.026252273222222202,0.013694452568721375
mse_analytic,disp_3d_rms_m,nonstationary_H1_5_to_H4_0_Tp5_7_to_11_4,10,0.4677871613,0.4729222476,0.005135086300000003,0.0013430219371429657
mse_analytic,disp_3d_rms_m,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,10,0.03044533527,0.027741341660000002,-0.002703993609999999,0.00025194939759499356
mse_analytic,disp_3d_rms_m,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,10,0.1654167505,0.1547589763,-0.010657774200000003,0.0014246366228884493
mse_analytic,disp_3d_rms_m,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,10,0.4530606627,0.4387182028,-0.014342459899999988,0.002423106916317195
mse_analytic,disp_3d_rms_m,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,10,0.9846007112,0.9762617695,-0.008338941700000001,0.002575040935396741
mse_analytic,disp_3d_rms_m,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,10,0.02929930538,0.02658922952,-0.00271007586,0.00029069936665926193
mse_analytic,disp_3d_rms_m,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,10,0.1547480717,0.1446222828,-0.010125788899999998,0.001816250788472412
mse_analytic,disp_3d_rms_m,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,10,0.4197933853,0.40426401489999997,-0.015529370400000003,0.0025120889390882234
mse_analytic,disp_3d_rms_m,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,10,0.9241720552,0.9111735106,-0.012998544600000005,0.0033815469544526025
mse_analytic,disp_3d_rms_m,ALL,90,0.4032581598388889,0.39522795285333334,-0.008030206985555555,0.0014692023358723345
mse_analytic,roll_rms_deg,nonstationary_H1_5_to_H4_0_Tp5_7_to_11_4,10,0.37367442090999997,0.37344919165,-0.00022522925999999692,0.00015837037170510153
mse_analytic,roll_rms_deg,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,10,0.33171674598,0.33153707591,-0.00017967007000000007,0.00040858237537874875
mse_analytic,roll_rms_deg,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,10,0.34671657935,0.34636806369,-0.000348515660000015,0.000508255867150978
mse_analytic,roll_rms_deg,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,10,0.33173768200000003,0.33125539649999997,-0.00048228550000002646,0.0006275026854242104
mse_analytic,roll_rms_deg,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,10,0.5682313158,0.5679499228,-0.0002813929999999659,0.00015804882461201806
mse_analytic,roll_rms_deg,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,10,0.33298539347,0.33281322974,-0.00017216373000001755,0.000473270563117205
mse_analytic,roll_rms_deg,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,10,0.33189583329,0.33148736212,-0.00040847116999998684,0.0006059403077679429
mse_analytic,roll_rms_deg,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,10,0.3732373797,0.3728526213,-0.0003847584000000001,0.0005154874248698706
mse_analytic,roll_rms_deg,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,10,0.3571875572,0.3569227138,-0.00026484340000001023,0.00024232166449828697
mse_analytic,roll_rms_deg,ALL,90,0.3719314341888889,0.3716261752788889,-0.00030525891000000215,0.00014316124106393313
mse_analytic,pitch_rms_deg,nonstationary_H1_5_to_H4_0_Tp5_7_to_11_4,10,0.26193257933,0.26198436232,5.178298999999331e-05,0.000611423128655201
mse_analytic,pitch_rms_deg,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,10,0.2649576739,0.26520785393,0.00025018002999999676,0.0004980426737053263
mse_analytic,pitch_rms_deg,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,10,0.26852753144999997,0.26834274079000003,-0.00018479065999998516,0.000551189311517302
mse_analytic,pitch_rms_deg,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,10,0.2799734458,0.2801085621,0.0001351163000000044,0.001197096154328613
mse_analytic,pitch_rms_deg,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,10,0.2908855126,0.2909660966,8.058400000000576e-05,0.00024671782859643835
mse_analytic,pitch_rms_deg,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,10,0.26671809995,0.26695469636,0.00023659641000000204,0.0004751579979374501
mse_analytic,pitch_rms_deg,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,10,0.2867088281,0.286630261,-7.8567099999996e-05,0.0007197911036273799
mse_analytic,pitch_rms_deg,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,10,0.2853893452,0.2858769133,0.00048756810000000206,0.001012215266164821
mse_analytic,pitch_rms_deg,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,10,0.3025509657,0.3025325551,-1.841060000000727e-05,0.0004890690052862979
mse_analytic,pitch_rms_deg,ALL,90,0.27862710911444444,0.2787337823888889,0.00010667327444444621,0.00022646964506496951
mse_lowsig,disp_z_pct_hs,nonstationary_H1_5_to_H4_0_Tp5_7_to_11_4,10,4.662991667,4.635622407,-0.02736925999999995,0.016772529375307082
mse_lowsig,disp_z_pct_hs,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,10,5.127509547,4.981856821,-0.14565272599999962,0.042033137026918674
mse_lowsig,disp_z_pct_hs,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,10,4.906845522,4.855468561,-0.05137696099999998,0.03203591308038787
mse_lowsig,disp_z_pct_hs,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,10,4.851933289,4.861104107,0.009170817999999947,0.021575102506074705
mse_lowsig,disp_z_pct_hs,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,10,4.02997284,4.027230693,-0.0027421469999998837,0.015280191265333221
mse_lowsig,disp_z_pct_hs,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,10,4.73474126,4.626712655,-0.10802860500000007,0.044917979922358964
mse_lowsig,disp_z_pct_hs,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,10,4.2232388499999995,4.210112571,-0.013126279000000097,0.026988190981851144
mse_lowsig,disp_z_pct_hs,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,10,4.017586899,4.030420732,0.012833833000000006,0.020722564974331423
mse_lowsig,disp_z_pct_hs,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,10,4.017911625,4.0262532,0.008341574999999901,0.016381683205400857
mse_lowsig,disp_z_pct_hs,ALL,90,4.508081277666666,4.4727535274444445,-0.03532775022222219,0.01426808442274554
mse_lowsig,disp_3d_rms_m,nonstationary_H1_5_to_H4_0_Tp5_7_to_11_4,10,0.4677871613,0.473372841,0.0055856797000000125,0.001790140632759302
mse_lowsig,disp_3d_rms_m,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,10,0.03044533527,0.02772639561,-0.0027189396599999996,0.00025821856993239517
mse_lowsig,disp_3d_rms_m,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,10,0.1654167505,0.1547743767,-0.010642373800000002,0.0014469655147345834
mse_lowsig,disp_3d_rms_m,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,10,0.4530606627,0.438819015,-0.014241647699999988,0.0027631888044114057
mse_lowsig,disp_3d_rms_m,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,10,0.9846007112,0.9774700285,-0.007130682700000002,0.003693676646775345
mse_lowsig,disp_3d_rms_m,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,10,0.02929930538,0.0265553072,-0.0027439981800000002,0.00029735694313724303
mse_lowsig,disp_3d_rms_m,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,10,0.1547480717,0.1445182294,-0.010229842300000003,0.0017964857761919965
mse_lowsig,disp_3d_rms_m,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,10,0.4197933853,0.4041275681,-0.015665817199999998,0.0026821864528612342
mse_lowsig,disp_3d_rms_m,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,10,0.9241720552,0.9115925436,-0.012579511600000004,0.0036847530200587284
mse_lowsig,disp_3d_rms_m,ALL,90,0.4032581598388889,0.3954395894566667,-0.00781857038222222,0.001533055502172279
mse_lowsig,roll_rms_deg,nonstationary_H1_5_to_H4_0_Tp5_7_to_11_4,10,0.37367442090999997,0.37219672215,-0.0014776987599999832,0.0028621646274829405
mse_lowsig,roll_rms_deg,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,10,0.33171674598,0.32943485269,-0.0022818932899999977,0.0047686075213099685
mse_lowsig,roll_rms_deg,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,10,0.34671657935,0.34612272,-0.0005938593500000062,0.0022774117463021464
mse_lowsig,roll_rms_deg,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,10,0.33173768200000003,0.3312813144,-0.00045636760000001414,0.010218277598877399
mse_lowsig,roll_rms_deg,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,10,0.5682313158,0.565831387,-0.002399928800000009,0.002472796648169965
mse_lowsig,roll_rms_deg,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,10,0.33298539347,0.33052111323,-0.0024642802400000148,0.004734557554521091
mse_lowsig,roll_rms_deg,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,10,0.33189583329,0.33099132397000003,-0.0009045093199999882,0.0011024578166522118
mse_lowsig,roll_rms_deg,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,10,0.3732373797,0.3723810912,-0.000856288499999995,0.002243426928113221
mse_lowsig,roll_rms_deg,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,10,0.3571875572,0.3557788886,-0.0014086686000000016,0.0030582706987819005
mse_lowsig,roll_rms_deg,ALL,90,0.3719314341888889,0.3705043792488889,-0.001427054940000001,0.0014487268638908148
mse_lowsig,pitch_rms_deg,nonstationary_H1_5_to_H4_0_Tp5_7_to_11_4,10,0.26193257933,0.2568723111,-0.005060268230000003,0.020864000388341943
mse_lowsig,pitch_rms_deg,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,10,0.2649576739,0.25899026028,-0.005967413619999999,0.01672697015221192
mse_lowsig,pitch_rms_deg,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,10,0.26852753144999997,0.2621116981,-0.00641583335,0.01573261542877916
mse_lowsig,pitch_rms_deg,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,10,0.2799734458,0.2802164778,0.0002430320000000069,0.032933174509079004
mse_lowsig,pitch_rms_deg,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,10,0.2908855126,0.2976134509,0.006727938300000005,0.018153074280067044
mse_lowsig,pitch_rms_deg,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,10,0.26671809995,0.2604517079,-0.006266392049999998,0.016255373224228514
mse_lowsig,pitch_rms_deg,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,10,0.2867088281,0.28313287130000003,-0.003575956799999988,0.007290210086814265
mse_lowsig,pitch_rms_deg,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,10,0.2853893452,0.2808947735,-0.004494571700000007,0.006181444209466315
mse_lowsig,pitch_rms_deg,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,10,0.3025509657,0.296923019,-0.00562794670000002,0.017065437072888618
mse_lowsig,pitch_rms_deg,ALL,90,0.27862710911444444,0.27524517443111113,-0.0033819346833333336,0.005889464214114955
