c_sigma,c_J,family,hs_m,record,z_rms_m,z_pct_hs,rms_3d_m,roll_deg,pitch_deg,yaw_deg,rs_applied,tau_applied,sigma_applied
0.6,0.03,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0122253,4.52788,0.0274849,0.236774,0.13437,1.04742,0.150005,1.28051,0.239768
0.6,0.03,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0686848,4.57899,0.157876,0.191124,0.0888601,1.13125,0.854823,2.18038,0.486753
0.6,0.03,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.179868,4.4967,0.446689,0.387789,0.100676,0.489411,4.93473,3.58993,0.749303
0.6,0.03,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.361802,4.25649,0.979157,0.31358,0.112056,0.608486,9.79143,4.22171,0.947487
0.6,0.03,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0120254,4.45384,0.0264199,0.226563,0.144179,0.619464,0.150005,1.17236,0.257598
0.6,0.03,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0684195,4.5613,0.146891,0.211515,0.147439,0.919348,0.764212,2.04464,0.526747
0.6,0.03,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.179533,4.48833,0.411248,0.353735,0.167414,0.558562,3.61586,3.29004,0.750996
0.6,0.03,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.377661,4.44307,0.898066,0.277688,0.136991,0.379131,8.72183,4.10091,0.997636
0.6,0.038,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0122186,4.52541,0.0275022,0.236873,0.133819,1.04612,0.150006,1.28051,0.239768
0.6,0.038,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0645574,4.30383,0.156528,0.192127,0.0867002,1.12828,1.08278,2.18038,0.486753
0.6,0.038,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.170053,4.25133,0.445713,0.389894,0.0996352,0.49825,6.25065,3.58993,0.749303
0.6,0.038,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.337999,3.97646,0.992285,0.315422,0.110066,0.60964,12.4024,4.22171,0.947487
0.6,0.038,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0120269,4.45442,0.0264303,0.226564,0.144193,0.619509,0.150005,1.17236,0.257598
0.6,0.038,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0633973,4.22649,0.143169,0.212267,0.145695,0.917764,0.968003,2.04464,0.526747
0.6,0.038,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.166904,4.17261,0.405304,0.355763,0.163108,0.562266,4.58008,3.29004,0.750996
0.6,0.038,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.35141,4.13424,0.89954,0.27842,0.136697,0.39029,11.0477,4.10091,0.997636
0.6,0.046,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0121772,4.51008,0.0277119,0.237045,0.133194,1.04476,0.152224,1.28051,0.239768
0.6,0.046,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0628442,4.18962,0.159602,0.193045,0.0852041,1.12573,1.31073,2.18038,0.486753
0.6,0.046,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.166023,4.15057,0.456443,0.391626,0.0994093,0.505325,7.56658,3.58993,0.749303
0.6,0.046,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.325611,3.83072,1.02811,0.317085,0.108899,0.610422,15.0135,4.22171,0.947487
0.6,0.046,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0120401,4.45928,0.0265737,0.226655,0.144026,0.619242,0.150053,1.17236,0.257598
0.6,0.046,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0607966,4.05311,0.144208,0.213028,0.144243,0.915942,1.17179,2.04464,0.526747
0.6,0.046,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.160343,4.00858,0.412319,0.357196,0.160762,0.563961,5.54431,3.29004,0.750996
0.6,0.046,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.336154,3.95475,0.92745,0.279482,0.135721,0.397168,13.3735,4.10091,0.997636
0.6,0.0538,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0121664,4.50607,0.0283421,0.237301,0.132607,1.0437,0.16465,1.28051,0.239768
0.6,0.0538,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0625864,4.17243,0.165072,0.193858,0.0841531,1.12374,1.53298,2.18038,0.486753
0.6,0.0538,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.165362,4.13405,0.473344,0.393063,0.0995387,0.510915,8.8496,3.58993,0.749303
0.6,0.0538,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.320353,3.76886,1.07523,0.318544,0.108189,0.610786,17.5593,4.22171,0.947487
0.6,0.0538,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0120492,4.46266,0.0270848,0.226832,0.143796,0.619205,0.152396,1.17236,0.257598
0.6,0.0538,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0596942,3.97962,0.147942,0.213726,0.143051,0.914262,1.37049,2.04464,0.526747
0.6,0.0538,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.157477,3.93692,0.42641,0.358294,0.159406,0.564672,6.48443,3.29004,0.750996
0.6,0.0538,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.327523,3.85321,0.969116,0.280644,0.13437,0.401295,15.6412,4.10091,0.997636
0.6,0.062,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0122533,4.53824,0.0293527,0.237587,0.131953,1.04261,0.185677,1.28051,0.239768
0.6,0.062,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0632789,4.21859,0.172406,0.194626,0.0833396,1.12213,1.76664,2.18038,0.486753
0.6,0.062,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.16681,4.17024,0.4952,0.394367,0.0998833,0.51591,10.1984,3.58993,0.749303
0.6,0.062,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.31963,3.76035,1.13223,0.319935,0.1077,0.610784,20.2355,4.22171,0.947487
0.6,0.062,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.012086,4.47629,0.0279184,0.227058,0.143361,0.618805,0.168093,1.17236,0.257598
0.6,0.062,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0595331,3.96887,0.153652,0.214406,0.142005,0.912693,1.57937,2.04464,0.526747
0.6,0.062,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.156867,3.92169,0.445801,0.359252,0.158508,0.564898,7.47277,3.29004,0.750996
0.6,0.062,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.322762,3.7972,1.02183,0.281886,0.132764,0.403972,18.0251,4.10091,0.997636
0.6,0.072,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.012497,4.6285,0.0308699,0.237934,0.131165,1.04131,0.215173,1.28051,0.239768
0.6,0.072,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0649828,4.33219,0.182662,0.195478,0.0826092,1.12058,2.05158,2.18038,0.486753
0.6,0.072,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.170417,4.26043,0.525181,0.395751,0.100438,0.520907,11.8433,3.58993,0.749303
0.6,0.072,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.323183,3.80216,1.20748,0.321482,0.107284,0.610135,23.4994,4.22171,0.947487
0.6,0.072,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0122469,4.53591,0.0292416,0.227374,0.142704,0.618013,0.190317,1.17236,0.257598
0.6,0.072,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0602518,4.01678,0.162126,0.215163,0.140968,0.911122,1.83411,2.04464,0.526747
0.6,0.072,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.158276,3.95691,0.47319,0.360252,0.157808,0.565,8.67807,3.29004,0.750996
0.6,0.072,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.321074,3.77734,1.0931,0.283385,0.130714,0.405668,20.9324,4.10091,0.997636
0.6,0.085,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0129933,4.81235,0.0331113,0.238379,0.130149,1.03957,0.253783,1.28051,0.239768
0.6,0.085,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0680426,4.53617,0.197162,0.196461,0.0819576,1.11914,2.422,2.18038,0.486753
0.6,0.085,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.176837,4.42092,0.566962,0.397288,0.101237,0.526055,13.9817,3.58993,0.749303
0.6,0.085,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.332336,3.90984,1.30993,0.323281,0.106938,0.608646,27.7424,4.22171,0.947487
0.6,0.085,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0126359,4.67996,0.0312567,0.227791,0.141792,0.616738,0.22064,1.17236,0.257598
0.6,0.085,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0621377,4.14251,0.174541,0.216033,0.139954,0.909653,2.16527,2.04464,0.526747
0.6,0.085,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.162287,4.05718,0.512019,0.361397,0.157136,0.565116,10.2449,3.29004,0.750996
