scenario,value,seed,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,wave_period_s,period_s,tau_applied_s,sigma_applied_mps2,accel_variance_m2ps4,seg_start_disp_z_rms_m,seg_blend_disp_z_rms_m,seg_recover_disp_z_rms_m,seg_end_disp_z_rms_m
transition,0,default,0.194629177,0.534105003,0.226522595,0.155052051,0.99517417,7.98361349,3.00023651,3.97007418,0.609683812,0.458829194,0.065981254,0.235472187,0.230196625,0.218413681
transition,0.10,default,0.194158182,0.53833276,0.226753399,0.154495597,0.993665993,7.96247149,3.00023651,3.99375677,0.60989815,0.459233284,0.0660257712,0.233180285,0.230702683,0.218053505
transition,0.25,default,0.195428789,0.538764119,0.22683692,0.154276431,0.992769182,7.97693348,3.00023651,4.00203419,0.610396981,0.460010588,0.0662969425,0.237310097,0.230976671,0.219082907
transition,0.50,default,0.197328627,0.539613366,0.226967886,0.154021353,0.991701543,7.99265814,3.00023651,4.00484657,0.610672474,0.460442543,0.0665370971,0.243910447,0.231245622,0.220534101
transition,1.0,default,0.199913979,0.541898608,0.227201581,0.153785005,0.990541816,7.9942894,3.00023651,4.00051165,0.610811234,0.460656971,0.0667654723,0.253973365,0.231865957,0.222047508
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0,default,0.0120463232,0.028228173,0.226822376,0.180754125,0.629972935,2.59797025,1.62235105,1.29159808,0.396081924,0.207567289,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.10,default,0.0120747788,0.0283223465,0.226798281,0.180913851,0.629920006,2.59348321,1.62235105,1.29731262,0.397632122,0.20905216,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.25,default,0.01210461,0.0283050891,0.226785928,0.180975854,0.630010903,2.5911026,1.62235105,1.29580605,0.397073597,0.208485961,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.50,default,0.012131758,0.0283027682,0.226761997,0.181096002,0.630102277,2.58419013,1.62235105,1.29060102,0.396405637,0.207842186,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,1.0,default,0.0121668391,0.0283138547,0.226717651,0.181296244,0.630201519,2.5682044,1.62235105,1.28168416,0.395744234,0.207220316,nan,nan,nan,nan
wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0,default,0.0624320954,0.16380778,0.186636254,0.1308209,0.880757928,4.37295914,2.2872026,2.15899444,0.925571799,1.01065838,nan,nan,nan,nan
wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.10,default,0.0625971034,0.164751396,0.186747402,0.130594492,0.880369186,4.34502888,2.2872026,2.17057323,0.923645556,1.00686097,nan,nan,nan,nan
wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.25,default,0.0627761781,0.164718002,0.186724365,0.130719215,0.880703926,4.34048891,2.2872026,2.17666626,0.923433542,1.00629628,nan,nan,nan,nan
wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.50,default,0.0628777444,0.164844006,0.186677173,0.131095886,0.881727219,4.36452913,2.2872026,2.19271326,0.92323482,1.00617051,nan,nan,nan,nan
wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,1.0,default,0.0628804341,0.165109232,0.186609045,0.131767988,0.883548915,4.41655445,2.2872026,2.21901512,0.922977984,1.00632131,nan,nan,nan,nan
wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0,default,0.164000228,0.468820065,0.362326652,0.128815651,0.506214917,7.08573103,3.19920421,3.56185126,1.27991581,2.05678034,nan,nan,nan,nan
wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.10,default,0.164295524,0.471700698,0.362630904,0.128257245,0.507583559,7.13512611,3.19920421,3.60420918,1.27813017,2.05258751,nan,nan,nan,nan
wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.25,default,0.164986014,0.471637964,0.362578601,0.128428578,0.507265329,7.17507076,3.19920421,3.61454344,1.27901053,2.05548024,nan,nan,nan,nan
wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.50,default,0.165747896,0.472079962,0.36259681,0.128378496,0.507499397,7.20082951,3.19920421,3.6164,1.2805227,2.06021142,nan,nan,nan,nan
wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,1.0,default,0.166701332,0.473214209,0.362728238,0.128037438,0.508518219,7.18506479,3.19920421,3.59699869,1.2838639,2.07034731,nan,nan,nan,nan
wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0,default,0.321342736,1.06328261,0.31027633,0.149561152,0.527732909,8.41515446,3.47790003,4.2168951,1.64904058,3.35086799,nan,nan,nan,nan
wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.10,default,0.320661008,1.07079899,0.310468107,0.149210572,0.527108431,8.47214222,3.47790003,4.24408293,1.64878082,3.34807014,nan,nan,nan,nan
wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.25,default,0.321288615,1.07037997,0.310427606,0.14921847,0.527054012,8.47011185,3.47790003,4.24166012,1.65149546,3.35803533,nan,nan,nan,nan
wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.50,default,0.322317809,1.07056379,0.310395449,0.149160847,0.526724041,8.46919918,3.47790003,4.23855305,1.65288901,3.36357141,nan,nan,nan,nan
wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,1.0,default,0.323551118,1.07124722,0.310404271,0.148964837,0.525892913,8.47855377,3.47790003,4.24248123,1.65260351,3.36265874,nan,nan,nan,nan
wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0,default,0.011979172,0.0271289553,0.218613818,0.183138296,0.693769336,2.28762412,2.23809814,1.15193284,0.431644261,0.242938444,nan,nan,nan,nan
wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.10,default,0.0120102018,0.0271730423,0.218599409,0.183202565,0.693694055,2.2966795,2.23809814,1.15693212,0.432093561,0.243374765,nan,nan,nan,nan
wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.25,default,0.0120494608,0.0271833893,0.218615726,0.18312189,0.693840504,2.30792713,2.23809814,1.16114831,0.431791037,0.24303326,nan,nan,nan,nan
wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.50,default,0.012078248,0.0272078589,0.218626469,0.183057815,0.693977892,2.32117844,2.23809814,1.16630065,0.431543469,0.242764741,nan,nan,nan,nan
wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,1.0,default,0.012103091,0.0272482,0.218633667,0.183003739,0.694107175,2.33516741,2.23809814,1.17150748,0.431467712,0.242669553,nan,nan,nan,nan
