scenario,value,seed,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,wave_period_s,period_s,tau_applied_s,sigma_applied_mps2,accel_variance_m2ps4,seg_start_disp_z_rms_m,seg_blend_disp_z_rms_m,seg_recover_disp_z_rms_m,seg_end_disp_z_rms_m
transition,10,default,0.199416339,0.541894794,0.22700727,0.154196084,0.991894722,8.04445553,3.00023651,4.02954388,0.609457195,0.458740354,0.0666181222,0.255450487,0.231099248,0.220855996
transition,4,default,0.193107247,0.531896293,0.22643663,0.154799134,0.993692815,7.9221344,3.00023651,3.97559929,0.613908827,0.465029657,0.0664275885,0.227148667,0.230868384,0.217756703
transition,6,default,0.195238024,0.535981297,0.226806358,0.154159576,0.992217422,7.93717957,3.00023651,3.97893357,0.612333953,0.462784886,0.0664196983,0.233132333,0.231440112,0.219838798
transition,8,default,0.197328627,0.539613366,0.226967886,0.154021353,0.991701543,7.99265814,3.00023651,4.00484657,0.610672474,0.460442543,0.0665370971,0.243910447,0.231245622,0.220534101
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,10,default,0.0121504981,0.0283480287,0.226843521,0.180677682,0.630001068,2.58315158,1.62235105,1.29041493,0.396039337,0.207478359,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,4,default,0.0121252257,0.0282502435,0.226671413,0.181527376,0.63018477,2.57932448,1.62235105,1.28815556,0.396432132,0.207877681,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,6,default,0.0121254185,0.0282497015,0.226660162,0.181594357,0.630223572,2.57932448,1.62235105,1.28815556,0.396432132,0.207877681,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,8,default,0.012131758,0.0283027682,0.226761997,0.181096002,0.630102277,2.58419013,1.62235105,1.29060102,0.396405637,0.207842186,nan,nan,nan,nan
wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,10,default,0.0625866726,0.164884195,0.186716348,0.131029487,0.881657541,4.40054274,2.2872026,2.20929766,0.923311174,1.00678921,nan,nan,nan,nan
wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,4,default,0.0637481287,0.163911864,0.186317831,0.131725505,0.882912576,4.18817616,2.2872026,2.10464525,0.92702961,1.01168144,nan,nan,nan,nan
wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,6,default,0.0633040369,0.164732859,0.186582401,0.13119933,0.881854534,4.29780531,2.2872026,2.16048694,0.92394197,1.00676262,nan,nan,nan,nan
wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,8,default,0.0628777444,0.164844006,0.186677173,0.131095886,0.881727219,4.36452913,2.2872026,2.19271326,0.92323482,1.00617051,nan,nan,nan,nan
wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,10,default,0.166035429,0.473635495,0.362798154,0.127975255,0.508497119,7.11928415,3.19920421,3.57221413,1.28486109,2.07288456,nan,nan,nan,nan
wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,4,default,0.164334849,0.46840629,0.361780316,0.130071446,0.503295064,7.40325117,3.19920421,3.73392391,1.26795065,2.02329135,nan,nan,nan,nan
wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,6,default,0.165198654,0.470261276,0.362301767,0.128909051,0.506178379,7.29707336,3.19920421,3.67007399,1.27505434,2.04419398,nan,nan,nan,nan
wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,8,default,0.165747896,0.472079962,0.36259681,0.128378496,0.507499397,7.20082951,3.19920421,3.6164,1.2805227,2.06021142,nan,nan,nan,nan
wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,10,default,0.323139071,1.07044721,0.310388386,0.149057537,0.526313782,8.50784206,3.47790003,4.25789022,1.65118039,3.35720634,nan,nan,nan,nan
wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,4,default,0.3214055,1.06802166,0.310103238,0.150806814,0.53095758,8.33314514,3.47790003,4.16786146,1.66243649,3.39923096,nan,nan,nan,nan
wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,6,default,0.321570486,1.06960464,0.310349226,0.149587661,0.527881801,8.40659046,3.47790003,4.20658875,1.65649772,3.37703681,nan,nan,nan,nan
wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,8,default,0.322317809,1.07056379,0.310395449,0.149160847,0.526724041,8.46919918,3.47790003,4.23855305,1.65288901,3.36357141,nan,nan,nan,nan
wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,10,default,0.0120853754,0.0272822622,0.218746573,0.182510942,0.695069194,2.34727383,2.23809814,1.1786077,0.431294292,0.242475897,nan,nan,nan,nan
wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,4,default,0.0120780794,0.0271916315,0.218579799,0.183285892,0.693522215,2.3210454,2.23809814,1.16623318,0.43154493,0.242766187,nan,nan,nan,nan
wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,6,default,0.0120779071,0.0271916129,0.218577638,0.183289424,0.693508387,2.3210454,2.23809814,1.16623318,0.43154493,0.242766187,nan,nan,nan,nan
wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,8,default,0.012078248,0.0272078589,0.218626469,0.183057815,0.693977892,2.32117844,2.23809814,1.16630065,0.431543469,0.242764741,nan,nan,nan,nan
wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,10,default,0.06031923,0.148673967,0.210760906,0.168111324,0.563912988,4.10686255,2.09085369,2.05710483,0.737798333,0.714519739,nan,nan,nan,nan
wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,4,default,0.0607114993,0.147603646,0.210599557,0.16843766,0.564570844,4.02323103,2.09085369,2.01995325,0.738354385,0.71526891,nan,nan,nan,nan
wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,6,default,0.0605475344,0.148283824,0.210722521,0.168169662,0.56404084,4.06678963,2.09085369,2.04006028,0.737914205,0.714600086,nan,nan,nan,nan
wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,8,default,0.060411267,0.148519099,0.210756049,0.168101192,0.563862443,4.09298563,2.09085369,2.05123901,0.737824321,0.714524865,nan,nan,nan,nan
wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,10,default,0.159343705,0.425493449,0.349543393,0.194704786,0.736773431,6.47293282,3.05197668,3.2247746,1.01509905,1.30274308,nan,nan,nan,nan
wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,4,default,0.159437716,0.422354996,0.349667281,0.194695085,0.736452758,7.05326653,3.05197668,3.50847197,1.01556802,1.29701984,nan,nan,nan,nan
wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,6,default,0.159523517,0.424028933,0.349634945,0.194806963,0.736511946,6.76931906,3.05197668,3.36905003,1.01564682,1.30050075,nan,nan,nan,nan
wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,8,default,0.159472197,0.424968779,0.349580973,0.194792286,0.73653692,6.59144592,3.05197668,3.28229189,1.01540065,1.30203128,nan,nan,nan,nan
wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,10,default,0.334240675,0.964393914,0.272447526,0.17831409,0.397756308,8.13864231,3.30400968,4.04135942,1.45211399,2.52529263,nan,nan,nan,nan
wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,4,default,0.336052418,0.971272528,0.272285074,0.180057466,0.397788078,8.39969635,3.30400968,4.14471626,1.45970464,2.54791808,nan,nan,nan,nan
wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,6,default,0.334533811,0.9678725,0.272382766,0.179129288,0.398211956,8.25336075,3.30400968,4.08462095,1.45559072,2.53575492,nan,nan,nan,nan
wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,8,default,0.334167004,0.965956509,0.272422731,0.178630814,0.39807272,8.18198586,3.30400968,4.05734062,1.45337319,2.52908063,nan,nan,nan,nan
