scenario,value,seed,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,wave_period_s,period_s,tau_applied_s,sigma_applied_mps2,accel_variance_m2ps4,seg_start_disp_z_rms_m,seg_blend_disp_z_rms_m,seg_recover_disp_z_rms_m,seg_end_disp_z_rms_m
transition,1,default,0.198237002,0.538361192,0.226738408,0.154134423,0.992335498,7.99265814,3.00023651,4.00484657,0.618131995,0.445574701,0.0668047592,0.246156871,0.232676163,0.221089989
transition,2,default,0.197328627,0.539613366,0.226967886,0.154021353,0.991701543,7.99265814,3.00023651,4.00484657,0.610672474,0.460442543,0.0665370971,0.243910447,0.231245622,0.220534101
transition,3,default,0.197061911,0.539895833,0.226955682,0.15415287,0.991998732,7.99265814,3.00023651,4.00484657,0.607231677,0.463560909,0.0663463995,0.242315695,0.2310877,0.220602691
transition,4,default,0.19686991,0.539613545,0.226897314,0.154291213,0.992401183,7.99265814,3.00023651,4.00484657,0.606698453,0.465981305,0.0662387535,0.240413263,0.23111704,0.220843047
transition,6,default,0.196294934,0.53886652,0.226796597,0.154680192,0.993681669,7.99265814,3.00023651,4.00484657,0.606713176,0.466003805,0.0661449134,0.236904681,0.231124386,0.220843852
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,1,default,0.0121285049,0.0283579901,0.226504132,0.182332829,0.629687607,2.58419013,1.62235105,1.29060102,0.393606961,0.196667731,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,2,default,0.012131758,0.0283027682,0.226761997,0.181096002,0.630102277,2.58419013,1.62235105,1.29060102,0.396405637,0.207842186,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,3,default,0.0121373059,0.0283056628,0.226868257,0.180754691,0.630246401,2.58419013,1.62235105,1.29060102,0.383847237,0.198225468,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,4,default,0.0121442443,0.0283266976,0.226917386,0.180636436,0.630241096,2.58419013,1.62235105,1.29060102,0.374232113,0.18998538,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,6,default,0.012157158,0.0283698812,0.226960316,0.180532113,0.630179644,2.58419013,1.62235105,1.29060102,0.363797277,0.180889428,nan,nan,nan,nan
wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,1,default,0.0629159808,0.164459452,0.186698765,0.129802316,0.878385484,4.36452913,2.2872026,2.19271326,1.02638662,1.16308212,nan,nan,nan,nan
wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,2,default,0.0628777444,0.164844006,0.186677173,0.131095886,0.881727219,4.36452913,2.2872026,2.19271326,0.92323482,1.00617051,nan,nan,nan,nan
wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,3,default,0.0629315227,0.165071547,0.186676577,0.131422952,0.882479906,4.36452913,2.2872026,2.19271326,0.867102504,0.905115545,nan,nan,nan,nan
wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,4,default,0.0629863814,0.165247411,0.186697528,0.131409571,0.882388592,4.36452913,2.2872026,2.19271326,0.837612033,0.851675689,nan,nan,nan,nan
wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,6,default,0.063034974,0.165468067,0.186737224,0.131226271,0.881875217,4.36452913,2.2872026,2.19271326,0.81105125,0.804080307,nan,nan,nan,nan
wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,1,default,0.165457726,0.470495224,0.364556491,0.122960597,0.51979214,7.20082951,3.19920421,3.6164,1.38838029,2.39010692,nan,nan,nan,nan
wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,2,default,0.165747896,0.472079962,0.36259681,0.128378496,0.507499397,7.20082951,3.19920421,3.6164,1.2805227,2.06021142,nan,nan,nan,nan
wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,3,default,0.165785253,0.472526014,0.361855745,0.130368054,0.503153145,7.20082951,3.19920421,3.6164,1.22961152,1.8995229,nan,nan,nan,nan
wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,4,default,0.165702432,0.472722322,0.361394018,0.131518215,0.500490725,7.20082951,3.19920421,3.6164,1.19891393,1.80323505,nan,nan,nan,nan
wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,6,default,0.16563347,0.473001838,0.361145109,0.132097706,0.499110609,7.20082951,3.19920421,3.6164,1.1933825,1.78675532,nan,nan,nan,nan
wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,1,default,0.324358135,1.06533957,0.310572624,0.147288531,0.521408141,8.46919918,3.47790003,4.23855305,1.78610837,3.81365991,nan,nan,nan,nan
wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,2,default,0.322317809,1.07056379,0.310395449,0.149160847,0.526724041,8.46919918,3.47790003,4.23855305,1.65288901,3.36357141,nan,nan,nan,nan
wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,3,default,0.321661651,1.07333589,0.310370415,0.149863228,0.529501259,8.46919918,3.47790003,4.23855305,1.56974041,3.05694509,nan,nan,nan,nan
wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,4,default,0.32129395,1.07391512,0.310410976,0.149978742,0.530263066,8.46919918,3.47790003,4.23855305,1.54015481,2.94725227,nan,nan,nan,nan
wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,6,default,0.321294367,1.07392168,0.310411066,0.149977833,0.530249476,8.46919918,3.47790003,4.23855305,1.54015481,2.94725227,nan,nan,nan,nan
wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,1,default,0.0120668449,0.0272697136,0.219241515,0.181348681,0.697571874,2.32117844,2.23809814,1.16630065,0.458751023,0.280734241,nan,nan,nan,nan
wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,2,default,0.012078248,0.0272078589,0.218626469,0.183057815,0.693977892,2.32117844,2.23809814,1.16630065,0.431543469,0.242764741,nan,nan,nan,nan
wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,3,default,0.0120786205,0.0271653552,0.218329981,0.18393445,0.69233948,2.32117844,2.23809814,1.16630065,0.427378803,0.234367594,nan,nan,nan,nan
wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,4,default,0.012075522,0.0271371212,0.218161076,0.184426963,0.691489279,2.32117844,2.23809814,1.16630065,0.426968157,0.231857374,nan,nan,nan,nan
wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,6,default,0.0120680397,0.0271067023,0.217985719,0.184969679,0.690609574,2.32117844,2.23809814,1.16630065,0.427930713,0.230814785,nan,nan,nan,nan
wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,1,default,0.0608628392,0.148607478,0.2107611,0.167300239,0.562117577,4.09298563,2.09085369,2.05123901,0.713440776,0.717616856,nan,nan,nan,nan
wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,2,default,0.060411267,0.148519099,0.210756049,0.168101192,0.563862443,4.09298563,2.09085369,2.05123901,0.737824321,0.714524865,nan,nan,nan,nan
wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,3,default,0.0602718517,0.14850308,0.210751221,0.168422341,0.564460278,4.09298563,2.09085369,2.05123901,0.766010761,0.750940025,nan,nan,nan,nan
wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,4,default,0.0602294467,0.148551583,0.210757315,0.168575615,0.564706266,4.09298563,2.09085369,2.05123901,0.788921952,0.787550569,nan,nan,nan,nan
wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,6,default,0.0602332279,0.148681417,0.210785359,0.168688402,0.564874113,4.09298563,2.09085369,2.05123901,0.819895089,0.842727602,nan,nan,nan,nan
wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,1,default,0.16079703,0.424585313,0.34988749,0.193078145,0.741170108,6.59144592,3.05197668,3.28229189,0.928036094,1.14719105,nan,nan,nan,nan
wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,2,default,0.159472197,0.424968779,0.349580973,0.194792286,0.73653692,6.59144592,3.05197668,3.28229189,1.01540065,1.30203128,nan,nan,nan,nan
wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,3,default,0.159104839,0.425820976,0.34961623,0.195100054,0.735239089,6.59144592,3.05197668,3.28229189,1.06310892,1.41375744,nan,nan,nan,nan
wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,4,default,0.159019291,0.426610559,0.349726021,0.194983497,0.735077798,6.59144592,3.05197668,3.28229189,1.09237349,1.48895872,nan,nan,nan,nan
wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,6,default,0.159029067,0.427095324,0.349853367,0.194686532,0.735490501,6.59144592,3.05197668,3.28229189,1.10906518,1.53364646,nan,nan,nan,nan
wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,1,default,0.337038428,0.964047253,0.272942603,0.175023302,0.394867927,8.18198586,3.30400968,4.05734062,1.39168453,2.27741075,nan,nan,nan,nan
wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,2,default,0.334167004,0.965956509,0.272422731,0.178630814,0.39807272,8.18198586,3.30400968,4.05734062,1.45337319,2.52908063,nan,nan,nan,nan
wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,3,default,0.333230823,0.968440235,0.272250265,0.179976165,0.399945766,8.18198586,3.30400968,4.05734062,1.46526694,2.59617662,nan,nan,nan,nan
wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,4,default,0.333042234,0.97001344,0.272182792,0.180489928,0.40090543,8.18198586,3.30400968,4.05734062,1.46565533,2.60841274,nan,nan,nan,nan
wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,6,default,0.333052367,0.96999675,0.272181571,0.180492371,0.40092653,8.18198586,3.30400968,4.05734062,1.46566308,2.60844016,nan,nan,nan,nan
