scenario,value,seed,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,wave_period_s,period_s,tau_applied_s,sigma_applied_mps2,accel_variance_m2ps4,seg_start_disp_z_rms_m,seg_blend_disp_z_rms_m,seg_recover_disp_z_rms_m,seg_end_disp_z_rms_m
transition,0,1,0.180834666,0.47562027,0.213963464,0.140639544,3.15778494,7.98037481,3.00984716,3.97510815,0.611560881,0.456552207,0.0765635371,0.230949625,0.188095331,0.203413665
transition,0,2,0.199387461,0.459723473,0.171786502,0.604635,3.48320389,7.98507547,3.05164194,3.97007346,0.611139297,0.460730642,0.0681814179,0.238735482,0.192702785,0.235883728
transition,0,3,0.180738777,0.511811018,0.482096046,0.210498065,2.51408005,7.9789896,2.8693521,3.97259831,0.608228922,0.457454085,0.0683885068,0.242652565,0.198422685,0.198134869
transition,0,4,0.189620018,0.492610097,0.204593912,0.257353336,4.90498066,7.98042202,2.96246934,3.97038722,0.611859262,0.45607537,0.068716757,0.248420924,0.254238784,0.195580199
transition,0,5,0.172851264,0.461242169,0.308754236,0.260243118,0.529575765,7.98756981,3.08476591,3.97314739,0.611030519,0.459962159,0.0758872554,0.227469355,0.166280925,0.195066854
transition,0.05,1,0.180021539,0.47816366,0.213953197,0.140602797,3.1581614,7.96611738,3.00984716,3.99212384,0.611535788,0.45658499,0.0766367018,0.228613541,0.187518314,0.202758238
transition,0.05,2,0.198796317,0.461255759,0.17174381,0.604515851,3.48301053,7.96395445,3.05164194,3.98558259,0.611099839,0.460727185,0.0682257861,0.236306295,0.191885427,0.23569642
transition,0.05,3,0.179943487,0.515088558,0.48219344,0.210309237,2.51365113,7.96292353,2.8693521,3.98916888,0.60822916,0.457475364,0.0683863312,0.240176529,0.19796139,0.197572961
transition,0.05,4,0.189210624,0.49520275,0.204675838,0.257629365,4.90565395,7.96135902,2.96246934,3.98639798,0.611839652,0.456088185,0.0686983019,0.246863753,0.255412161,0.194862366
transition,0.05,5,0.171732366,0.462905943,0.308746397,0.260137558,0.529621542,7.96793318,3.08476591,3.98904347,0.611005783,0.459980279,0.0759808645,0.224886432,0.164622173,0.194184914
transition,0.10,1,0.180030316,0.479210526,0.213928044,0.140487462,3.15863013,7.96956539,3.00984716,4.00061893,0.611815989,0.457034826,0.0767440125,0.228569061,0.187514946,0.202768773
transition,0.10,2,0.198930174,0.462129146,0.171751812,0.604446471,3.48284078,7.96287012,3.05164194,3.99353456,0.611375451,0.461162269,0.0683794841,0.236039609,0.191836849,0.23599641
transition,0.10,3,0.179737225,0.516206264,0.482186586,0.210181341,2.5132637,7.96516228,2.8693521,3.99749351,0.60852313,0.457914233,0.0685024187,0.239440888,0.197831765,0.197440863
transition,0.10,4,0.189214855,0.496122152,0.20475091,0.257863522,4.90634108,7.96195698,2.96246934,3.99451637,0.612114668,0.456510901,0.068780601,0.246455118,0.255801886,0.194851711
transition,0.10,5,0.171656147,0.463700205,0.308781803,0.259968281,0.529493332,7.96797132,3.08476591,3.99718189,0.611290216,0.460428625,0.0760423094,0.224630713,0.16433315,0.194180012
transition,0.15,1,0.180350751,0.479650587,0.213906109,0.140385687,3.15895438,7.9758153,3.00984716,4.00467205,0.612054646,0.457407564,0.0768159404,0.229659632,0.187693208,0.202960446
transition,0.15,2,0.199184462,0.462570369,0.171780989,0.604340911,3.48254538,7.96671963,3.05164194,3.99749327,0.611613452,0.461531162,0.0685146675,0.236753672,0.191902235,0.236217201
transition,0.15,3,0.179859713,0.516469061,0.482137531,0.210075453,2.51288295,7.97082901,2.8693521,4.00155878,0.608766377,0.458277881,0.0685869604,0.239832714,0.197701827,0.197564036
transition,0.15,4,0.189439163,0.496335506,0.204794154,0.258002162,4.90675068,7.96670437,2.96246934,3.99856424,0.61234659,0.456864536,0.0688760653,0.246799424,0.25588423,0.195145071
transition,0.15,5,0.172037393,0.464090407,0.308827549,0.259829611,0.529379189,7.97243881,3.08476591,4.00114202,0.611533284,0.460804105,0.0761358067,0.225688934,0.164484069,0.194490626
transition,0.50,1,0.182840452,0.481458068,0.213823438,0.139892712,3.16038656,8.00229073,3.00984716,4.00945187,0.612587035,0.458247095,0.0771519169,0.23969841,0.188252419,0.204197496
transition,0.50,2,0.201766193,0.464854419,0.171936095,0.603846431,3.48115158,7.99145603,3.05164194,4.00386,0.612150669,0.462373257,0.0692629293,0.24552004,0.19331409,0.237894669
transition,0.50,3,0.181845292,0.517014086,0.481766254,0.209490433,2.51077771,7.99750376,2.8693521,4.00721073,0.609315872,0.459101915,0.0689804256,0.247258544,0.197559044,0.198798507
transition,0.50,4,0.191507101,0.497272193,0.205046594,0.258761853,4.90882444,7.9935956,2.96246934,4.00544357,0.612869024,0.457668096,0.0692869872,0.253427744,0.25595665,0.196928248
transition,0.50,5,0.175049573,0.466316849,0.309066892,0.259234875,0.528604805,7.99729013,3.08476591,4.00669765,0.612077832,0.461654872,0.0765335709,0.235915124,0.165502042,0.196440548
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0,1,0.0115081333,0.0265262444,0.197785333,0.105903596,2.24175,2.64286733,1.61891067,1.31962121,0.39003396,0.20625107,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0,2,0.0130428821,0.0277005062,0.204106718,0.612206399,4.68417978,2.61065698,1.62367296,1.29323828,0.396233916,0.207960203,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0,3,0.0118922908,0.0284559485,0.430815935,0.222908586,4.70578432,2.55538797,1.63657033,1.27148581,0.399831235,0.207631215,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0,4,0.01165241,0.0271680746,0.213475645,0.242453605,4.49710751,2.57819152,1.62156677,1.27874911,0.395621389,0.207771972,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0,5,0.0118916593,0.0266212933,0.326344997,0.266865641,0.973676443,2.55550027,1.61935377,1.27172303,0.392656088,0.207892284,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.05,1,0.011510592,0.0265747048,0.197774425,0.10603524,2.2416296,2.64763904,1.61891067,1.32487297,0.390541196,0.206711665,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.05,2,0.0130667444,0.0277698021,0.204051539,0.612447917,4.68480778,2.60446239,1.62367296,1.29697835,0.397582233,0.209268585,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.05,3,0.011899489,0.0285246596,0.430850923,0.223016754,4.70610237,2.54993582,1.63657033,1.27351093,0.400798649,0.208578244,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.05,4,0.0116618089,0.0272286478,0.213445261,0.242359817,4.49687433,2.56885743,1.62156677,1.28042173,0.396933496,0.209057331,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.05,5,0.0118980585,0.0266812872,0.326321512,0.267013937,0.974024475,2.55175495,1.61935377,1.27463472,0.393645376,0.208857805,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.10,1,0.0115276286,0.0265830383,0.197777927,0.106062733,2.24153399,2.65097237,1.61891067,1.32625961,0.390379757,0.206515685,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.10,2,0.0130825257,0.0277795903,0.204032481,0.612556279,4.68507862,2.60018802,1.62367296,1.29875219,0.397781223,0.20943597,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.10,3,0.01191564,0.028534323,0.430844128,0.222973317,4.70600128,2.54829931,1.63657033,1.27456117,0.40082106,0.208585516,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.10,4,0.0116788689,0.0272364784,0.213454872,0.242421418,4.49702024,2.56412697,1.62156677,1.28141916,0.397105902,0.209202647,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.10,5,0.0119143026,0.0266905464,0.326320946,0.267009556,0.974022508,2.55058146,1.61935377,1.27588105,0.393690169,0.20887211,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.15,1,0.0115435496,0.0265826415,0.19776763,0.106024243,2.24159813,2.65186906,1.61891067,1.32523799,0.390234709,0.206362456,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.15,2,0.0130894501,0.0277760122,0.204021648,0.612627685,4.68525267,2.59818459,1.62367296,1.29904521,0.397610545,0.209252968,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.15,3,0.0119305151,0.0285321213,0.430830747,0.222918421,4.70585728,2.54791427,1.63657033,1.27428114,0.400648028,0.208401382,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.15,4,0.0116928434,0.0272364281,0.21346274,0.242474616,4.49713898,2.56268764,1.62156677,1.28164101,0.39692995,0.209014654,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.15,5,0.0119278468,0.0266886894,0.326318949,0.267005771,0.974008977,2.55027676,1.61935377,1.27562237,0.393511415,0.208680436,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.50,1,0.0115940152,0.026602393,0.197711095,0.105930507,2.2417624,2.63515806,1.61891067,1.31344807,0.390275538,0.206466168,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.50,2,0.0131151108,0.0277880821,0.203934819,0.6132074,4.6866312,2.58861256,1.62367296,1.29279733,0.396398723,0.208073094,nan,nan,nan,nan
