scenario,value,seed,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,wave_period_s,period_s,tau_applied_s,sigma_applied_mps2,accel_variance_m2ps4,seg_start_disp_z_rms_m,seg_blend_disp_z_rms_m,seg_recover_disp_z_rms_m,seg_end_disp_z_rms_m
transition,3,1,0.181820527,0.482310504,0.214009985,0.140212938,3.15892315,7.98872805,3.00984716,4.01433611,0.615658283,0.462590694,0.0769245327,0.219641671,0.190437719,0.208120301
transition,3,2,0.19887276,0.464789629,0.171943977,0.605401754,3.48476982,7.96657324,3.05164194,4.00235224,0.615159512,0.466651976,0.069067888,0.222687989,0.188683063,0.240177855
transition,3,3,0.17999123,0.525685787,0.482850701,0.210900158,2.51499915,7.97338724,2.8693521,4.00697231,0.612307608,0.463370055,0.0689267144,0.226780325,0.198032498,0.202012375
transition,3,4,0.19308576,0.501038849,0.204944447,0.257090092,4.90542698,7.96410275,2.96246934,4.00250912,0.615941703,0.461992264,0.0697524697,0.239263266,0.264328212,0.201967224
transition,3,5,0.173917502,0.465049744,0.308502257,0.260820389,0.530083776,7.97552824,3.08476591,4.00677252,0.615255952,0.466177016,0.0760986283,0.209972069,0.166000068,0.20258002
transition,4,1,0.180875197,0.481271386,0.21394448,0.140296936,3.15882707,7.94126081,3.00984716,3.98502588,0.615827262,0.462795585,0.076939106,0.22070232,0.189018369,0.206394136
transition,4,2,0.198909178,0.463163376,0.171847299,0.60526979,3.48463035,7.92298079,3.05164194,3.97529387,0.615358651,0.466933399,0.0690826401,0.224416211,0.189635351,0.239566624
transition,4,3,0.179402158,0.521963358,0.482668072,0.210685998,2.51455259,7.92954922,2.8693521,3.97945476,0.612454176,0.463616967,0.0689405352,0.228090882,0.197084188,0.200728819
transition,4,4,0.191969886,0.498223662,0.204926431,0.257279158,4.90560198,7.92191172,2.96246934,3.97582221,0.61609304,0.462207705,0.069759883,0.23941265,0.262539983,0.200306013
transition,4,5,0.17311655,0.4623411,0.308627933,0.260724127,0.529992461,7.93008471,3.08476591,3.97876835,0.615402639,0.466380745,0.0761037394,0.211932465,0.164524868,0.200862363
transition,5,1,0.180757195,0.48108983,0.213935897,0.1402895,3.15898418,7.93460846,3.00984716,3.97899914,0.61515826,0.461836636,0.077070646,0.223396257,0.188317254,0.205497444
transition,5,2,0.199314669,0.462747097,0.171801329,0.604951918,3.48394132,7.9191184,3.05164194,3.97082782,0.614703298,0.465994745,0.0691493005,0.227986589,0.190578654,0.239099324
transition,5,3,0.179544821,0.519750834,0.482485861,0.210360587,2.51373267,7.92557859,2.8693521,3.97471738,0.611795366,0.462678939,0.068941392,0.231212452,0.196907356,0.200028658
transition,5,4,0.191430584,0.497070879,0.204906359,0.257620543,4.90623713,7.91917515,2.96246934,3.97171164,0.615419209,0.461253792,0.069672063,0.241319492,0.260828286,0.19919765
transition,5,5,0.172982067,0.461951226,0.308719665,0.260401249,0.529775083,7.9254179,3.08476591,3.97389793,0.614702463,0.465376765,0.0761957094,0.215950161,0.164009288,0.19948411
transition,6,1,0.181193247,0.481267959,0.213878244,0.140014023,3.1598382,7.95036888,3.00984716,3.9853313,0.614253998,0.460564315,0.0771225467,0.227948502,0.188129157,0.204926118
transition,6,2,0.199972272,0.463166386,0.171857625,0.604382336,3.48251152,7.93685055,3.05164194,3.97825909,0.613806725,0.464717448,0.069212608,0.23315832,0.191482291,0.238632977
transition,6,3,0.180140302,0.518454552,0.482211083,0.209863603,2.5121274,7.94324684,2.8693521,3.98196578,0.610919178,0.461418033,0.068948485,0.235993892,0.197066888,0.199533477
transition,6,4,0.191301957,0.496848047,0.204990596,0.258201629,4.90766811,7.93786478,2.96246934,3.97947407,0.614517093,0.45998165,0.0695277825,0.245052829,0.259158254,0.198279858
transition,6,5,0.173389778,0.462968677,0.308866471,0.259791225,0.529160738,7.94300652,3.08476591,3.98125911,0.61377418,0.464055598,0.0763379857,0.221999735,0.164103016,0.19829081
transition,8,1,0.182840452,0.481458068,0.213823438,0.139892712,3.16038656,8.00229073,3.00984716,4.00945187,0.612587035,0.458247095,0.0771519169,0.23969841,0.188252419,0.204197496
transition,8,2,0.201766193,0.464854419,0.171936095,0.603846431,3.48115158,7.99145603,3.05164194,4.00386,0.612150669,0.462373257,0.0692629293,0.24552004,0.19331409,0.237894669
transition,8,3,0.181845292,0.517014086,0.481766254,0.209490433,2.51077771,7.99750376,2.8693521,4.00721073,0.609315872,0.459101915,0.0689804256,0.247258544,0.197559044,0.198798507
transition,8,4,0.191507101,0.497272193,0.205046594,0.258761853,4.90882444,7.9935956,2.96246934,4.00544357,0.612869024,0.457668096,0.0692869872,0.253427744,0.25595665,0.196928248
transition,8,5,0.175049573,0.466316849,0.309066892,0.259234875,0.528604805,7.99729013,3.08476591,4.00669765,0.612077832,0.461654872,0.0765335709,0.235915124,0.165502042,0.196440548
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,3,1,0.011596892,0.0265738703,0.197706342,0.105930775,2.24177718,2.62933326,1.61891067,1.31042182,0.390259564,0.206474051,nan,nan,nan,nan
wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,3,2,0.0130999768,0.0277391709,0.203867659,0.61367774,4.68773127,2.58174896,1.62367296,1.28932512,0.396470606,0.208160326,nan,nan,nan,nan
