scenario,value,seed,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,wave_period_s,period_s,tau_applied_s,sigma_applied_mps2,accel_variance_m2ps4,seg_start_disp_z_rms_m,seg_blend_disp_z_rms_m,seg_recover_disp_z_rms_m,seg_end_disp_z_rms_m
transition,2,1,0.182840452,0.481458068,0.213823438,0.139892712,3.16038656,8.00229073,3.00984716,4.00945187,0.612587035,0.458247095,0.0771519169,0.23969841,0.188252419,0.204197496
transition,2,2,0.201766193,0.464854419,0.171936095,0.603846431,3.48115158,7.99145603,3.05164194,4.00386,0.612150669,0.462373257,0.0692629293,0.24552004,0.19331409,0.237894669
transition,2,3,0.181845292,0.517014086,0.481766254,0.209490433,2.51077771,7.99750376,2.8693521,4.00721073,0.609315872,0.459101915,0.0689804256,0.247258544,0.197559044,0.198798507
transition,2,4,0.191507101,0.497272193,0.205046594,0.258761853,4.90882444,7.9935956,2.96246934,4.00544357,0.612869024,0.457668096,0.0692869872,0.253427744,0.25595665,0.196928248
transition,2,5,0.175049573,0.466316849,0.309066892,0.259234875,0.528604805,7.99729013,3.08476591,4.00669765,0.612077832,0.461654872,0.0765335709,0.235915124,0.165502042,0.196440548
transition,2.5,1,0.182644695,0.480991453,0.213833719,0.139896095,3.16027236,8.00229073,3.00984716,4.00945187,0.610622287,0.46032849,0.0770993978,0.239261493,0.187908337,0.204061791
transition,2.5,2,0.201730475,0.464718789,0.171886414,0.604080617,3.48174882,7.99145603,3.05164194,4.00386,0.610117018,0.464339584,0.0693056285,0.244931698,0.193124458,0.238039464
transition,2.5,3,0.181664318,0.516867578,0.481773823,0.209558949,2.51098204,7.99750376,2.8693521,4.00721073,0.607330918,0.461186498,0.0689766109,0.246289968,0.197404608,0.198835656
transition,2.5,4,0.191307113,0.496715873,0.204955757,0.258519322,4.9082551,7.9935956,2.96246934,4.00544357,0.610804498,0.459623694,0.0693691969,0.252637029,0.256008059,0.196762696
transition,2.5,5,0.1747659,0.466138482,0.30904144,0.259322166,0.528591216,7.99729013,3.08476591,4.00669765,0.609919071,0.463411003,0.0765301138,0.235147938,0.165415049,0.196182191
transition,3,1,0.182465941,0.48050344,0.213839233,0.139851555,3.16028476,8.00229073,3.00984716,4.00945187,0.609380782,0.461754441,0.0770516172,0.238671184,0.187740773,0.20397228
transition,3,2,0.201708913,0.464607477,0.171846941,0.604227006,3.48208952,7.99145603,3.05164194,4.00386,0.608798623,0.465644419,0.069346033,0.244256273,0.193098038,0.238198876
transition,3,3,0.181510016,0.516627312,0.481782973,0.20956713,2.51106048,7.99750376,2.8693521,4.00721073,0.606069386,0.462605208,0.0689730123,0.245352134,0.197333336,0.198885337
transition,3,4,0.191150755,0.496186823,0.204882398,0.258356512,4.90781498,7.9935956,2.96246934,4.00544357,0.609499395,0.460967481,0.0694158152,0.251840353,0.256045669,0.196709722
transition,3,5,0.174569622,0.465935618,0.309030861,0.259363204,0.528706849,7.99729013,3.08476591,4.00669765,0.608518839,0.464573354,0.0765327588,0.234299973,0.165483072,0.196079478
transition,3.5,1,0.182301372,0.480046779,0.21384199,0.139786258,3.16033101,8.00229073,3.00984716,4.00945187,0.608430803,0.462650567,0.077013053,0.237958953,0.187695861,0.203924701
transition,3.5,2,0.201674268,0.46446082,0.17181614,0.604308069,3.48226047,7.99145603,3.05164194,4.00386,0.607773483,0.466423452,0.069382064,0.243492022,0.193175107,0.238337159
