scenario,candidate,moment_horizon_periods,log_smoothing_periods,sigma_var_k_periods,seed,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,wave_period_s,period_s,tau_applied_s,sigma_applied_mps2,accel_variance_m2ps4,seg_start_disp_z_rms_m,seg_blend_disp_z_rms_m,seg_recover_disp_z_rms_m,seg_end_disp_z_rms_m
transition,baseline,8,0.50,2,1,0.182840452,0.481458068,0.213823438,0.139892712,3.16038656,8.00229073,3.00984716,4.00945187,0.612587035,0.458247095,0.0771519169,0.23969841,0.188252419,0.204197496
transition,baseline,8,0.50,2,2,0.201766193,0.464854419,0.171936095,0.603846431,3.48115158,7.99145603,3.05164194,4.00386,0.612150669,0.462373257,0.0692629293,0.24552004,0.19331409,0.237894669
transition,baseline,8,0.50,2,3,0.181845292,0.517014086,0.481766254,0.209490433,2.51077771,7.99750376,2.8693521,4.00721073,0.609315872,0.459101915,0.0689804256,0.247258544,0.197559044,0.198798507
transition,baseline,8,0.50,2,4,0.191507101,0.497272193,0.205046594,0.258761853,4.90882444,7.9935956,2.96246934,4.00544357,0.612869024,0.457668096,0.0692869872,0.253427744,0.25595665,0.196928248
transition,baseline,8,0.50,2,5,0.175049573,0.466316849,0.309066892,0.259234875,0.528604805,7.99729013,3.08476591,4.00669765,0.612077832,0.461654872,0.0765335709,0.235915124,0.165502042,0.196440548
transition,baseline,8,0.50,2,6,0.20223625,0.456603497,0.594498038,0.274119467,3.20044446,8.0,2.97952223,4.00850058,0.61184895,0.457494855,0.0740127191,0.247066751,0.238308981,0.225488693
transition,baseline,8,0.50,2,7,0.21460101,0.503504753,0.0724873021,0.139668092,1.51401949,7.9999218,2.78755307,4.00854635,0.593075633,0.459092498,0.0710284859,0.243396103,0.192156166,0.261399359
transition,baseline,8,0.50,2,8,0.19007431,0.47170189,0.215518832,0.237880632,1.3963846,8.00201035,2.77370429,4.00946331,0.59268868,0.457931668,0.0682459846,0.232615307,0.19977811,0.218846872
transition,baseline,8,0.50,2,9,0.182379335,0.488259405,0.398942709,0.409817666,5.78169966,7.99975586,2.82543826,4.00847387,0.592628956,0.458521128,0.0729290247,0.227329776,0.231346309,0.195399359
transition,baseline,8,0.50,2,10,0.19127591,0.509145856,0.492743582,0.25208205,1.42057478,7.99572277,2.84487963,4.00582743,0.593615651,0.460772574,0.0710940361,0.236724034,0.221969023,0.213134527
transition,joint_log_005,4,0.05,4,1,0.177667215,0.477884173,0.214097902,0.141291648,3.15600204,7.891119,3.00984716,3.95600653,0.611891866,0.468751699,0.0758899301,0.210784674,0.187984526,0.203858018
transition,joint_log_005,4,0.05,4,2,0.196254537,0.460285157,0.171505317,0.607022166,3.48924541,7.89245892,3.05164194,3.94488668,0.611173153,0.47258687,0.0675658211,0.216593161,0.187042177,0.237754032
transition,joint_log_005,4,0.05,4,3,0.177253708,0.521407962,0.483285904,0.211940378,2.51908183,7.88437176,2.8693521,3.94884396,0.60836482,0.469637007,0.0679905191,0.216648549,0.196809411,0.20051752
transition,joint_log_005,4,0.05,4,4,0.188949525,0.496282607,0.204275772,0.255285323,4.90018702,7.88202047,2.96246934,3.94370079,0.61194855,0.46802941,0.0689935088,0.231185853,0.261264443,0.19752039
transition,joint_log_005,4,0.05,4,5,0.168800279,0.46041739,0.308223069,0.262047827,0.531662643,7.89581442,3.08476591,3.94938326,0.610888422,0.471463352,0.0751488954,0.200578794,0.163689896,0.196676299
transition,joint_log_005,4,0.05,4,6,0.1969188,0.453922123,0.595625103,0.270985603,3.20692825,7.88295794,2.97952223,3.95046496,0.611075461,0.467878222,0.0730652288,0.220029309,0.233899057,0.224899918
transition,joint_log_005,4,0.05,4,7,0.212827548,0.495478809,0.0721811727,0.140925512,1.50855136,7.89207125,2.78755307,3.95001364,0.59154588,0.469329029,0.0697327033,0.221476436,0.194748878,0.263503224
transition,joint_log_005,4,0.05,4,8,0.187268749,0.463953674,0.214748442,0.23991546,1.39137399,7.88726902,2.77370429,3.95236659,0.591376483,0.468540877,0.0675217211,0.200268269,0.203281909,0.2219868
transition,joint_log_005,4,0.05,4,9,0.175373122,0.486738443,0.398029149,0.407655299,5.77603006,7.88951826,2.82543826,3.94821,0.590749919,0.468180627,0.072686635,0.194096088,0.226088181,0.193696409
transition,joint_log_005,4,0.05,4,10,0.185457423,0.500318766,0.491892904,0.253586322,1.42767406,7.89549255,2.84487963,3.94747758,0.591832995,0.47062692,0.0699815452,0.203499362,0.224838749,0.211257786
transition,joint_log_010,4,0.10,4,1,0.177568227,0.479478061,0.21407558,0.14115335,3.15641284,7.89193583,3.00984716,3.9721992,0.611850977,0.468673408,0.0759893283,0.210350096,0.188111722,0.203745857
