family,tuning_mode,aw_cov_sync,input,window_s,samples,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,disp_x_pct_hs,disp_y_pct_hs,disp_z_pct_hs,disp_3d_pct_refmax,disp_z_ref_rms_m,disp_z_pct_refrms,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,dir_travel_error_deg,dir_travel_rmse_deg,dir_travel_correct_pct,dir_travel_wrong_pct,dir_travel_unresolved_pct,dir_axis_mean_deg,dir_axis_truth_deg,dir_axis_error_deg,dir_axis_rmse_deg,dir_axis_circ_std_deg,dir_sense_forward_pct,dir_sense_reverse_pct,dir_sense_uncertain_pct,dir_sense_dominant_pct,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2,tuning_applied,wave_period_s,frequency_hz,period_s,accel_variance_m2ps4,dir_axis_abs_error_deg,dir_travel_abs_error_deg,seed,arm,spectrum,hs_m,regression_exit_code
OU-II,adaptive,periodic,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.00870370492,0.00776013872,0.0188369974,0.022154158,3.22359443,2.87412548,6.9766655,11.0723343,0.0534430593,35.2468567,0.311402857,0.15393728,1.38333046,169.233017,163.3013,1.25,16.5738888,82.1761093,6.74954224,30.0,-23.2504578,25.0546284,9.83138466,16.5738888,1.25,82.1761093,16.5738888,0.0583150871,0.0001233191,1.53025579,0.0500000007,0.117084146,3.05647588,0.235941797,3.10486245,0.0307989549,23.2504578,169.233017,default,deployed,JONSWAP,0.27,1
OU-II,adaptive,periodic,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0905649215,0.0723741129,0.0992944986,0.15264146,6.03766108,4.82494068,6.6196332,11.5175972,0.390963972,25.3973522,0.262113422,0.181816041,1.08012462,-166.44696,164.099503,0.5088889,91.7394485,7.75166702,-15.6884613,-30.0,14.3115387,21.3365498,14.8123331,0.5088889,91.7394485,7.75166702,91.7394485,0.0540144332,0.000128308355,2.50650096,0.371697068,2.33520436,4.98906136,0.310105383,4.34818649,0.257832944,14.3115387,166.44696,default,deployed,JONSWAP,1.5,1
OU-II,adaptive,periodic,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.293125749,0.229984611,0.254453629,0.451178759,7.3281436,5.74961519,6.36134052,10.9372377,1.04307246,24.3946247,0.211641103,0.156651542,0.411600143,171.773041,168.004929,0.0500000007,95.2866669,4.66333342,21.4483643,30.0,-8.55163574,15.7891617,13.064847,0.0500000007,95.2866669,4.66333342,95.2866669,0.043533694,0.000143209792,3.9375577,0.793858051,12.3082619,7.83341837,0.200000003,5.0,0.859677911,8.55163574,171.773041,default,deployed,JONSWAP,4.0,0
OU-II,adaptive,periodic,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.683053792,0.534409583,0.522489727,1.01249766,8.03592682,6.28717136,6.14693785,13.3295994,2.15460348,24.2499256,0.513101041,0.238616079,1.1448431,-170.759872,163.921799,0.772222221,91.5444489,7.6833334,-20.4163208,-30.0,9.5836792,21.641428,18.8872395,91.5444489,0.772222221,7.6833334,91.5444489,0.0947085246,0.000142509743,4.4956646,1.04195726,21.0589981,9.12593937,0.200000003,5.0,1.49710143,9.5836792,170.759872,default,deployed,JONSWAP,8.5,1
OU-II,adaptive,periodic,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.00840328727,0.00736980932,0.0172152221,0.0205254275,3.11232853,2.72955894,6.37600803,10.6083002,0.0499124601,34.4908295,0.301977485,0.135942385,1.40457046,169.843735,160.231369,1.4822222,11.8111115,86.706665,5.78042603,30.0,-24.219574,25.8252068,9.56451893,11.8111115,1.4822222,86.706665,11.8111115,0.0555794872,0.000114200338,1.51966047,0.0804252103,0.185731396,3.02446294,0.409234107,2.78987837,0.0310976487,24.219574,169.843735,default,deployed,PM-Stokes,0.27,1
OU-II,adaptive,periodic,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0863498896,0.0693273023,0.0965559408,0.146920487,5.75665903,4.62181997,6.43706226,10.9812632,0.385561794,25.0429211,0.262180895,0.178852543,0.935005844,-166.572083,164.045242,0.0833333358,91.4544449,8.4622221,-15.4780273,-30.0,14.5219727,21.9023247,15.6992264,0.0833333358,91.4544449,8.4622221,91.4544449,0.0536407344,0.000130055603,2.326056,0.412268132,2.23059177,4.63564825,0.261256695,4.0886488,0.298793554,14.5219727,166.572083,default,deployed,PM-Stokes,1.5,0
OU-II,adaptive,periodic,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.281020045,0.225961924,0.248730063,0.438061297,7.02550125,5.64904785,6.21825171,10.8272629,1.04037023,23.9078426,0.192496717,0.14109689,0.298891276,169.561874,166.950439,0.179444447,95.0727768,4.74777794,19.1334991,30.0,-10.8665009,16.6737499,12.5623035,0.179444447,95.0727768,4.74777794,95.0727768,0.0387730785,0.000138028699,3.67561054,0.857780755,11.5887146,7.32536983,0.200000003,5.0,0.999155521,10.8665009,169.561874,default,deployed,PM-Stokes,4.0,0
OU-II,adaptive,periodic,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.664496839,0.50865078,0.516709626,0.98349911,7.81760979,5.98412657,6.07893658,13.0542355,2.16781425,23.8355122,0.586956322,0.258184403,1.02446759,-168.467285,163.343765,1.23777783,90.336113,8.42611122,-18.356369,-30.0,11.643631,23.1019306,18.8638287,90.336113,1.23777783,8.42611122,90.336113,0.10737101,0.00014651689,4.32140875,1.24531209,23.2556725,8.77819252,0.200000003,5.0,2.10747409,11.643631,168.467285,default,deployed,PM-Stokes,8.5,1
OU-II,adaptive,periodic,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.0087493211,0.00779401883,0.0188386943,0.0221854392,3.24048924,2.88667369,6.97729397,11.0879688,0.0534430593,35.2500305,0.303619564,0.150803342,1.56214178,168.511948,162.167648,1.3188889,16.2372227,82.4438934,6.43318176,30.0,-23.5668182,25.2182674,9.45730114,16.2372227,1.3188889,82.4438934,16.2372227,0.0568809547,0.000112596055,1.53025579,0.0500000007,0.117084146,3.05647588,0.235941797,3.10486245,0.0307989549,23.5668182,168.511948,default,hard-iron-off,JONSWAP,0.27,1
OU-II,adaptive,periodic,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0896070451,0.0723262951,0.0992657468,0.152033567,5.97380257,4.82175303,6.61771631,11.4717283,0.390963972,25.3899994,0.25968188,0.176001176,2.13638878,-166.439102,164.11235,0.523333371,91.5905609,7.88611126,-15.6580353,-30.0,14.3419647,21.3333206,14.7803183,0.523333371,91.5905609,7.88611126,91.5905609,0.0530271158,0.000119063763,2.50650096,0.371697068,2.33520436,4.98906136,0.310105383,4.34818649,0.257832944,14.3419647,166.439102,default,hard-iron-off,JONSWAP,1.5,1
