family,tuning_mode,aw_cov_sync,input,window_s,samples,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,disp_x_pct_hs,disp_y_pct_hs,disp_z_pct_hs,disp_3d_pct_refmax,disp_z_ref_rms_m,disp_z_pct_refrms,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_x_rms_mps2,accel_y_rms_mps2,accel_z_rms_mps2,accel_3d_rms_mps2,dir_travel_error_deg,dir_travel_rmse_deg,dir_travel_correct_pct,dir_travel_wrong_pct,dir_travel_unresolved_pct,dir_axis_mean_deg,dir_axis_truth_deg,dir_axis_error_deg,dir_axis_rmse_deg,dir_axis_circ_std_deg,dir_axis_available_pct,dir_sense_forward_pct,dir_sense_reverse_pct,dir_sense_uncertain_pct,dir_sense_dominant_pct,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2,tuning_applied,wave_period_s,frequency_hz,period_s,accel_variance_m2ps4,dir_axis_abs_error_deg,dir_travel_abs_error_deg,seed,arm,spectrum,hs_m,regression_exit_code
OU-II,adaptive,periodic,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.00723028183,0.00528594665,0.0175266173,0.0196824931,2.67788219,1.95775795,6.49133968,9.83703136,0.0534430593,32.7949371,0.340826482,0.0999983624,0.613135099,0.00689641992,0.00673545012,0.00959282368,0.0135996016,0.171675891,3.89013958,0.412222236,0.0,99.5877838,29.9102478,30.0,-0.0897521973,4.63994837,4.64278698,1.07611108,0.412222236,0.0,99.5877838,0.412222236,0.060370706,0.000102457241,1.53025579,0.0500000007,0.117084146,3.05647588,0.235941797,3.10486245,0.0307989549,0.0897521973,0.171675891,default,deployed,JONSWAP,0.27,0
OU-II,adaptive,periodic,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0803748369,0.0505874604,0.0995364785,0.137574404,5.35832214,3.37249732,6.63576508,10.3807087,0.390963972,25.4592457,0.209951982,0.190961912,0.681470871,0.0143097779,0.0141193429,0.0121052526,0.0234662034,3.02949286,20.9862366,88.7138901,0.202777788,11.083334,-27.2698517,-30.0,2.73014832,23.0749092,21.2009373,94.8433304,71.2027817,17.7138901,11.083334,71.2027817,0.0481278785,0.000108829583,2.50650096,0.371697068,2.33520436,4.98906136,0.310105383,4.34818649,0.257832944,2.73014832,3.02949286,default,deployed,JONSWAP,1.5,0
OU-II,adaptive,periodic,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.278107375,0.176363021,0.255068511,0.416542411,6.9526844,4.40907574,6.3767128,10.0976019,1.04307246,24.4535751,0.195219234,0.175705776,0.653486729,0.0166630112,0.0175957922,0.0131531013,0.0275730286,-0.934681475,16.6776447,95.3111115,0.0233333334,4.66555548,29.0636749,30.0,-0.936325073,17.1933575,16.3857918,98.1294479,8.15444469,87.1800003,4.66555548,87.1800003,0.0438769609,0.000124070531,3.9375577,0.793858051,12.3082619,7.83341837,0.200000003,5.0,0.859677911,0.936325073,0.934681475,default,deployed,JONSWAP,4.0,0
OU-II,adaptive,periodic,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.646640837,0.451569617,0.521816432,0.945701778,7.60753918,5.31258345,6.13901663,12.4502268,2.15460348,24.2186756,0.422424853,0.24862355,0.632059216,0.0198607873,0.0189718865,0.0159142204,0.0317434333,3.04887915,25.2152119,95.5250015,0.662777781,3.81222224,-26.438797,-30.0,3.561203,23.881422,22.5423336,98.5972214,27.6355572,68.5522232,3.81222224,68.5522232,0.0817778334,0.000126101513,4.4956646,1.04195726,21.0589981,9.12593937,0.200000003,5.0,1.49710143,3.561203,3.04887915,default,deployed,JONSWAP,8.5,1
OU-II,adaptive,periodic,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.00705138687,0.00512845302,0.0164732262,0.0186384078,2.61162472,1.89942706,6.10119486,9.63301849,0.0499124601,33.0042381,0.332180202,0.092065528,0.649931669,0.00668445369,0.00660405448,0.0096215643,0.0134487906,-2.26085711,2.57964587,0.106111117,0.0,99.8938904,30.4903259,30.0,0.490325928,4.71901703,4.7000761,0.681666672,0.106111117,0.0,99.8938904,0.106111117,0.0585981905,9.87909225e-05,1.51966047,0.0804252103,0.185731396,3.02446294,0.409234107,2.78987837,0.0310976487,0.490325928,2.26085711,default,deployed,PM-Stokes,0.27,0
OU-II,adaptive,periodic,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0766009614,0.0490765944,0.0967993736,0.132839516,5.10673046,3.27177286,6.45329142,9.92881107,0.385561794,25.10606,0.208546549,0.187290326,0.503658533,0.0146120181,0.0144433891,0.0126688071,0.0241375491,3.56032228,20.3041477,85.8966675,0.280000001,13.8233337,-28.0200348,-30.0,1.97996521,22.449707,20.765377,94.1916656,86.1766663,0.0,13.8233337,86.1766663,0.0474253111,0.000110945519,2.326056,0.412268132,2.23059177,4.63564825,0.261256695,4.0886488,0.298793554,1.97996521,3.56032228,default,deployed,PM-Stokes,1.5,0
OU-II,adaptive,periodic,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.265889406,0.1738199,0.249204084,0.403748959,6.64723492,4.34549761,6.23010206,9.97918797,1.04037023,23.9534035,0.175942719,0.16223982,0.498390943,0.0167347509,0.0178931225,0.0137014063,0.0280703437,-1.4636364,14.8683186,94.6666718,0.0333333351,5.30000019,28.2597809,30.0,-1.74021912,14.8120413,14.5328474,98.2099991,0.0333333351,94.6666718,5.30000019,94.6666718,0.0396280177,0.000120282624,3.67561054,0.857780755,11.5887146,7.32536983,0.200000003,5.0,0.999155521,1.74021912,1.4636364,default,deployed,PM-Stokes,4.0,0
OU-II,adaptive,periodic,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.6340487,0.432334691,0.515755653,0.924626887,7.45939636,5.08629036,6.06771326,12.272809,2.16781425,23.7915058,0.483353734,0.265708506,0.508700252,0.0201678425,0.0203239135,0.0185741354,0.0341291949,1.92031372,24.3873692,96.0844498,0.485555559,3.43000007,-27.289505,-30.0,2.710495,22.9689369,21.6567612,98.4894409,95.7711105,0.798888922,3.43000007,95.7711105,0.0920165926,0.000129494714,4.32140875,1.24531209,23.2556725,8.77819252,0.200000003,5.0,2.10747409,2.710495,1.92031372,default,deployed,PM-Stokes,8.5,1
OU-II,adaptive,periodic,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.00722019747,0.00532114971,0.0175313689,0.0196925048,2.67414713,1.97079611,6.49309921,9.84203529,0.0534430593,32.8038254,0.329218417,0.0964856818,1.73766565,0.00692731654,0.00665755896,0.00957654044,0.0135654323,0.214356512,3.92298341,0.412777781,0.0,99.5872269,29.9429169,30.0,-0.0570831299,4.65891886,4.66244173,1.07833338,0.412777781,0.0,99.5872269,0.412777781,0.0582982227,9.23931584e-05,1.53025579,0.0500000007,0.117084146,3.05647588,0.235941797,3.10486245,0.0307989549,0.0570831299,0.214356512,default,hard-iron-off,JONSWAP,0.27,1
OU-II,adaptive,periodic,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.07999558,0.0500124209,0.0995203853,0.137130752,5.33303833,3.33416128,6.63469219,10.3472328,0.390963972,25.4551296,0.209177151,0.18698439,2.18337798,0.0149025964,0.0161226839,0.012099525,0.0250684433,3.02585816,20.9843273,88.7216721,0.202222228,11.0761118,-27.2674408,-30.0,2.7325592,23.073431,21.1995125,94.8377762,71.2044449,17.7194443,11.0761118,71.2044449,0.0475438759,9.68670429e-05,2.50650096,0.371697068,2.33520436,4.98906136,0.310105383,4.34818649,0.257832944,2.7325592,3.02585816,default,hard-iron-off,JONSWAP,1.5,1
