family,arm,engine,seed,record,live_s,seed_mps2,true_bz_at_live_mps2,x_startup_rms_m,x_gated_rms_m,x_ref_gated_rms_m,y_startup_rms_m,y_gated_rms_m,y_ref_gated_rms_m,z_startup_rms_m,z_gated_rms_m,z_ref_gated_rms_m,z_peak_300_m,z_ref_startup_rms_m,roll_startup_rms_deg,roll_gated_rms_deg,pitch_startup_rms_deg,pitch_gated_rms_deg,yaw_startup_rms_deg,yaw_gated_rms_deg
OU-II,deployed,off,default,gerstner_H0.270,31.8377,nan,0.0482045,0.0200478,0.0155107,0.0159078,0.0143458,0.00970563,0,1.73509,0.0215092,0.078711,2.83387,0.0788203,0.0412883,0.164728,0.149055,0.144679,2.79679,2.05073
OU-II,deployed,off,default,gerstner_H1.500,31.8377,nan,0.0482045,0.16224,0.127029,0.301023,0.0657533,0.0698551,0,6.54023,0.134427,0.566316,10.9867,0.567006,0.0558768,0.167078,0.221499,0.173731,2.81078,2.15887
OU-II,deployed,off,default,gerstner_H4.000,32.8928,nan,0.0480436,0.642688,0.440159,1.07262,0.17621,0.165011,0,15.1872,0.347603,1.46764,28.9541,1.4709,0.0776572,0.179772,0.435263,0.124299,2.83166,2.01511
OU-II,deployed,off,default,gerstner_H8.500,36.0235,nan,0.0491264,1.99133,1.08813,2.55542,0.356915,0.32253,0,22.7932,0.722295,3.06514,44.0423,3.08196,0.0967229,0.186437,1.06859,0.191139,3.25421,2.14745
OU-II,deployed,off,default,cnoidal_H0.270,33.1829,nan,0.0480103,0.0310815,0.0309089,0.030964,0.0002651,0.00011026,0,0.132663,0.0501258,0.0522243,0.250722,0.052182,0.0347295,0.149622,0.17557,1.1822,2.8174,4.5789
OU-II,deployed,off,default,cnoidal_H1.500,35.8735,nan,0.0492018,0.234289,0.234322,0.230151,0.000600438,0.00115722,0,0.293928,0.271358,0.272238,0.552065,0.271661,0.0347052,0.154962,0.260103,2.02496,2.81114,6.71576
OU-II,deployed,off,default,cnoidal_H4.000,39.6393,nan,0.0497179,0.682635,0.682593,0.659043,0.00172873,0.00373195,0,0.771382,0.744813,0.713867,1.40239,0.710129,0.0347463,0.157992,0.527345,1.98377,3.56826,6.16706
OU-II,deployed,off,default,cnoidal_H8.500,36.5686,nan,0.0490855,1.44817,1.46642,1.41758,0.00209707,0.00294487,0,1.61137,1.61559,1.47381,2.80559,1.49164,0.0327208,0.179147,0.524419,0.918366,3.14581,2.91712
OU-II,deployed,off,default,fenton_H0.270,31.8377,nan,0.0482048,0.0190777,0.0154339,0.0158745,0.0133143,0.00963755,0,1.597,0.0214785,0.078717,2.66095,0.0787619,0.0391169,0.164919,0.146713,0.139163,2.81695,2.02692
OU-II,deployed,off,default,fenton_H1.500,31.8377,nan,0.0482048,0.160284,0.12603,0.299977,0.065083,0.0695075,0,6.53264,0.133549,0.566739,10.8793,0.566402,0.0574435,0.168687,0.187943,0.155625,2.77435,2.11218
OU-II,deployed,off,default,fenton_H4.000,32.5027,nan,0.048022,0.64193,0.435135,1.06918,0.163874,0.167854,0,14.9316,0.346064,1.46837,28.3381,1.471,0.0744288,0.176814,0.528588,0.206447,2.92473,2.21779
OU-II,deployed,off,default,fenton_H8.500,35.1533,nan,0.0490263,1.99123,1.08051,2.5493,0.306023,0.319873,0,21.3564,0.714113,3.06624,43.2664,3.08274,0.103311,0.192495,0.916725,0.149523,3.10055,2.06697
OU-II,deployed,off,default,jonswap_H0.270,31.8377,nan,0.0482045,0.0162841,0.00884713,0.00935647,0.0117171,0.00702703,0.00416604,1.68971,0.0162498,0.0534438,2.99396,0.0544531,0.0376127,0.225206,0.148792,0.146353,2.75082,0.510495
OU-II,deployed,off,default,jonswap_H1.500,31.8377,nan,0.0482045,0.089046,0.083732,0.164757,0.0523478,0.0598686,0.0717971,4.72065,0.0994352,0.390972,8.30617,0.352913,0.0598735,0.148317,0.161118,0.167814,2.88177,0.61942
OU-II,deployed,off,default,jonswap_H4.000,31.8377,nan,0.0482045,0.279159,0.269538,0.588407,0.19187,0.179963,0.311768,10.3312,0.253988,1.04309,18.0937,0.831127,0.0747349,0.157345,0.202688,0.185707,2.67989,0.697226
OU-II,deployed,off,default,jonswap_H8.500,31.8377,nan,0.0482045,0.733759,0.626421,1.3709,0.444398,0.443859,0.834738,22.3625,0.514007,2.15464,43.9217,1.74296,0.159322,0.215153,0.38686,0.206708,3.397,0.605529
OU-II,deployed,off,default,pmstokes_H0.270,31.8377,nan,0.0482045,0.016293,0.0085223,0.00881326,0.0117998,0.00682254,0.00430301,1.78489,0.0156789,0.0499133,3.20352,0.0498557,0.0379347,0.220575,0.148516,0.148294,2.73099,0.727103
