arm,family,record,axis,settle_own_s,settle_usable_s,peak_err_m,peak_t_s,ss_err_rms_m,ss_ref_rms_m,ss_ratio
engine,NLO,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,x,163.72,180,9.2533,35.195,0.070007,0.0159078,4.40078
engine,NLO,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,y,180,180,5.65939,23.34,0.056811,0,nan
engine,NLO,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,z,180,180,1.30118,18.335,0.0224817,0.0787111,0.285623
engine,TFG,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,x,120.205,180,0.342224,45.39,0.0124014,0.0159078,0.779579
engine,TFG,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,y,123.875,180,0.116419,38.53,0.00980386,0,nan
engine,TFG,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,z,79.74,78.345,0.923655,47.035,0.0148537,0.0787111,0.188711
engine,PII,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,z,180,180,1.09027,26.105,0.0124757,0.0787111,0.1585
engine,OU-II,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,x,147.305,180,0.0551591,35.275,0.0137941,0.0159078,0.867125
engine,OU-II,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,y,126.835,180,0.03206,121.68,0.00820165,0,nan
engine,OU-II,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,z,134.51,136.925,0.826146,51.05,0.0222251,0.0787111,0.282363
engine,OU-III,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,x,150.415,180,0.194097,35.99,0.0118322,0.0159078,0.743794
engine,OU-III,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,y,157.705,180,0.0414181,78.205,0.0102336,0,nan
engine,OU-III,wave_data_gerstner_H0.270_L14.047_A0.00_P60.00,z,141.195,138.915,0.886213,48.55,0.0152443,0.0787111,0.193675
engine,NLO,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,x,165.17,180,8.37866,32.86,0.463766,0.301023,1.54063
engine,NLO,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,y,102.715,180,5.6409,21.585,0.463848,0,nan
engine,NLO,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,z,168.16,173.33,2.22152,23.94,0.141961,0.566319,0.250674
engine,TFG,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,x,69.935,124.7,2.20565,51.88,0.0932123,0.301023,0.309651
engine,TFG,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,y,61.545,180,0.28984,53.365,0.0579467,0,nan
engine,TFG,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,z,88.87,85.595,2.36106,58.585,0.0842917,0.566319,0.148841
engine,PII,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,z,131.47,60.53,1.30771,32.515,0.0846404,0.566319,0.149457
engine,OU-II,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,x,43.58,161.58,0.493969,33.27,0.132674,0.301023,0.440742
engine,OU-II,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,y,128.03,180,0.179808,123.895,0.0619077,0,nan
engine,OU-II,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,z,141.69,141.24,2.90439,69.02,0.131915,0.566319,0.232933
engine,OU-III,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,x,149.72,155.545,1.23201,39.985,0.0919687,0.301023,0.30552
engine,OU-III,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,y,140.215,180,0.295902,123.99,0.078057,0,nan
engine,OU-III,wave_data_gerstner_H1.500_L50.710_A0.00_P120.00,z,137.415,135.81,2.34005,58.81,0.0834105,0.566319,0.147285
engine,NLO,wave_data_gerstner_H4.000_L112.766_A0.00_P30.00,x,150.28,180,10.241,38.005,1.57765,1.07262,1.47084
