scenario,wave_phase_seed,imu_noise_seed,initialization_seed,family,input_sha256,samples,window_s,disp_z_pct_hs,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_3d_rms_mps2,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps
stationary_jonswap_H0_270_L14_047_A30_00_P60_00,11,101,1009,OU_III,ef16dc1c87cdc806ddb75894d4db16af32167bb1e262a38e899d2d72ce283418,180000,900.0,3.97945046,0.0107445167,0.0161230862,0.455988944,0.51360172,5.89048147,0.015214677,0.117340811,0.000106833642
stationary_jonswap_H0_270_L14_047_A30_00_P60_00,11,101,1009,TFG,ef16dc1c87cdc806ddb75894d4db16af32167bb1e262a38e899d2d72ce283418,180000,900.0,4.11169386,0.0111015737,0.0172412563,0.361323267,0.607529283,5.97087765,0.0170498714,0.120928667,9.30243914e-05
stationary_jonswap_H0_270_L14_047_A30_00_P60_00,29,211,1103,OU_III,0796815becba2e65edb3efae0ad19e28610c4c79c1ae72df99e04f386fcbf6f0,180000,900.0,4.17685413,0.0112775071,0.0168984793,0.221739888,0.236260742,0.632246256,0.0131165627,0.0560500808,0.000110622481
stationary_jonswap_H0_270_L14_047_A30_00_P60_00,29,211,1103,TFG,0796815becba2e65edb3efae0ad19e28610c4c79c1ae72df99e04f386fcbf6f0,180000,900.0,4.33335304,0.0117000537,0.0185680576,0.193994448,0.232107088,0.585708857,0.0149101699,0.0524687245,0.000110564491
stationary_jonswap_H0_270_L14_047_A30_00_P60_00,47,307,1201,OU_III,a8a6394c287c86b8a6fbe630a8379280639801284c0dfdaf3f3f316a954d41b5,180000,900.0,4.09503603,0.0110565973,0.016685484,0.225132242,0.105647229,1.21134627,0.0126682324,0.0415896364,0.00010079475
stationary_jonswap_H0_270_L14_047_A30_00_P60_00,47,307,1201,TFG,a8a6394c287c86b8a6fbe630a8379280639801284c0dfdaf3f3f316a954d41b5,180000,900.0,4.23682642,0.0114394315,0.018078424,0.305410177,0.0563056841,1.14752913,0.014678563,0.0519679748,0.000100706544
stationary_jonswap_H0_270_L14_047_A30_00_P60_00,71,401,1301,OU_III,231a6f49f37794cde97061733be2e918c88ec4fde46dd1437642781e1a7e6bdc,180000,900.0,4.12951279,0.0111496849,0.0166902803,0.260688007,0.229940161,0.59657234,0.0135991042,0.0592815615,9.60630859e-05
stationary_jonswap_H0_270_L14_047_A30_00_P60_00,71,401,1301,TFG,231a6f49f37794cde97061733be2e918c88ec4fde46dd1437642781e1a7e6bdc,180000,900.0,4.28022861,0.011556617,0.0181154627,0.0925401971,0.334638327,0.661614478,0.0153119806,0.0595345795,9.9577228e-05
stationary_jonswap_H0_270_L14_047_A30_00_P60_00,97,503,1409,OU_III,2297cb90788a428a2cec800eb0a1b046d47a826cc3413746b706e76ca685e3e4,180000,900.0,4.19913435,0.011337663,0.0171057973,0.135284081,0.135828391,1.63258946,0.0134798409,0.03231778,0.000129636275
stationary_jonswap_H0_270_L14_047_A30_00_P60_00,97,503,1409,TFG,2297cb90788a428a2cec800eb0a1b046d47a826cc3413746b706e76ca685e3e4,180000,900.0,4.37316227,0.0118075386,0.0183416288,0.159621805,0.135147259,1.60567296,0.0153113399,0.0356898941,0.00011613415
